time,price,signal,label
1996-07-03,32.0,buy,2.0
1996-07-11,31.5,sell,4.0
1996-07-26,29.62,buy,2.0
1996-08-09,30.37,sell,4.0
1996-08-21,29.62,buy,2.0
1996-09-03,29.75,sell,4.0
1996-09-05,29.75,buy,1.0
1996-09-23,31.75,sell,3.0
1996-10-11,31.12,buy,2.0
1996-10-24,31.75,sell,4.0
1996-11-11,31.12,buy,2.0
1996-11-25,31.87,sell,4.0
1996-12-09,31.5,buy,2.0
1996-12-12,30.5,sell,4.0
1996-12-20,31.0,buy,2.0
1997-01-02,30.12,sell,4.0
1997-01-15,30.75,buy,2.0
1997-01-23,30.12,sell,4.0
1997-02-13,29.25,buy,1.0
1997-02-27,33.63,sell,3.0
1997-03-04,33.5,buy,2.0
1997-03-05,33.0,sell,4.0
1997-03-25,31.87,buy,2.0
1997-04-02,29.62,sell,4.0
1997-04-11,26.87,buy,2.0
1997-04-14,26.87,sell,4.0
1997-04-16,28.5,buy,2.0
1997-04-28,29.12,sell,4.0
1997-05-02,29.37,buy,2.0
1997-05-14,30.25,sell,4.0
1997-05-28,30.0,buy,2.0
1997-05-29,29.62,sell,4.0
1997-06-09,28.75,buy,2.0
1997-06-24,29.5,sell,4.0
1997-06-25,29.0,buy,2.0
1997-06-27,28.81,sell,4.0
1997-07-01,29.44,buy,2.0
1997-07-02,29.5,sell,4.0
1997-07-21,27.62,buy,1.0
1997-08-13,29.87,sell,3.0
1997-09-09,27.87,buy,2.0
1997-09-17,27.44,sell,4.0
1997-09-23,27.94,buy,2.0
1997-10-09,28.37,sell,4.0
1997-10-22,28.0,buy,2.0
1997-10-27,25.75,sell,4.0
1997-10-29,24.62,buy,2.0
1997-11-11,23.81,sell,4.0
1997-12-03,20.19,buy,2.0
1997-12-05,20.0,sell,4.0
1997-12-09,19.62,buy,2.0
1997-12-12,15.94,sell,4.0
1997-12-23,15.13,buy,2.0
1998-01-09,14.38,sell,4.0
1998-01-26,14.0,buy,1.0
1998-02-13,15.25,sell,3.0
1998-02-26,14.63,buy,2.0
1998-03-06,14.13,sell,4.0
1998-03-16,15.5,buy,1.0
1998-04-01,19.12,sell,3.0
1998-04-23,20.19,buy,2.0
1998-04-28,19.25,sell,4.0
1998-05-12,16.81,buy,2.0
1998-06-02,16.19,sell,4.0
1998-06-08,17.44,buy,2.0
1998-06-12,16.0,sell,4.0
1998-06-18,15.44,buy,2.0
1998-06-19,15.25,sell,4.0
1998-06-29,15.19,buy,2.0
1998-07-10,14.94,sell,4.0
1998-07-15,15.63,buy,2.0
1998-07-27,15.19,sell,4.0
1998-08-07,14.81,buy,2.0
1998-08-12,13.44,sell,4.0
1998-08-21,12.81,buy,2.0
1998-08-24,12.81,sell,4.0
1998-08-26,12.31,buy,2.0
1998-08-27,12.13,sell,4.0
1998-09-02,11.25,buy,1.0
1998-09-03,12.75,sell,3.0
1998-09-04,13.44,buy,2.0
1998-09-16,12.81,sell,4.0
1998-09-25,13.0,buy,2.0
1998-09-30,11.94,sell,4.0
1998-10-16,12.5,buy,2.0
1998-10-26,11.44,sell,4.0
1998-10-28,11.88,buy,2.0
1998-11-03,12.0,sell,4.0
1998-11-05,13.88,buy,2.0
1998-11-17,13.56,sell,4.0
1998-12-11,11.25,buy,2.0
1998-12-15,10.81,sell,4.0
1998-12-17,10.63,buy,2.0
1998-12-18,10.5,sell,4.0
1998-12-24,10.38,buy,1.0
