time,price,signal
1993-01-19 00:00:00,18.5,buy
1993-01-20 00:00:00,18.5,sell
1993-02-09 00:00:00,16.0,buy
1993-02-17 00:00:00,12.25,sell
1993-02-25 00:00:00,13.0,buy
1993-03-11 00:00:00,13.0,sell
1993-03-17 00:00:00,13.75,buy
1993-03-19 00:00:00,13.25,sell
1993-04-01 00:00:00,12.5,buy
1993-04-27 00:00:00,14.25,sell
1993-04-28 00:00:00,15.0,buy
1993-05-07 00:00:00,16.0,sell
1993-05-19 00:00:00,16.88,buy
1993-05-26 00:00:00,16.0,sell
1993-06-04 00:00:00,18.25,buy
1993-06-10 00:00:00,17.0,sell
1993-06-21 00:00:00,17.25,buy
1993-06-24 00:00:00,16.63,sell
1993-07-02 00:00:00,16.38,buy
1993-07-06 00:00:00,16.25,sell
1993-07-09 00:00:00,16.0,buy
1993-07-12 00:00:00,16.13,sell
1993-07-15 00:00:00,15.75,buy
1993-07-16 00:00:00,15.13,sell
1993-07-21 00:00:00,13.75,buy
1993-07-23 00:00:00,13.75,sell
1993-07-29 00:00:00,14.25,buy
1993-08-11 00:00:00,15.0,sell
1993-08-31 00:00:00,14.75,buy
1993-09-13 00:00:00,15.5,sell
1993-09-24 00:00:00,14.5,buy
1993-10-20 00:00:00,15.0,sell
1993-11-02 00:00:00,15.0,buy
1993-11-08 00:00:00,14.0,sell
1993-11-12 00:00:00,13.13,buy
1993-11-18 00:00:00,12.25,sell
1993-11-23 00:00:00,12.25,buy
1993-12-13 00:00:00,10.75,sell
1993-12-22 00:00:00,11.5,buy
1994-01-17 00:00:00,12.63,sell
1994-01-28 00:00:00,12.5,buy
1994-02-03 00:00:00,12.25,sell
1994-02-16 00:00:00,12.25,buy
1994-02-25 00:00:00,11.25,sell
1994-03-01 00:00:00,12.0,buy
1994-03-04 00:00:00,11.5,sell
1994-03-07 00:00:00,11.0,buy
1994-03-08 00:00:00,11.0,sell
1994-03-11 00:00:00,10.75,buy
1994-03-24 00:00:00,10.63,sell
1994-04-07 00:00:00,10.75,buy
1994-04-15 00:00:00,10.25,sell
1994-04-29 00:00:00,9.0,buy
1994-05-03 00:00:00,9.0,sell
1994-05-04 00:00:00,9.25,buy
1994-05-10 00:00:00,9.25,sell
1994-05-11 00:00:00,9.25,buy
1994-05-17 00:00:00,8.5,sell
1994-05-20 00:00:00,9.25,buy
1994-05-24 00:00:00,8.75,sell
1994-05-25 00:00:00,8.75,buy
1994-05-27 00:00:00,8.75,sell
1994-06-10 00:00:00,7.5,buy
1994-06-21 00:00:00,8.0,sell
1994-07-01 00:00:00,8.5,buy
1994-07-08 00:00:00,8.75,sell
1994-07-11 00:00:00,8.25,buy
