time,price,signal,label
2008-04-02,465.7,buy,2.0
2008-04-04,471.09,sell,4.0
2008-04-07,476.82,buy,2.0
2008-04-10,469.08,sell,4.0
2008-04-21,537.79,buy,1.0
2008-05-05,594.9,sell,3.0
2008-05-29,583.0,buy,2.0
2008-06-10,554.17,sell,4.0
2008-06-17,569.46,buy,2.0
2008-06-23,545.21,sell,4.0
2008-07-02,527.04,buy,2.0
2008-07-15,516.09,sell,4.0
2008-07-18,481.32,buy,2.0
2008-07-21,468.8,sell,4.0
2008-07-31,473.75,buy,2.0
2008-08-04,463.0,sell,4.0
2008-08-06,486.34,buy,2.0
2008-08-20,485.0,sell,4.0
2008-09-12,437.66,buy,2.0
2008-09-29,381.0,sell,4.0
2008-10-14,362.71,buy,2.0
2008-10-27,329.49,sell,4.0
2008-10-29,358.0,buy,2.0
2008-11-04,366.94,sell,4.0
2008-11-05,342.24,buy,2.0
2008-11-06,331.22,sell,4.0
2008-11-19,280.18,buy,2.0
2008-11-20,259.56,sell,4.0
2008-11-26,292.09,buy,1.0
2008-12-19,310.17,sell,3.0
2009-01-02,321.32,buy,2.0
2009-01-12,312.69,sell,4.0
2009-01-23,324.7,buy,1.0
2009-02-11,358.04,sell,3.0
2009-03-11,317.91,buy,1.0
2009-03-30,342.69,sell,3.0
2009-04-02,362.5,buy,2.0
2009-04-08,362.0,sell,4.0
2009-04-13,378.11,buy,2.0
2009-04-21,381.47,sell,4.0
2009-05-01,393.69,buy,2.0
2009-05-08,407.33,sell,4.0
2009-05-11,407.98,buy,2.0
2009-05-13,389.54,sell,4.0
2009-05-21,396.5,buy,2.0
2009-05-26,404.36,sell,4.0
2009-05-27,405.56,buy,1.0
2009-06-10,432.6,sell,3.0
2009-06-26,425.32,buy,2.0
2009-07-06,409.61,sell,4.0
2009-07-13,424.3,buy,2.0
2009-07-22,427.69,sell,4.0
2009-07-27,444.8,buy,2.0
2009-07-29,436.24,sell,4.0
2009-08-04,453.73,buy,2.0
2009-08-12,458.58,sell,4.0
2009-08-14,460.0,buy,2.0
2009-08-17,444.89,sell,4.0
2009-08-24,468.73,buy,2.0
2009-09-01,455.76,sell,4.0
2009-09-10,470.94,buy,1.0
2009-09-24,496.77,sell,3.0
2009-10-07,517.54,buy,1.0
2009-10-22,554.09,sell,3.0
2009-11-06,550.75,buy,2.0
2009-11-20,570.2,sell,4.0
2009-11-27,579.76,buy,2.0
2009-11-30,583.01,sell,4.0
2009-12-02,587.6,buy,2.0
2009-12-04,584.62,sell,4.0
2009-12-11,590.4,buy,1.0
2009-12-30,622.25,sell,3.0
2009-12-31,621.68,buy,2.0
2010-01-04,626.48,sell,4.0
2010-01-05,623.8,buy,2.0
2010-01-06,607.27,sell,4.0
2010-01-22,548.92,buy,2.0
2010-01-25,540.9,sell,4.0
2010-02-04,526.77,buy,2.0
2010-02-05,531.29,sell,4.0
2010-02-08,533.47,buy,2.0
2010-02-24,531.47,sell,4.0
2010-03-03,545.32,buy,2.0
2010-03-16,565.2,sell,4.0
2010-03-26,562.69,buy,2.0
2010-04-08,567.49,sell,4.0
2010-04-13,586.77,buy,2.0
2010-04-19,550.1,sell,4.0
2010-04-30,525.7,buy,2.0
2010-05-03,530.6,sell,4.0
2010-05-04,506.37,buy,2.0
2010-05-05,509.76,sell,4.0
2010-05-07,493.14,buy,2.0
2010-05-20,475.01,sell,4.0
2010-05-28,485.63,buy,2.0
2010-06-09,474.02,sell,4.0
2010-06-16,501.27,buy,2.0
2010-06-23,482.05,sell,4.0
2010-07-08,456.56,buy,1.0
2010-07-20,481.59,sell,3.0
2010-07-23,490.06,buy,2.0
2010-07-30,484.85,sell,4.0
2010-08-05,508.1,buy,2.0
2010-08-12,492.01,sell,4.0
2010-08-30,452.69,buy,2.0
2010-08-31,450.02,sell,4.0
2010-09-02,463.18,buy,1.0
2010-09-29,527.69,sell,3.0
2010-10-12,541.39,buy,1.0
2010-10-28,618.58,sell,3.0
2010-11-08,626.77,buy,2.0
2010-11-11,617.19,sell,4.0
2010-11-26,590.0,buy,2.0
2010-12-01,564.35,sell,4.0
2010-12-03,573.0,buy,2.0
2010-12-17,590.8,sell,4.0
2010-12-22,605.49,buy,2.0
2010-12-29,601.0,sell,4.0
2011-01-05,609.07,buy,2.0
2011-01-20,626.77,sell,4.0
2011-02-04,610.98,buy,2.0
2011-02-23,611.32,sell,4.0
2011-03-16,557.1,buy,2.0
2011-03-17,561.36,sell,4.0
2011-03-18,561.06,buy,2.0
2011-04-06,574.18,sell,4.0
2011-04-28,537.97,buy,2.0
2011-05-10,542.66,sell,4.0
2011-05-11,535.45,buy,2.0
2011-05-12,535.05,sell,4.0
2011-05-19,531.25,buy,2.0
2011-05-23,518.39,sell,4.0
2011-06-01,525.6,buy,2.0
2011-06-08,519.17,sell,4.0
2011-06-22,487.0,buy,2.0
2011-06-27,482.8,sell,4.0
2011-06-28,493.65,buy,1.0
2011-07-12,534.01,sell,3.0
2011-07-18,594.94,buy,2.0
2011-07-28,610.94,sell,4.0
2011-08-15,557.23,buy,2.0
2011-08-17,533.15,sell,4.0
2011-08-24,523.29,buy,2.0
2011-09-07,534.03,sell,4.0
2011-09-09,524.85,buy,2.0
2011-09-12,530.12,sell,4.0
2011-09-15,542.56,buy,2.0
2011-09-22,520.66,sell,4.0
2011-10-07,515.12,buy,1.0
2011-10-26,586.31,sell,3.0
2011-10-31,592.64,buy,2.0
2011-11-01,578.65,sell,4.0
2011-11-07,608.33,buy,2.0
2011-11-11,608.35,sell,4.0
2011-11-14,613.0,buy,2.0
2011-11-18,594.88,sell,4.0
2011-11-30,599.39,buy,2.0
2011-12-14,618.07,sell,4.0
2011-12-23,633.14,buy,2.0
2012-01-09,622.46,sell,4.0
2012-01-20,585.99,buy,2.0
2012-01-23,585.52,sell,4.0
2012-02-01,580.83,buy,2.0
2012-02-16,606.52,sell,4.0
2012-02-29,618.25,buy,2.0
2012-03-06,604.96,sell,4.0
2012-03-14,615.99,buy,2.0
2012-03-30,641.24,sell,4.0
2012-04-13,624.6,buy,2.0
2012-04-16,606.07,sell,4.0
2012-04-26,615.47,buy,2.0
2012-05-07,607.55,sell,4.0
2012-05-09,609.15,buy,2.0
2012-05-15,611.11,sell,4.0
2012-05-16,628.93,buy,2.0
2012-05-21,614.11,sell,4.0
2012-06-07,578.23,buy,2.0
2012-06-13,561.09,sell,4.0
2012-06-19,581.53,buy,2.0
2012-06-26,564.68,sell,4.0
2012-07-03,587.83,buy,2.0
2012-07-12,570.48,sell,4.0
2012-07-19,593.06,buy,1.0
2012-08-02,628.75,sell,3.0
2012-08-06,642.82,buy,2.0
2012-08-08,642.23,sell,4.0
2012-08-14,668.66,buy,2.0
2012-08-22,677.18,sell,4.0
2012-08-23,676.8,buy,2.0
2012-08-28,677.25,sell,4.0
2012-08-30,681.68,buy,2.0
2012-08-31,685.09,sell,4.0
2012-09-04,681.04,buy,2.0
2012-09-05,680.72,sell,4.0
2012-09-07,706.15,buy,2.0
2012-09-11,692.19,sell,4.0
2012-09-17,709.98,buy,1.0
2012-09-26,753.46,sell,3.0
2012-10-02,756.99,buy,2.0
2012-10-03,762.5,sell,4.0
2012-10-04,768.05,buy,2.0
2012-10-08,757.84,sell,4.0
2012-10-18,695.0,buy,2.0
2012-10-19,681.79,sell,4.0
2012-11-05,682.96,buy,2.0
2012-11-08,652.29,sell,4.0
2012-11-13,659.05,buy,2.0
2012-11-14,652.55,sell,4.0
2012-11-20,669.97,buy,2.0
2012-12-05,687.82,sell,4.0
2012-12-18,721.07,buy,2.0
2012-12-24,709.5,sell,4.0
2013-01-03,723.67,buy,2.0
2013-01-15,724.93,sell,4.0
2013-01-24,753.83,buy,2.0
2013-02-05,765.74,sell,4.0
2013-02-08,785.37,buy,2.0
2013-02-21,795.53,sell,4.0
2013-03-04,821.5,buy,2.0
2013-03-13,825.31,sell,4.0
