time,price,signal,label
1994-03-24,42.25,buy,2.0
1994-03-25,39.75,sell,4.0
1994-04-06,35.12,buy,2.0
1994-04-07,34.37,sell,4.0
1994-04-12,33.5,buy,2.0
1994-04-15,31.25,sell,4.0
1994-04-22,30.0,buy,2.0
1994-05-06,30.5,sell,4.0
1994-05-17,29.5,buy,1.0
1994-06-08,33.5,sell,3.0
1994-06-16,33.38,buy,2.0
1994-06-17,33.5,sell,4.0
1994-06-29,33.87,buy,1.0
1994-07-19,36.88,sell,3.0
1994-08-01,36.62,buy,2.0
1994-08-05,35.0,sell,4.0
1994-08-11,39.0,buy,1.0
1994-08-29,44.12,sell,3.0
1994-09-28,44.25,buy,2.0
1994-10-06,40.75,sell,4.0
1994-10-12,47.0,buy,1.0
1994-10-26,67.88,sell,3.0
1994-10-31,70.56,buy,2.0
1994-11-04,67.81,sell,4.0
1994-11-16,68.0,buy,2.0
1994-11-23,65.75,sell,4.0
1994-11-29,69.12,buy,2.0
1994-12-06,66.75,sell,4.0
1994-12-15,68.25,buy,2.0
1994-12-23,67.25,sell,4.0
1995-01-06,68.5,buy,2.0
1995-01-19,68.56,sell,4.0
1995-02-06,66.25,buy,2.0
1995-02-16,64.75,sell,4.0
1995-02-27,66.0,buy,1.0
1995-03-16,74.0,sell,3.0
1995-03-24,78.0,buy,2.0
1995-03-30,77.5,sell,4.0
1995-04-18,77.0,buy,2.0
1995-04-28,67.75,sell,4.0
1995-05-10,74.0,buy,2.0
1995-05-19,74.5,sell,4.0
1995-06-05,65.75,buy,1.0
1995-06-22,78.25,sell,3.0
1995-07-06,76.0,buy,1.0
1995-07-19,80.25,sell,3.0
1995-07-26,85.75,buy,2.0
1995-08-11,88.75,sell,4.0
1995-08-16,88.75,buy,2.0
1995-08-17,89.75,sell,4.0
1995-08-22,44.5,buy,2.0
1995-08-23,45.0,sell,4.0
1995-09-05,42.0,buy,1.0
1995-09-28,48.0,sell,3.0
1995-10-12,47.87,buy,1.0
1995-11-03,80.25,sell,3.0
1995-11-29,82.0,buy,2.0
1995-12-08,77.75,sell,4.0
1995-12-20,73.75,buy,2.0
1996-01-04,68.0,sell,4.0
1996-01-15,60.25,buy,2.0
1996-01-16,61.37,sell,4.0
1996-01-17,53.25,buy,2.0
1996-01-18,54.25,sell,4.0
1996-01-22,57.0,buy,2.0
1996-02-09,58.75,sell,4.0
1996-02-21,63.5,buy,2.0
1996-03-04,44.87,sell,4.0
1996-03-13,53.25,buy,2.0
1996-03-22,48.5,sell,4.0
1996-04-03,47.75,buy,2.0
1996-04-11,46.25,sell,4.0
1996-04-16,47.0,buy,1.0
1996-05-03,54.25,sell,3.0
1996-05-06,53.75,buy,2.0
1996-05-09,51.5,sell,4.0
1996-05-15,54.5,buy,2.0
1996-05-21,53.5,sell,4.0
1996-06-03,51.25,buy,2.0
1996-06-20,49.25,sell,4.0
1996-07-02,48.75,buy,2.0
1996-07-09,43.25,sell,4.0
1996-07-18,37.88,buy,2.0
1996-07-24,35.0,sell,4.0
1996-07-25,37.25,buy,2.0
1996-08-13,38.75,sell,4.0
1996-08-23,38.5,buy,2.0
1996-08-27,37.75,sell,4.0
1996-08-29,37.25,buy,2.0
1996-08-30,36.5,sell,4.0
1996-09-16,32.25,buy,2.0
1996-10-01,31.5,sell,4.0
1996-10-21,28.63,buy,2.0
1996-10-31,27.0,sell,4.0
1996-11-06,36.5,buy,2.0
1996-11-22,35.5,sell,4.0
1996-12-10,32.5,buy,2.0
1996-12-11,31.75,sell,4.0
1996-12-16,33.25,buy,2.0
1996-12-30,31.75,sell,4.0
1997-01-07,35.5,buy,2.0
1997-01-16,34.75,sell,4.0
1997-02-03,28.38,buy,2.0
1997-02-04,28.12,sell,4.0
1997-02-10,27.62,buy,2.0
1997-02-21,24.75,sell,4.0
1997-03-11,22.12,buy,2.0
1997-03-12,21.75,sell,4.0
1997-03-14,22.5,buy,2.0
1997-03-31,23.25,sell,4.0
1997-04-08,24.75,buy,2.0
1997-04-10,22.75,sell,4.0
1997-04-23,21.75,buy,1.0
1997-05-15,27.12,sell,3.0
1997-05-16,27.75,buy,2.0
1997-05-20,28.25,sell,4.0
1997-05-21,28.5,buy,2.0
1997-05-27,28.38,sell,4.0
1997-05-28,28.38,buy,2.0
1997-05-30,27.12,sell,4.0
1997-06-18,25.25,buy,2.0
1997-06-24,23.62,sell,4.0
1997-07-03,24.13,buy,2.0
1997-07-18,24.5,sell,4.0
1997-07-23,24.13,buy,2.0
