time,price,signal,label
2008-04-02,223.75,buy,2.0
2008-04-03,231.25,sell,4.0
2008-04-04,226.57,buy,2.0
2008-04-07,226.25,sell,4.0
2008-04-09,228.75,buy,2.0
2008-04-10,228.92,sell,4.0
2008-04-18,233.71,buy,1.0
2008-05-12,290.26,sell,3.0
2008-05-29,309.0,buy,2.0
2008-06-09,291.4,sell,4.0
2008-06-17,292.21,buy,2.0
2008-06-23,282.52,sell,4.0
2008-06-26,275.73,buy,2.0
2008-06-27,271.72,sell,4.0
2008-07-09,251.25,buy,2.0
2008-07-24,258.48,sell,4.0
2008-08-12,230.92,buy,2.0
2008-08-26,236.75,sell,4.0
2008-08-29,242.55,buy,2.0
2008-09-03,229.63,sell,4.0
2008-09-15,211.77,buy,2.0
2008-09-16,214.81,sell,4.0
2008-09-17,196.0,buy,1.0
2008-09-18,208.53,sell,3.0
2008-09-19,225.18,buy,2.0
2008-09-24,194.35,sell,4.0
2008-10-07,158.7,buy,2.0
2008-10-20,150.14,sell,4.0
2008-10-30,140.06,buy,2.0
2008-11-10,142.85,sell,4.0
2008-11-19,129.54,buy,2.0
2008-11-20,121.09,sell,4.0
2008-11-25,139.06,buy,2.0
2008-12-12,138.81,sell,4.0
2008-12-17,148.68,buy,2.0
2008-12-23,141.62,sell,4.0
2009-01-05,153.26,buy,2.0
2009-01-12,148.04,sell,4.0
2009-01-29,129.09,buy,1.0
2009-02-17,155.09,sell,3.0
2009-02-26,155.7,buy,2.0
2009-02-27,158.03,sell,4.0
2009-03-11,147.84,buy,1.0
2009-03-23,162.89,sell,3.0
2009-03-24,162.88,buy,2.0
2009-03-31,167.48,sell,4.0
2009-04-06,171.53,buy,2.0
2009-04-08,167.33,sell,4.0
2009-04-14,166.1,buy,2.0
2009-04-15,165.46,sell,4.0
2009-04-24,173.09,buy,2.0
2009-05-12,178.2,sell,4.0
2009-05-29,176.33,buy,2.0
2009-06-04,168.4,sell,4.0
2009-06-11,169.95,buy,2.0
2009-06-16,163.56,sell,4.0
2009-06-25,164.28,buy,2.0
2009-07-08,160.7,sell,4.0
2009-07-15,172.37,buy,1.0
2009-07-29,188.55,sell,3.0
2009-08-06,201.48,buy,2.0
2009-08-07,204.34,sell,4.0
2009-08-10,202.34,buy,2.0
2009-08-12,204.32,sell,4.0
2009-08-13,203.97,buy,2.0
2009-08-17,195.94,sell,4.0
2009-08-24,204.23,buy,2.0
2009-08-31,202.63,sell,4.0
