time,price,signal,label
2019-12-05,20.64,buy,2.0
2019-12-06,18.94,sell,4.0
2019-12-20,19.83,buy,2.0
2019-12-31,19.56,sell,4.0
2020-01-13,20.26,buy,1.0
2020-01-27,22.74,sell,3.0
2020-01-28,22.36,buy,2.0
2020-01-30,20.99,sell,4.0
2020-02-10,23.65,buy,2.0
2020-02-13,19.05,sell,4.0
2020-02-26,29.16,buy,2.0
2020-03-10,22.34,sell,4.0
2020-03-17,28.18,buy,2.0
2020-03-25,27.13,sell,4.0
2020-03-31,29.95,buy,1.0
2020-04-09,31.86,sell,3.0
2020-04-15,37.25,buy,1.0
2020-04-24,50.5,sell,3.0
2020-05-05,49.34,buy,1.0
2020-05-20,73.47,sell,3.0
2020-06-02,59.87,buy,2.0
2020-06-12,62.0,sell,4.0
2020-06-15,66.57,buy,2.0
2020-06-24,64.84,sell,4.0
2020-07-09,64.97,buy,1.0
2020-07-22,83.22,sell,3.0
2020-08-04,78.46,buy,2.0
2020-08-07,74.1,sell,4.0
2020-08-20,67.81,buy,2.0
2020-08-24,64.88,sell,4.0
2020-08-26,70.5,buy,2.0
2020-09-02,64.72,sell,4.0
2020-09-14,63.67,buy,1.0
2020-09-25,69.47,sell,3.0
2020-09-29,70.52,buy,2.0
2020-10-01,70.03,sell,4.0
2020-10-09,73.0,buy,2.0
2020-10-16,73.94,sell,4.0
2020-10-30,67.47,buy,2.0
2020-11-03,69.08,sell,4.0
2020-11-04,69.81,buy,1.0
2020-11-19,92.77,sell,3.0
2020-11-24,98.56,buy,1.0
2020-12-02,143.0,sell,3.0
2020-12-09,156.59,buy,2.0
2020-12-10,155.69,sell,4.0
2021-01-06,116.26,buy,1.0
2021-01-21,132.98,sell,3.0
2021-01-22,131.02,buy,1.0
2021-02-02,158.58,sell,3.0
2021-02-08,185.98,buy,2.0
2021-02-17,176.76,sell,4.0
2021-03-02,146.81,buy,2.0
2021-03-03,131.22,sell,4.0
2021-03-12,136.99,buy,2.0
2021-03-24,131.61,sell,4.0
