time,price,signal,label
1996-11-29,36.0,buy,2.0
1996-12-09,37.75,sell,4.0
1996-12-16,39.0,buy,1.0
1997-01-03,47.75,sell,3.0
1997-01-17,50.25,buy,2.0
1997-01-27,52.25,sell,4.0
1997-02-10,47.5,buy,2.0
1997-02-11,45.0,sell,4.0
1997-02-28,40.0,buy,2.0
1997-03-14,37.5,sell,4.0
1997-03-25,33.69,buy,2.0
1997-04-02,31.38,sell,4.0
1997-04-07,36.0,buy,2.0
1997-04-16,34.75,sell,4.0
1997-04-25,28.5,buy,1.0
1997-05-19,39.62,sell,3.0
1997-05-27,40.75,buy,2.0
1997-05-28,41.0,sell,4.0
1997-05-29,40.5,buy,2.0
1997-05-30,40.56,sell,4.0
1997-06-20,37.75,buy,2.0
1997-06-27,34.38,sell,4.0
1997-07-01,38.0,buy,2.0
1997-07-15,37.5,sell,4.0
1997-07-22,39.88,buy,1.0
1997-08-11,43.5,sell,3.0
1997-08-19,44.25,buy,2.0
1997-09-04,44.0,sell,4.0
1997-09-11,47.75,buy,1.0
1997-09-25,52.25,sell,3.0
1997-10-08,52.75,buy,2.0
1997-10-09,53.75,sell,4.0
1997-10-10,55.5,buy,2.0
1997-10-20,54.0,sell,4.0
1997-11-05,54.25,buy,2.0
1997-11-13,49.75,sell,4.0
1997-11-25,50.62,buy,2.0
1997-11-28,50.38,sell,4.0
1997-12-02,50.12,buy,2.0
1997-12-03,48.25,sell,4.0
1997-12-08,55.62,buy,2.0
1997-12-16,55.0,sell,4.0
1997-12-17,57.62,buy,2.0
1997-12-22,29.63,sell,4.0
1998-01-05,33.75,buy,2.0
1998-01-09,28.0,sell,4.0
1998-01-21,29.38,buy,2.0
1998-02-12,29.5,sell,4.0
1998-03-02,31.81,buy,2.0
1998-03-10,29.94,sell,4.0
1998-03-12,30.88,buy,1.0
1998-03-23,32.72,sell,3.0
1998-03-24,34.13,buy,2.0
1998-04-03,34.38,sell,4.0
1998-04-15,34.5,buy,2.0
1998-04-28,35.22,sell,4.0
1998-04-30,36.06,buy,2.0
1998-05-07,37.13,sell,4.0
1998-05-19,38.13,buy,2.0
1998-05-27,33.97,sell,4.0
1998-06-04,34.25,buy,2.0
1998-06-05,34.5,sell,4.0
1998-06-09,37.0,buy,2.0
1998-06-15,33.5,sell,4.0
1998-06-23,36.69,buy,1.0
1998-07-15,48.5,sell,3.0
1998-07-16,49.5,buy,2.0
1998-07-20,49.0,sell,4.0
1998-08-06,44.88,buy,2.0
1998-08-21,46.13,sell,4.0
1998-09-03,46.75,buy,1.0
1998-09-17,50.25,sell,3.0
1998-09-23,58.5,buy,2.0
1998-09-30,50.63,sell,4.0
1998-10-13,40.0,buy,1.0
1998-10-28,51.25,sell,3.0
1998-11-02,56.88,buy,2.0
1998-11-04,56.47,sell,4.0
1998-11-05,62.94,buy,2.0
1998-11-06,64.81,sell,4.0
1998-11-09,64.5,buy,2.0
1998-11-13,63.5,sell,4.0
1998-11-18,73.63,buy,2.0
1998-11-23,73.69,sell,4.0
1998-12-01,73.63,buy,2.0
1998-12-02,72.13,sell,4.0
1998-12-08,75.13,buy,2.0
1998-12-11,71.75,sell,4.0
1998-12-17,81.5,buy,2.0
1998-12-23,44.38,sell,4.0
1999-01-06,45.88,buy,2.0
1999-01-22,48.0,sell,4.0
1999-02-02,52.75,buy,2.0
1999-02-05,46.25,sell,4.0
1999-02-12,47.75,buy,2.0
1999-02-17,41.88,sell,4.0
1999-02-23,45.94,buy,2.0
1999-03-12,41.56,sell,4.0
1999-03-17,47.0,buy,1.0
1999-03-24,51.38,sell,3.0
1999-04-05,58.75,buy,2.0
1999-04-08,56.88,sell,4.0
1999-04-12,58.94,buy,2.0
1999-04-16,56.0,sell,4.0
1999-04-27,55.75,buy,2.0
1999-04-30,50.31,sell,4.0
1999-05-11,51.88,buy,2.0
1999-05-18,53.88,sell,4.0
1999-05-19,50.5,buy,2.0
1999-05-21,46.5,sell,4.0
1999-06-01,46.19,buy,2.0
1999-06-11,44.94,sell,4.0
1999-06-21,46.62,buy,1.0
1999-07-14,60.84,sell,3.0
1999-08-03,56.31,buy,2.0
1999-08-09,53.91,sell,4.0
1999-08-10,51.75,buy,2.0
1999-08-11,52.75,sell,4.0
1999-08-13,55.94,buy,1.0
1999-09-02,64.69,sell,3.0
1999-09-07,68.88,buy,2.0
1999-09-09,65.62,sell,4.0
1999-09-16,72.0,buy,2.0
1999-09-24,72.5,sell,4.0
1999-10-05,78.31,buy,2.0
1999-10-11,75.0,sell,4.0
1999-10-25,66.56,buy,2.0
1999-10-28,67.81,sell,4.0
1999-10-29,74.0,buy,1.0
1999-11-12,91.88,sell,3.0
1999-11-18,118.75,buy,2.0
1999-11-24,123.0,sell,4.0
1999-11-26,130.56,buy,2.0
1999-12-01,125.0,sell,4.0
1999-12-06,151.5,buy,2.0
1999-12-16,152.94,sell,4.0
2000-01-04,74.25,buy,1.0
2000-01-05,78.38,sell,3.0
2000-01-06,70.06,buy,1.0
2000-01-07,85.0,sell,3.0
2000-01-10,88.62,buy,1.0
2000-01-25,107.19,sell,3.0
2000-02-03,114.62,buy,1.0
2000-02-22,168.62,sell,3.0
2000-02-25,192.94,buy,2.0
2000-02-28,184.0,sell,4.0
2000-03-07,212.62,buy,2.0
2000-03-08,218.31,sell,4.0
2000-03-09,240.38,buy,2.0
2000-03-14,197.06,sell,4.0
2000-04-05,69.56,buy,2.0
2000-04-14,50.38,sell,4.0
2000-04-19,60.56,buy,2.0
2000-05-08,63.19,sell,4.0
2000-05-17,68.75,buy,2.0
2000-05-24,65.06,sell,4.0
2000-05-31,64.56,buy,1.0
2000-06-13,86.06,sell,3.0
2000-06-21,87.56,buy,2.0
2000-06-26,82.06,sell,4.0
2000-07-10,81.25,buy,1.0
2000-07-25,106.19,sell,3.0
2000-08-08,91.69,buy,2.0
2000-08-17,94.5,sell,4.0
2000-08-18,93.94,buy,1.0
2000-09-05,112.94,sell,3.0
2000-09-15,118.06,buy,1.0
2000-09-26,127.94,sell,3.0
2000-10-12,113.81,buy,1.0
2000-10-13,121.44,sell,3.0
2000-10-16,133.56,buy,2.0
2000-10-25,122.25,sell,4.0
2000-11-08,107.06,buy,2.0
2000-11-10,90.25,sell,4.0
2000-11-15,76.12,buy,2.0
2000-11-16,72.81,sell,4.0
2000-11-27,54.44,buy,2.0
2000-11-28,52.22,sell,4.0
2000-11-30,49.38,buy,1.0
2000-12-15,65.19,sell,3.0
2000-12-27,70.75,buy,2.0
2001-01-03,64.0,sell,4.0
2001-01-04,66.38,buy,2.0
2001-01-08,55.94,sell,4.0
2001-01-16,58.12,buy,2.0
2001-01-25,56.5,sell,4.0
2001-02-13,39.69,buy,2.0
2001-02-21,34.31,sell,4.0
2001-03-07,28.12,buy,2.0
2001-03-09,21.12,sell,4.0
2001-03-14,21.19,buy,2.0
2001-03-16,18.94,sell,4.0
2001-03-20,18.62,buy,2.0
2001-03-29,16.31,sell,4.0
2001-04-10,15.68,buy,1.0
2001-04-25,21.5,sell,3.0
2001-05-01,24.55,buy,1.0
2001-05-07,26.28,sell,3.0
2001-05-22,28.18,buy,2.0
2001-05-30,19.01,sell,4.0
2001-06-26,12.38,buy,2.0
2001-07-09,11.63,sell,4.0
2001-07-18,10.26,buy,2.0
2001-07-19,10.62,sell,4.0
2001-07-27,11.27,buy,1.0
2001-08-09,14.12,sell,3.0
2001-08-27,13.75,buy,2.0
2001-09-05,11.72,sell,4.0
2001-09-26,7.91,buy,2.0
2001-09-27,6.68,sell,4.0
2001-09-28,6.8,buy,1.0
2001-10-18,10.51,sell,3.0
2001-10-25,13.79,buy,2.0
2001-10-30,12.18,sell,4.0
2001-11-02,14.99,buy,1.0
2001-11-09,16.51,sell,3.0
2001-11-13,18.19,buy,2.0
2001-11-15,15.92,sell,4.0
2001-11-28,14.67,buy,1.0
2001-11-29,15.5,sell,3.0
2001-11-30,15.43,buy,1.0
2001-12-14,21.04,sell,3.0
2001-12-19,23.58,buy,2.0
2001-12-21,22.6,sell,4.0
2002-01-03,26.89,buy,2.0
2002-01-08,24.73,sell,4.0
2002-01-25,19.2,buy,2.0
2002-02-04,16.07,sell,4.0
2002-02-12,16.45,buy,2.0
2002-02-22,16.7,sell,4.0
2002-02-27,16.87,buy,2.0
2002-02-28,15.99,sell,4.0
2002-03-04,20.52,buy,2.0
2002-03-18,19.81,sell,4.0
2002-04-01,21.01,buy,2.0
2002-04-04,19.69,sell,4.0
2002-04-16,18.45,buy,2.0
2002-04-25,16.99,sell,4.0
2002-05-01,16.7,buy,2.0
2002-05-03,14.63,sell,4.0
2002-05-09,16.37,buy,2.0
2002-05-17,15.17,sell,4.0
2002-06-03,12.25,buy,1.0
2002-06-04,13.11,sell,3.0
2002-06-05,13.31,buy,2.0
2002-06-21,12.19,sell,4.0
2002-07-01,11.63,buy,2.0
2002-07-03,11.56,sell,4.0
2002-07-05,12.58,buy,2.0
2002-07-10,9.93,sell,4.0
2002-07-16,11.41,buy,2.0
2002-07-22,10.13,sell,4.0
2002-07-31,8.46,buy,2.0
2002-08-02,8.1,sell,4.0
2002-08-07,7.84,buy,1.0
2002-08-14,9.0,sell,3.0
2002-08-15,9.47,buy,2.0
2002-08-28,9.25,sell,4.0
2002-09-12,9.09,buy,2.0
2002-09-13,9.24,sell,4.0
2002-09-16,9.15,buy,2.0
2002-09-18,8.5,sell,4.0
2002-09-26,7.96,buy,2.0
2002-10-01,8.05,sell,4.0
2002-10-02,7.03,buy,2.0
2002-10-04,6.27,sell,4.0
2002-10-10,6.81,buy,1.0
2002-10-30,9.18,sell,3.0
2002-11-06,11.74,buy,2.0
2002-11-08,9.72,sell,4.0
2002-11-15,11.07,buy,1.0
2002-11-27,13.69,sell,3.0
2002-12-03,13.31,buy,2.0
2002-12-04,12.77,sell,4.0
2002-12-17,12.26,buy,2.0
2002-12-20,10.82,sell,4.0
2002-12-23,11.03,buy,2.0
2002-12-31,10.0,sell,4.0
2003-01-03,10.71,buy,1.0
2003-01-17,11.28,sell,3.0
2003-01-30,11.2,buy,2.0
2003-02-03,10.89,sell,4.0
2003-02-12,10.56,buy,2.0
2003-02-26,10.25,sell,4.0
2003-03-14,10.07,buy,1.0
2003-03-31,11.19,sell,3.0
2003-04-04,12.65,buy,2.0
2003-04-10,12.71,sell,4.0
2003-04-17,14.11,buy,2.0
2003-04-28,14.1,sell,4.0
2003-05-06,14.92,buy,1.0
2003-05-15,15.79,sell,3.0
2003-05-28,15.93,buy,1.0
2003-06-10,17.03,sell,3.0
2003-06-27,16.04,buy,1.0
2003-07-17,17.54,sell,3.0
2003-07-29,17.7,buy,2.0
2003-07-31,15.98,sell,4.0
2003-08-12,16.97,buy,1.0
2003-08-27,22.0,sell,3.0
2003-08-28,22.39,buy,1.0
2003-09-04,23.51,sell,3.0
2003-09-05,23.31,buy,2.0
2003-09-08,23.55,sell,4.0
2003-09-22,21.94,buy,2.0
2003-09-23,22.44,sell,4.0
2003-09-24,21.09,buy,2.0
2003-09-25,20.49,sell,4.0
2003-10-02,21.19,buy,1.0
2003-10-17,25.0,sell,3.0
2003-10-29,25.88,buy,2.0
2003-11-03,25.64,sell,4.0
2003-11-04,24.96,buy,2.0
2003-11-05,25.19,sell,4.0
2003-11-13,25.97,buy,2.0
2003-11-18,23.43,sell,4.0
2003-11-25,22.72,buy,2.0
2003-12-05,21.72,sell,4.0
2003-12-19,19.66,buy,1.0
2004-01-14,23.1,sell,3.0
2004-01-21,23.45,buy,2.0
2004-01-22,22.77,sell,4.0
2004-02-09,22.05,buy,2.0
2004-02-23,21.77,sell,4.0
2004-03-05,22.12,buy,2.0
2004-03-09,20.58,sell,4.0
2004-03-18,20.46,buy,2.0
2004-03-22,19.86,sell,4.0
2004-03-23,19.94,buy,1.0
2004-04-08,22.62,sell,3.0
2004-04-26,21.23,buy,2.0
2004-04-27,20.73,sell,4.0
2004-05-05,19.93,buy,2.0
2004-05-20,18.45,sell,4.0
2004-05-27,19.63,buy,2.0
2004-06-04,19.29,sell,4.0
2004-06-08,19.94,buy,2.0
2004-06-10,19.65,sell,4.0
2004-06-14,19.23,buy,2.0
2004-06-15,19.58,sell,4.0
2004-06-24,21.05,buy,2.0
2004-07-07,19.58,sell,4.0
2004-07-21,17.21,buy,1.0
2004-08-04,18.46,sell,3.0
2004-08-17,17.39,buy,1.0
2004-08-31,20.07,sell,3.0
2004-09-03,20.1,buy,2.0
2004-09-07,20.73,sell,4.0
2004-09-08,20.81,buy,1.0
2004-09-16,22.54,sell,3.0
2004-09-20,22.92,buy,2.0
2004-09-21,23.21,sell,4.0
2004-09-22,22.68,buy,2.0
2004-09-23,22.96,sell,4.0
2004-10-01,24.27,buy,2.0
2004-10-11,23.55,sell,4.0
2004-10-22,23.41,buy,2.0
2004-10-25,23.47,sell,4.0
2004-10-28,24.02,buy,2.0
2004-11-11,25.0,sell,4.0
2004-11-18,29.91,buy,1.0
2004-12-01,32.13,sell,3.0
2004-12-02,33.73,buy,2.0
2004-12-06,33.77,sell,4.0
2004-12-16,34.09,buy,2.0
2004-12-20,34.19,sell,4.0
2009-09-16,23.81,buy,2.0
2009-09-17,23.81,sell,4.0
2009-09-28,25.99,buy,2.0
2009-10-05,26.8,sell,4.0
2009-10-06,26.83,buy,1.0
2009-10-20,28.56,sell,3.0
2009-11-05,28.67,buy,1.0
2009-12-01,31.7,sell,3.0
2009-12-02,31.72,buy,2.0
2009-12-11,32.93,sell,4.0
2009-12-18,33.24,buy,2.0
2009-12-21,33.52,sell,4.0
