time,price,signal
2011-10-06 00:00:00,15.53,buy
2011-10-20 00:00:00,15.91,sell
2011-10-25 00:00:00,17.64,buy
2011-11-01 00:00:00,16.84,sell
2011-11-16 00:00:00,17.48,buy
2011-11-21 00:00:00,15.86,sell
2011-12-01 00:00:00,17.08,buy
2011-12-13 00:00:00,15.35,sell
2011-12-23 00:00:00,15.82,buy
2012-01-17 00:00:00,17.19,sell
2012-01-20 00:00:00,20.55,buy
2012-01-31 00:00:00,21.23,sell
2012-02-06 00:00:00,21.74,buy
2012-02-07 00:00:00,21.78,sell
2012-02-15 00:00:00,24.95,buy
2012-02-23 00:00:00,24.55,sell
2012-03-09 00:00:00,25.64,buy
2012-03-22 00:00:00,26.27,sell
2012-03-23 00:00:00,26.97,buy
2012-03-27 00:00:00,26.91,sell
2012-04-17 00:00:00,24.96,buy
2012-04-23 00:00:00,23.43,sell
2012-04-25 00:00:00,24.06,buy
2012-05-07 00:00:00,23.94,sell
2012-05-22 00:00:00,21.13,buy
2012-06-04 00:00:00,18.81,sell
2012-06-11 00:00:00,19.78,buy
2012-06-22 00:00:00,21.32,sell
2012-06-25 00:00:00,20.7,buy
2012-06-26 00:00:00,21.01,sell
2012-06-28 00:00:00,21.48,buy
2012-07-09 00:00:00,22.13,sell
2012-07-19 00:00:00,22.94,buy
2012-08-01 00:00:00,22.06,sell
2012-08-08 00:00:00,23.81,buy
2012-08-21 00:00:00,24.3,sell
2012-09-07 00:00:00,24.82,buy
2012-09-20 00:00:00,25.84,sell
2012-10-02 00:00:00,25.04,buy
2012-10-10 00:00:00,23.2,sell
2012-10-18 00:00:00,23.2,buy
2012-10-22 00:00:00,21.72,sell
2012-10-24 00:00:00,20.93,buy
2012-10-25 00:00:00,23.49,sell
2012-10-26 00:00:00,24.02,buy
2012-11-12 00:00:00,25.2,sell
2012-11-26 00:00:00,23.98,buy
2012-12-07 00:00:00,23.31,sell
2012-12-12 00:00:00,25.12,buy
2012-12-26 00:00:00,25.44,sell
2013-01-02 00:00:00,27.83,buy
2013-01-09 00:00:00,26.91,sell
2013-01-11 00:00:00,28.0,buy
2013-01-25 00:00:00,30.09,sell
2013-01-28 00:00:00,30.5,buy
2013-01-30 00:00:00,29.98,sell
2013-02-08 00:00:00,31.96,buy
2013-02-21 00:00:00,31.02,sell
2013-03-01 00:00:00,32.19,buy
2013-03-05 00:00:00,32.48,sell
2013-03-06 00:00:00,32.19,buy
2013-03-11 00:00:00,31.59,sell
2013-03-28 00:00:00,30.29,buy
2013-04-02 00:00:00,28.42,sell
2013-04-05 00:00:00,28.55,buy
2013-04-16 00:00:00,28.57,sell
2013-04-25 00:00:00,27.47,buy
2013-05-17 00:00:00,30.2,sell
