time,price,signal
1991-07-10 00:00:00,23.7,buy
1991-07-24 00:00:00,25.06,sell
1991-08-13 00:00:00,24.43,buy
1991-08-21 00:00:00,23.7,sell
1991-08-27 00:00:00,24.95,buy
1991-09-05 00:00:00,23.91,sell
1991-09-23 00:00:00,24.25,buy
1991-10-09 00:00:00,24.46,sell
1991-10-17 00:00:00,26.57,buy
1991-10-25 00:00:00,26.67,sell
1991-11-04 00:00:00,27.73,buy
1991-11-07 00:00:00,26.88,sell
1991-11-21 00:00:00,25.09,buy
1991-11-26 00:00:00,25.2,sell
1991-11-27 00:00:00,25.51,buy
1991-12-11 00:00:00,26.27,sell
1991-12-24 00:00:00,26.37,buy
1992-01-08 00:00:00,26.8,sell
1992-01-14 00:00:00,28.29,buy
1992-01-23 00:00:00,28.93,sell
1992-02-05 00:00:00,30.84,buy
1992-02-14 00:00:00,30.52,sell
1992-03-02 00:00:00,30.31,buy
1992-03-06 00:00:00,29.56,sell
1992-03-12 00:00:00,29.48,buy
1992-03-13 00:00:00,29.48,sell
1992-03-23 00:00:00,29.26,buy
1992-04-02 00:00:00,28.73,sell
1992-04-14 00:00:00,29.58,buy
1992-05-06 00:00:00,31.3,sell
1992-05-21 00:00:00,29.26,buy
1992-05-22 00:00:00,29.69,sell
1992-05-26 00:00:00,30.01,buy
1992-06-10 00:00:00,30.28,sell
1992-07-01 00:00:00,30.5,buy
1992-07-09 00:00:00,29.31,sell
1992-07-31 00:00:00,28.44,buy
1992-08-13 00:00:00,28.98,sell
1992-08-19 00:00:00,29.2,buy
1992-08-25 00:00:00,29.09,sell
1992-08-27 00:00:00,29.63,buy
1992-09-09 00:00:00,30.71,sell
1992-09-22 00:00:00,30.66,buy
1992-09-25 00:00:00,30.33,sell
1992-09-29 00:00:00,30.88,buy
1992-10-05 00:00:00,30.77,sell
1992-10-09 00:00:00,30.88,buy
1992-10-20 00:00:00,32.08,sell
1992-10-27 00:00:00,32.4,buy
1992-10-29 00:00:00,32.51,sell
1992-10-30 00:00:00,33.17,buy
1992-11-05 00:00:00,33.17,sell
1992-11-17 00:00:00,33.6,buy
1992-11-20 00:00:00,33.82,sell
1992-11-23 00:00:00,34.26,buy
1992-11-30 00:00:00,34.04,sell
1992-12-07 00:00:00,34.91,buy
1992-12-22 00:00:00,35.08,sell
1992-12-30 00:00:00,36.5,buy
1993-01-05 00:00:00,35.19,sell
1993-01-14 00:00:00,37.16,buy
1993-01-22 00:00:00,37.38,sell
1993-01-25 00:00:00,37.27,buy
1993-01-26 00:00:00,37.27,sell
1993-02-04 00:00:00,38.04,buy
1993-02-09 00:00:00,37.71,sell
1993-02-24 00:00:00,35.3,buy
1993-03-26 00:00:00,40.87,sell
1993-04-20 00:00:00,38.32,buy
1993-04-23 00:00:00,37.99,sell
1993-05-03 00:00:00,37.66,buy
1993-05-19 00:00:00,38.54,sell
1993-05-21 00:00:00,39.54,buy
1993-06-03 00:00:00,39.32,sell
1993-06-17 00:00:00,35.92,buy
1993-07-07 00:00:00,36.81,sell
1993-07-26 00:00:00,34.13,buy
1993-08-13 00:00:00,37.59,sell
1993-08-27 00:00:00,38.6,buy
1993-09-07 00:00:00,39.82,sell
1993-09-08 00:00:00,39.49,buy
1993-09-21 00:00:00,40.76,sell
1993-09-27 00:00:00,40.65,buy
1993-09-28 00:00:00,40.65,sell
1993-10-11 00:00:00,40.43,buy
1993-10-20 00:00:00,40.54,sell
1993-10-27 00:00:00,41.1,buy
1993-11-02 00:00:00,40.54,sell
1993-11-03 00:00:00,40.32,buy
1993-11-05 00:00:00,38.18,sell
1993-11-19 00:00:00,37.96,buy
1993-11-26 00:00:00,37.85,sell
1993-11-29 00:00:00,37.85,buy
1993-12-10 00:00:00,38.97,sell
1993-12-20 00:00:00,39.7,buy
1994-01-04 00:00:00,40.61,sell
1994-01-17 00:00:00,39.93,buy
1994-02-02 00:00:00,44.23,sell
1994-02-15 00:00:00,44.11,buy
1994-02-23 00:00:00,44.34,sell
1994-03-03 00:00:00,44.56,buy
1994-03-10 00:00:00,44.79,sell
1994-03-11 00:00:00,43.89,buy
1994-03-14 00:00:00,44.17,sell
1994-03-23 00:00:00,45.08,buy
1994-03-29 00:00:00,43.26,sell
1994-04-08 00:00:00,43.83,buy
1994-04-19 00:00:00,42.57,sell
1994-04-25 00:00:00,43.26,buy
1994-05-06 00:00:00,43.03,sell
1994-05-19 00:00:00,42.8,buy
1994-05-20 00:00:00,43.14,sell
1994-05-23 00:00:00,43.03,buy
1994-05-26 00:00:00,43.75,sell
1994-05-27 00:00:00,43.64,buy
1994-06-02 00:00:00,41.93,sell
1994-06-15 00:00:00,42.33,buy
1994-07-01 00:00:00,44.62,sell
1994-07-18 00:00:00,45.65,buy
1994-07-21 00:00:00,45.31,sell
1994-07-27 00:00:00,46.23,buy
1994-08-04 00:00:00,46.11,sell
1994-08-10 00:00:00,46.8,buy
1994-08-12 00:00:00,45.54,sell
1994-08-26 00:00:00,45.77,buy
1994-08-29 00:00:00,45.54,sell
1994-09-01 00:00:00,45.88,buy
1994-09-07 00:00:00,45.42,sell
1994-09-09 00:00:00,45.88,buy
1994-09-13 00:00:00,44.51,sell
1994-09-16 00:00:00,44.85,buy
1994-09-28 00:00:00,45.71,sell
1994-09-29 00:00:00,46.17,buy
1994-10-06 00:00:00,46.17,sell
1994-10-17 00:00:00,46.87,buy
1994-10-24 00:00:00,46.52,sell
1994-10-31 00:00:00,49.17,buy
1994-11-11 00:00:00,48.25,sell
1994-11-17 00:00:00,49.64,buy
1994-11-21 00:00:00,47.91,sell
1994-11-30 00:00:00,48.14,buy
1994-12-08 00:00:00,46.17,sell
1994-12-15 00:00:00,47.86,buy
1994-12-29 00:00:00,48.2,sell
1995-01-17 00:00:00,47.97,buy
1995-01-27 00:00:00,47.51,sell
1995-02-03 00:00:00,49.13,buy
1995-02-15 00:00:00,49.6,sell
1995-02-27 00:00:00,49.71,buy
1995-03-03 00:00:00,47.86,sell
1995-03-09 00:00:00,49.13,buy
1995-03-23 00:00:00,51.87,sell
1995-03-24 00:00:00,53.16,buy
1995-03-30 00:00:00,51.75,sell
1995-04-10 00:00:00,51.87,buy
1995-04-19 00:00:00,50.94,sell
1995-04-25 00:00:00,50.82,buy
1995-04-26 00:00:00,50.7,sell
1995-04-28 00:00:00,51.99,buy
1995-05-08 00:00:00,51.4,sell
1995-05-10 00:00:00,52.69,buy
1995-05-16 00:00:00,53.51,sell
1995-05-17 00:00:00,53.74,buy
1995-05-22 00:00:00,53.97,sell
1995-05-24 00:00:00,55.84,buy
1995-05-30 00:00:00,54.21,sell
1995-06-12 00:00:00,53.86,buy
1995-06-27 00:00:00,56.26,sell
1995-07-10 00:00:00,58.26,buy
1995-07-14 00:00:00,57.08,sell
1995-07-28 00:00:00,56.14,buy
1995-08-08 00:00:00,56.97,sell
1995-08-21 00:00:00,56.38,buy
1995-08-22 00:00:00,55.09,sell
1995-08-25 00:00:00,56.61,buy
1995-09-11 00:00:00,60.49,sell
1995-09-12 00:00:00,60.84,buy
1995-09-14 00:00:00,60.84,sell
1995-09-15 00:00:00,60.84,buy
1995-09-18 00:00:00,61.08,sell
1995-09-26 00:00:00,61.55,buy
1995-09-29 00:00:00,61.52,sell
1995-10-02 00:00:00,62.47,buy
1995-10-05 00:00:00,61.76,sell
1995-10-09 00:00:00,62.0,buy
1995-10-10 00:00:00,61.88,sell
1995-10-16 00:00:00,62.59,buy
1995-10-19 00:00:00,61.88,sell
1995-10-31 00:00:00,60.34,buy
1995-11-20 00:00:00,63.65,sell
1995-12-07 00:00:00,65.89,buy
1995-12-19 00:00:00,66.93,sell
1995-12-28 00:00:00,35.13,buy
1995-12-29 00:00:00,35.37,sell
1996-01-12 00:00:00,35.37,buy
1996-01-25 00:00:00,36.31,sell
1996-02-02 00:00:00,35.6,buy
1996-02-05 00:00:00,35.96,sell
1996-02-22 00:00:00,36.91,buy
1996-03-11 00:00:00,38.93,sell
1996-03-14 00:00:00,40.64,buy
1996-03-20 00:00:00,40.17,sell
1996-03-29 00:00:00,42.91,buy
1996-04-08 00:00:00,41.48,sell
1996-04-16 00:00:00,42.67,buy
1996-04-25 00:00:00,42.31,sell
1996-05-10 00:00:00,40.64,buy
1996-05-22 00:00:00,41.36,sell
1996-05-23 00:00:00,41.95,buy
1996-05-29 00:00:00,41.6,sell
1996-05-31 00:00:00,41.6,buy
1996-06-06 00:00:00,42.31,sell
1996-06-07 00:00:00,41.48,buy
1996-06-10 00:00:00,42.07,sell
1996-06-12 00:00:00,43.67,buy
1996-06-17 00:00:00,42.12,sell
1996-06-26 00:00:00,42.48,buy
1996-06-28 00:00:00,44.51,sell
1996-07-01 00:00:00,43.07,buy
1996-07-03 00:00:00,42.95,sell
1996-07-19 00:00:00,39.6,buy
1996-07-23 00:00:00,37.81,sell
1996-07-25 00:00:00,38.29,buy
1996-08-15 00:00:00,42.24,sell
1996-08-28 00:00:00,43.07,buy
1996-09-04 00:00:00,42.71,sell
1996-09-11 00:00:00,42.95,buy
1996-09-27 00:00:00,44.82,sell
1996-10-08 00:00:00,44.94,buy
1996-10-09 00:00:00,44.22,sell
1996-10-16 00:00:00,45.18,buy
1996-10-29 00:00:00,46.02,sell
1996-11-01 00:00:00,46.38,buy
1996-11-04 00:00:00,46.02,sell
1996-11-13 00:00:00,47.46,buy
1996-11-29 00:00:00,49.02,sell
1996-12-18 00:00:00,45.13,buy
1996-12-24 00:00:00,42.48,sell
1996-12-30 00:00:00,44.53,buy
1997-01-16 00:00:00,47.06,sell
1997-01-21 00:00:00,48.63,buy
1997-01-23 00:00:00,46.46,sell
1997-02-03 00:00:00,46.7,buy
1997-02-05 00:00:00,45.01,sell
1997-02-10 00:00:00,47.06,buy
1997-02-20 00:00:00,46.82,sell
1997-02-26 00:00:00,49.11,buy
1997-02-28 00:00:00,47.91,sell
1997-03-06 00:00:00,49.23,buy
1997-03-17 00:00:00,49.18,sell
1997-03-26 00:00:00,49.18,buy
1997-04-02 00:00:00,47.37,sell
1997-04-09 00:00:00,49.06,buy
1997-04-15 00:00:00,48.34,sell
1997-04-25 00:00:00,46.64,buy
1997-05-14 00:00:00,53.67,sell
1997-05-21 00:00:00,55.12,buy
1997-05-30 00:00:00,56.21,sell
1997-06-02 00:00:00,56.57,buy
1997-06-04 00:00:00,57.3,sell
1997-06-06 00:00:00,59.12,buy
1997-06-13 00:00:00,59.67,sell
1997-06-20 00:00:00,60.89,buy
1997-06-23 00:00:00,59.8,sell
1997-06-26 00:00:00,60.46,buy
1997-06-27 00:00:00,60.89,sell
1997-07-08 00:00:00,61.5,buy
1997-07-10 00:00:00,60.65,sell
1997-07-15 00:00:00,62.1,buy
1997-07-23 00:00:00,63.93,sell
1997-07-24 00:00:00,62.96,buy
1997-07-28 00:00:00,64.29,sell
1997-07-29 00:00:00,63.81,buy
1997-08-06 00:00:00,68.0,sell
1997-08-07 00:00:00,66.72,buy
1997-08-08 00:00:00,67.27,sell
1997-08-18 00:00:00,67.45,buy
1997-08-19 00:00:00,67.76,sell
1997-08-21 00:00:00,65.75,buy
1997-08-22 00:00:00,66.91,sell
1997-09-05 00:00:00,66.12,buy
1997-09-12 00:00:00,66.48,sell
1997-09-17 00:00:00,69.09,buy
1997-09-25 00:00:00,71.16,sell
1997-10-15 00:00:00,69.39,buy
1997-10-16 00:00:00,68.78,sell
1997-10-21 00:00:00,70.43,buy
1997-10-28 00:00:00,66.46,sell
1997-10-30 00:00:00,67.32,buy
1997-11-11 00:00:00,69.15,sell
1997-11-20 00:00:00,70.61,buy
1997-12-05 00:00:00,71.53,sell
1997-12-18 00:00:00,74.59,buy
1997-12-31 00:00:00,41.49,sell
1998-01-14 00:00:00,37.51,buy
1998-01-27 00:00:00,37.94,sell
1998-01-30 00:00:00,39.71,buy
1998-02-12 00:00:00,42.34,sell
1998-02-18 00:00:00,43.57,buy
1998-02-20 00:00:00,42.71,sell
1998-02-24 00:00:00,43.45,buy
1998-02-25 00:00:00,43.94,sell
1998-02-26 00:00:00,44.98,buy
1998-03-04 00:00:00,42.59,sell
1998-03-12 00:00:00,44.61,buy
1998-03-19 00:00:00,42.46,sell
1998-03-25 00:00:00,44.43,buy
1998-04-07 00:00:00,45.78,sell
1998-04-16 00:00:00,46.39,buy
1998-04-22 00:00:00,46.14,sell
1998-04-24 00:00:00,45.41,buy
1998-04-27 00:00:00,44.98,sell
1998-05-01 00:00:00,47.19,buy
1998-05-08 00:00:00,47.43,sell
1998-05-11 00:00:00,47.49,buy
1998-05-19 00:00:00,47.31,sell
1998-06-02 00:00:00,46.27,buy
1998-06-08 00:00:00,45.78,sell
1998-06-10 00:00:00,45.65,buy
1998-06-11 00:00:00,45.65,sell
1998-06-15 00:00:00,45.34,buy
1998-06-16 00:00:00,45.16,sell
1998-06-18 00:00:00,46.76,buy
1998-07-14 00:00:00,54.2,sell
1998-07-28 00:00:00,54.51,buy
1998-07-30 00:00:00,52.05,sell
1998-08-07 00:00:00,52.42,buy
1998-08-25 00:00:00,56.36,sell
1998-09-10 00:00:00,46.82,buy
1998-09-11 00:00:00,47.44,sell
1998-09-14 00:00:00,49.9,buy
1998-09-25 00:00:00,46.88,sell
1998-10-12 00:00:00,40.22,buy
1998-10-28 00:00:00,48.11,sell
1998-11-03 00:00:00,51.13,buy
1998-11-16 00:00:00,51.57,sell
1998-11-18 00:00:00,53.91,buy
1998-11-27 00:00:00,54.28,sell
1998-12-08 00:00:00,54.65,buy
1998-12-14 00:00:00,50.16,sell
1998-12-21 00:00:00,54.24,buy
1999-01-05 00:00:00,56.78,sell
1999-01-21 00:00:00,61.23,buy
1999-02-03 00:00:00,61.79,sell
1999-02-12 00:00:00,62.71,buy
1999-02-26 00:00:00,65.56,sell
1999-03-08 00:00:00,67.29,buy
1999-03-16 00:00:00,69.18,sell
1999-03-19 00:00:00,73.33,buy
1999-03-24 00:00:00,73.95,sell
1999-03-29 00:00:00,77.79,buy
1999-04-05 00:00:00,77.92,sell
1999-04-09 00:00:00,83.68,buy
1999-04-15 00:00:00,73.89,sell
1999-04-26 00:00:00,76.68,buy
1999-05-03 00:00:00,73.08,sell
