time,price,signal,label
2023-02-16,23.5,buy,2.0
2023-02-27,22.09,sell,4.0
2023-03-06,22.04,buy,2.0
2023-03-08,21.87,sell,4.0
2023-03-09,20.86,buy,2.0
2023-03-10,19.89,sell,4.0
2023-03-17,19.7,buy,1.0
2023-04-06,21.66,sell,3.0
2023-04-11,22.88,buy,2.0
2023-04-13,22.14,sell,4.0
2023-04-20,22.15,buy,2.0
2023-04-21,22.53,sell,4.0
2023-04-24,22.58,buy,2.0
2023-04-26,21.65,sell,4.0
2023-04-28,23.33,buy,2.0
2023-05-04,16.4,sell,4.0
2023-05-18,15.71,buy,2.0
2023-05-24,14.64,sell,4.0
2023-05-30,15.86,buy,2.0
2023-06-12,16.51,sell,4.0
2023-06-13,16.62,buy,2.0
2023-06-20,15.67,sell,4.0
2023-06-30,15.91,buy,2.0
2023-07-17,15.36,sell,4.0
2023-08-01,16.06,buy,2.0
2023-08-04,15.63,sell,4.0
2023-08-07,16.09,buy,2.0
2023-08-11,15.27,sell,4.0
2023-08-24,14.73,buy,2.0
2023-08-28,14.74,sell,4.0
2023-08-29,14.96,buy,2.0
2023-09-05,13.65,sell,4.0
2023-09-15,14.06,buy,2.0
2023-09-21,13.3,sell,4.0
2023-09-29,12.9,buy,2.0
2023-10-04,11.83,sell,4.0
2023-10-10,12.43,buy,2.0
2023-10-23,11.19,sell,4.0
2023-11-02,11.92,buy,2.0
2023-11-13,12.0,sell,4.0
2023-11-16,12.76,buy,1.0
2023-12-06,15.22,sell,3.0
2024-01-05,14.65,buy,2.0
2024-01-11,13.35,sell,4.0
2024-01-22,13.75,buy,2.0
2024-02-06,13.99,sell,4.0
2024-02-28,11.06,buy,2.0
2024-02-29,11.04,sell,4.0
2024-03-04,10.3,buy,2.0
2024-03-05,10.21,sell,4.0
2024-03-07,10.8,buy,1.0
2024-03-20,12.51,sell,3.0
2024-03-21,11.82,buy,2.0
2024-03-25,11.45,sell,4.0
2024-04-03,13.52,buy,2.0
2024-04-08,11.06,sell,4.0
2024-04-19,12.44,buy,2.0
2024-05-01,12.26,sell,4.0
2024-05-03,12.89,buy,2.0
2024-05-06,13.29,sell,4.0
2024-05-29,11.7,buy,2.0
2024-05-30,11.82,sell,4.0
2024-05-31,11.91,buy,2.0
2024-06-10,11.98,sell,4.0
2024-06-24,10.29,buy,1.0
2024-07-19,11.52,sell,3.0
2024-08-16,11.0,buy,2.0
2024-08-28,10.7,sell,4.0
2024-09-13,10.57,buy,2.0
2024-09-24,10.55,sell,4.0
2024-09-25,10.55,buy,2.0
2024-09-26,10.66,sell,4.0
2024-09-27,10.79,buy,2.0
2024-10-02,10.43,sell,4.0
2024-10-16,10.52,buy,2.0
2024-10-18,10.45,sell,4.0
2024-10-21,10.31,buy,2.0
2024-10-22,10.27,sell,4.0
2024-10-29,10.47,buy,1.0
2024-11-11,11.55,sell,3.0
2024-11-12,11.45,buy,2.0
2024-11-14,11.35,sell,4.0
2024-11-25,11.12,buy,2.0
2024-12-06,10.99,sell,4.0
2024-12-09,11.17,buy,2.0
2024-12-16,10.98,sell,4.0
2025-01-02,10.58,buy,2.0
2025-01-13,10.72,sell,4.0
2025-01-14,10.67,buy,2.0
2025-01-15,10.44,sell,4.0
2025-01-23,10.87,buy,2.0
2025-02-04,10.92,sell,4.0
