time,price,signal,label
1987-01-06,78.87,buy,1.0
1987-01-22,88.0,sell,3.0
1987-01-23,85.0,buy,2.0
1987-01-26,86.87,sell,4.0
1987-02-18,88.75,buy,2.0
1987-02-24,85.37,sell,4.0
1987-03-05,91.0,buy,2.0
1987-03-17,91.75,sell,4.0
1987-03-24,94.75,buy,2.0
1987-03-26,93.62,sell,4.0
1987-03-30,91.12,buy,2.0
1987-03-31,92.0,sell,4.0
1987-04-06,96.75,buy,2.0
1987-04-10,92.75,sell,4.0
1987-04-22,88.0,buy,2.0
1987-04-27,85.5,sell,4.0
1987-05-06,85.25,buy,2.0
1987-05-18,89.0,sell,4.0
1987-05-27,91.37,buy,2.0
1987-06-08,94.0,sell,4.0
1987-06-09,93.75,buy,2.0
1987-06-12,98.0,sell,4.0
1987-06-15,98.25,buy,2.0
1987-06-18,96.87,sell,4.0
1987-06-26,97.12,buy,2.0
1987-06-29,98.0,sell,4.0
1987-07-15,95.25,buy,2.0
1987-07-21,91.87,sell,4.0
1987-07-24,92.0,buy,2.0
1987-07-27,91.12,sell,4.0
1987-07-30,93.0,buy,1.0
1987-08-19,100.12,sell,3.0
1987-09-01,98.5,buy,2.0
1987-09-02,98.62,sell,4.0
1987-09-14,99.87,buy,2.0
1987-09-22,99.0,sell,4.0
1987-09-23,99.25,buy,2.0
1987-10-07,99.75,sell,4.0
1987-10-21,81.0,buy,2.0
1987-11-09,83.75,sell,4.0
1987-11-13,85.75,buy,2.0
1987-11-18,86.5,sell,4.0
1987-11-19,85.75,buy,2.0
1987-11-20,86.0,sell,4.0
1987-11-24,87.62,buy,2.0
1987-11-30,81.37,sell,4.0
1987-12-09,85.37,buy,2.0
1987-12-22,86.12,sell,4.0
1987-12-28,85.25,buy,2.0
1987-12-29,84.25,sell,4.0
1988-01-05,86.5,buy,2.0
1988-01-11,83.0,sell,4.0
1988-01-15,84.5,buy,2.0
1988-01-21,82.87,sell,4.0
1988-01-26,84.75,buy,2.0
1988-02-04,81.0,sell,4.0
1988-02-11,82.75,buy,2.0
1988-02-22,83.25,sell,4.0
1988-03-01,83.5,buy,2.0
1988-03-03,82.37,sell,4.0
1988-03-15,81.0,buy,2.0
1988-03-25,77.25,sell,4.0
1988-04-07,79.87,buy,2.0
1988-04-15,78.87,sell,4.0
1988-04-27,78.12,buy,2.0
1988-05-05,75.37,sell,4.0
1988-05-16,74.75,buy,2.0
1988-05-19,72.37,sell,4.0
1988-05-20,72.0,buy,1.0
1988-06-15,78.37,sell,3.0
1988-06-24,77.75,buy,2.0
1988-06-28,76.37,sell,4.0
1988-07-01,77.0,buy,2.0
1988-07-08,75.25,sell,4.0
1988-07-29,75.12,buy,2.0
1988-08-10,72.5,sell,4.0
1988-08-22,72.62,buy,1.0
1988-09-16,79.25,sell,3.0
1988-09-30,80.0,buy,2.0
1988-10-20,82.62,sell,4.0
1988-10-21,84.5,buy,2.0
1988-10-25,83.25,sell,4.0
1988-11-04,84.62,buy,2.0
1988-11-08,82.12,sell,4.0
1988-11-21,81.0,buy,2.0
1988-12-14,84.12,sell,4.0
1988-12-20,85.5,buy,2.0
1988-12-21,85.75,sell,4.0
1988-12-23,86.5,buy,2.0
1988-12-29,86.25,sell,4.0
1989-01-03,84.5,buy,2.0
1989-01-04,85.37,sell,4.0
1989-01-10,88.62,buy,2.0
1989-01-16,87.37,sell,4.0
1989-01-26,89.62,buy,2.0
1989-02-06,90.37,sell,4.0
1989-02-16,91.12,buy,2.0
1989-02-24,88.62,sell,4.0
1989-03-07,88.37,buy,2.0
1989-03-21,90.37,sell,4.0
1989-03-27,91.12,buy,2.0
1989-03-28,92.25,sell,4.0
1989-03-29,92.0,buy,2.0
1989-04-05,92.0,sell,4.0
1989-04-17,92.25,buy,2.0
1989-05-04,96.62,sell,4.0
1989-05-15,99.0,buy,2.0
1989-05-26,102.62,sell,4.0
1989-06-02,105.75,buy,2.0
1989-06-06,104.0,sell,4.0
1989-06-13,108.75,buy,2.0
1989-06-28,112.12,sell,4.0
1989-07-11,112.25,buy,2.0
1989-07-21,117.5,sell,4.0
1989-07-27,120.12,buy,2.0
1989-08-03,119.37,sell,4.0
1989-08-11,125.0,buy,2.0
1989-08-21,123.25,sell,4.0
1989-08-24,131.0,buy,2.0
1989-08-30,128.25,sell,4.0
1989-09-19,122.75,buy,2.0
1989-09-26,118.37,sell,4.0
1989-09-29,120.0,buy,2.0
1989-10-16,123.62,sell,4.0
1989-10-20,129.88,buy,2.0
1989-10-27,125.37,sell,4.0
1989-11-09,126.62,buy,2.0
1989-11-21,65.0,sell,4.0
1989-12-04,66.5,buy,2.0
1989-12-08,65.12,sell,4.0
1989-12-11,65.25,buy,2.0
1989-12-22,68.25,sell,4.0
1989-12-26,67.87,buy,2.0
1990-01-05,67.75,sell,4.0
1990-01-12,67.75,buy,2.0
1990-01-15,68.0,sell,4.0
1990-01-19,69.0,buy,2.0
1990-01-23,66.12,sell,4.0
1990-02-02,65.12,buy,2.0
1990-02-14,65.62,sell,4.0
1990-02-16,66.87,buy,2.0
1990-02-21,64.62,sell,4.0
1990-03-05,63.38,buy,1.0
1990-03-23,67.25,sell,3.0
1990-03-27,69.0,buy,2.0
1990-03-30,67.75,sell,4.0
1990-04-10,70.87,buy,2.0
1990-04-19,69.25,sell,4.0
1990-04-27,69.87,buy,1.0
1990-05-10,73.62,sell,3.0
1990-05-14,75.75,buy,2.0
1990-05-17,76.62,sell,4.0
1990-05-22,79.12,buy,2.0
1990-05-29,80.0,sell,4.0
1990-05-30,82.0,buy,2.0
1990-06-04,82.75,sell,4.0
1990-06-13,83.5,buy,2.0
1990-06-25,82.12,sell,4.0
1990-06-29,87.12,buy,2.0
1990-07-16,89.87,sell,4.0
1990-08-01,85.5,buy,2.0
1990-08-02,82.25,sell,4.0
1990-08-09,80.87,buy,2.0
1990-08-21,76.0,sell,4.0
1990-08-29,77.87,buy,2.0
1990-09-11,77.12,sell,4.0
1990-09-26,72.12,buy,2.0
1990-10-11,73.5,sell,4.0
1990-10-19,80.37,buy,2.0
1990-10-26,77.62,sell,4.0
1990-11-07,78.75,buy,2.0
1990-11-19,81.87,sell,4.0
1990-12-03,83.12,buy,2.0
1990-12-17,85.75,sell,4.0
1991-01-16,80.37,buy,2.0
1991-01-24,78.25,sell,4.0
1991-02-01,79.62,buy,1.0
1991-02-15,85.0,sell,3.0
1991-02-19,84.0,buy,2.0
1991-02-20,82.87,sell,4.0
1991-02-27,81.62,buy,2.0
1991-02-28,81.25,sell,4.0
1991-03-05,84.75,buy,2.0
1991-03-13,84.87,sell,4.0
1991-03-27,84.62,buy,2.0
1991-04-10,83.5,sell,4.0
1991-04-15,87.5,buy,2.0
1991-04-22,86.12,sell,4.0
1991-05-09,83.25,buy,2.0
1991-05-15,82.12,sell,4.0
1991-05-21,82.12,buy,2.0
1991-06-05,83.0,sell,4.0
1991-06-14,84.5,buy,2.0
1991-06-20,80.37,sell,4.0
1991-07-02,79.62,buy,2.0
1991-07-23,78.37,sell,4.0
1991-07-31,80.75,buy,2.0
1991-08-09,81.12,sell,4.0
1991-08-14,82.75,buy,2.0
1991-08-19,80.0,sell,4.0
1991-08-26,82.75,buy,2.0
1991-09-04,83.12,sell,4.0
1991-09-17,83.87,buy,2.0
1991-09-24,84.75,sell,4.0
1991-09-25,84.25,buy,2.0
1991-09-26,83.5,sell,4.0
1991-10-02,84.62,buy,2.0
1991-10-04,83.37,sell,4.0
1991-10-14,83.5,buy,2.0
1991-10-22,80.62,sell,4.0
1991-10-29,84.25,buy,2.0
1991-11-08,82.62,sell,4.0
1991-11-14,84.5,buy,2.0
1991-11-18,82.37,sell,4.0
1991-11-27,81.62,buy,2.0
1991-12-11,82.62,sell,4.0
1991-12-13,83.87,buy,1.0
1992-01-02,93.0,sell,3.0
1992-01-15,95.25,buy,2.0
1992-01-17,90.25,sell,4.0
1992-01-23,98.0,buy,2.0
1992-02-04,101.87,sell,4.0
1992-02-21,102.25,buy,2.0
1992-03-06,99.12,sell,4.0
1992-03-18,99.12,buy,2.0
1992-03-30,100.12,sell,4.0
1992-04-01,102.37,buy,2.0
1992-04-07,97.75,sell,4.0
1992-04-14,104.5,buy,2.0
1992-04-21,100.5,sell,4.0
1992-04-28,101.75,buy,2.0
1992-04-29,100.62,sell,4.0
1992-05-01,102.25,buy,2.0
1992-05-18,104.25,sell,4.0
1992-06-01,104.25,buy,2.0
1992-06-08,102.0,sell,4.0
1992-06-26,46.13,buy,1.0
1992-07-20,49.75,sell,3.0
1992-07-31,50.63,buy,2.0
1992-08-10,49.25,sell,4.0
1992-08-19,48.5,buy,2.0
1992-08-26,47.25,sell,4.0
1992-09-10,48.5,buy,2.0
1992-09-22,47.75,sell,4.0
1992-10-01,49.38,buy,2.0
1992-10-21,51.38,sell,4.0
1992-10-27,53.0,buy,2.0
1992-10-29,52.63,sell,4.0
1992-11-04,52.13,buy,2.0
1992-11-05,53.25,sell,4.0
1992-11-12,54.5,buy,2.0
1992-11-18,54.0,sell,4.0
1992-11-19,54.63,buy,2.0
1992-11-24,54.63,sell,4.0
1992-12-18,54.25,buy,2.0
1992-12-31,53.63,sell,4.0
1993-01-15,51.0,buy,2.0
1993-01-22,50.25,sell,4.0
1993-01-25,51.25,buy,2.0
1993-01-28,49.75,sell,4.0
1993-02-02,50.0,buy,2.0
1993-02-16,50.13,sell,4.0
1993-02-25,50.88,buy,2.0
1993-03-11,53.25,sell,4.0
1993-04-01,49.88,buy,2.0
1993-04-06,46.75,sell,4.0
1993-04-07,46.63,buy,2.0
1993-04-22,47.25,sell,4.0
1993-04-28,48.13,buy,2.0
1993-05-07,49.13,sell,4.0
1993-05-12,49.75,buy,2.0
1993-05-14,49.25,sell,4.0
1993-05-20,50.63,buy,2.0
1993-05-26,49.88,sell,4.0
1993-06-15,48.25,buy,1.0
1993-07-06,51.0,sell,3.0
1993-07-13,51.5,buy,2.0
1993-07-14,52.5,sell,4.0
1993-07-29,49.38,buy,2.0
1993-08-04,47.88,sell,4.0
1993-08-17,47.25,buy,2.0
1993-08-30,47.75,sell,4.0
1993-09-02,48.63,buy,2.0
1993-09-10,48.0,sell,4.0
1993-09-27,48.0,buy,1.0
1993-10-14,52.25,sell,3.0
1993-10-15,53.0,buy,2.0
1993-10-20,52.75,sell,4.0
1993-10-28,54.5,buy,2.0
1993-11-03,52.25,sell,4.0
1993-11-09,54.63,buy,2.0
1993-11-18,55.13,sell,4.0
1993-11-30,56.75,buy,2.0
1993-12-10,56.5,sell,4.0
1993-12-22,57.0,buy,2.0
1994-01-03,57.5,sell,4.0
1994-01-11,58.5,buy,2.0
1994-01-25,57.63,sell,4.0
1994-01-31,59.5,buy,2.0
1994-02-02,58.75,sell,4.0
1994-02-14,58.5,buy,2.0
1994-02-22,59.0,sell,4.0
1994-03-08,57.25,buy,2.0
1994-03-11,57.25,sell,4.0
1994-03-14,56.75,buy,2.0
1994-03-16,56.38,sell,4.0
1994-03-21,56.0,buy,2.0
1994-03-24,53.75,sell,4.0
1994-03-29,53.5,buy,2.0
1994-03-30,53.13,sell,4.0
1994-04-04,52.5,buy,2.0
1994-04-05,54.5,sell,4.0
1994-04-06,53.63,buy,2.0
1994-04-19,54.63,sell,4.0
1994-04-20,55.75,buy,2.0
1994-05-03,56.5,sell,4.0
1994-05-17,56.88,buy,2.0
1994-05-25,55.5,sell,4.0
1994-05-31,56.38,buy,2.0
1994-06-02,55.75,sell,4.0
1994-06-06,57.75,buy,2.0
1994-06-10,56.38,sell,4.0
1994-06-23,55.13,buy,2.0
1994-06-24,55.0,sell,4.0
1994-06-27,55.0,buy,2.0
1994-06-30,53.38,sell,4.0
1994-07-06,54.5,buy,2.0
1994-07-19,53.5,sell,4.0
1994-07-26,54.0,buy,2.0
1994-08-05,53.75,sell,4.0
1994-08-12,56.0,buy,1.0
1994-08-26,59.75,sell,3.0
1994-08-29,59.63,buy,2.0
1994-09-06,60.0,sell,4.0
1994-09-16,60.25,buy,2.0
1994-09-26,59.63,sell,4.0
1994-10-07,59.88,buy,2.0
1994-10-21,62.38,sell,4.0
1994-10-31,62.88,buy,2.0
1994-11-04,61.75,sell,4.0
1994-11-15,62.38,buy,2.0
1994-11-23,62.0,sell,4.0
1994-11-30,62.5,buy,2.0
1994-12-01,61.38,sell,4.0
1994-12-12,62.0,buy,2.0
1994-12-27,63.13,sell,4.0
1994-12-28,62.63,buy,2.0
1994-12-30,62.0,sell,4.0
1995-01-13,62.5,buy,2.0
1995-01-20,61.38,sell,4.0
1995-01-26,63.0,buy,2.0
1995-02-10,65.37,sell,4.0
