time,price,signal
2007-09-12 00:00:00,30.8,buy
2007-09-24 00:00:00,30.06,sell
2007-10-03 00:00:00,30.71,buy
2007-10-12 00:00:00,29.56,sell
2007-10-26 00:00:00,27.02,buy
2007-11-05 00:00:00,25.06,sell
2007-11-12 00:00:00,25.22,buy
2007-11-19 00:00:00,23.77,sell
2007-11-28 00:00:00,25.89,buy
2007-12-12 00:00:00,24.65,sell
2007-12-26 00:00:00,24.48,buy
2008-01-02 00:00:00,23.28,sell
2008-01-11 00:00:00,20.47,buy
2008-01-22 00:00:00,20.13,sell
2008-01-23 00:00:00,21.84,buy
2008-02-06 00:00:00,23.69,sell
2008-02-21 00:00:00,22.48,buy
2008-02-22 00:00:00,23.11,sell
2008-02-25 00:00:00,23.11,buy
2008-02-29 00:00:00,21.2,sell
2008-03-12 00:00:00,21.37,buy
2008-03-18 00:00:00,20.01,sell
2008-03-20 00:00:00,21.72,buy
2008-03-31 00:00:00,19.75,sell
2008-04-03 00:00:00,21.81,buy
2008-04-09 00:00:00,20.18,sell
2008-04-17 00:00:00,21.69,buy
2008-05-06 00:00:00,22.86,sell
2008-05-29 00:00:00,18.57,buy
2008-06-03 00:00:00,16.68,sell
2008-06-16 00:00:00,13.75,buy
2008-06-30 00:00:00,10.91,sell
2008-07-01 00:00:00,11.59,buy
2008-07-07 00:00:00,9.64,sell
2008-07-09 00:00:00,9.6,buy
2008-07-10 00:00:00,9.48,sell
2008-07-17 00:00:00,9.79,buy
2008-07-28 00:00:00,8.68,sell
2008-08-07 00:00:00,9.47,buy
2008-08-13 00:00:00,8.36,sell
2008-08-28 00:00:00,8.92,buy
2008-09-10 00:00:00,11.24,sell
2008-09-19 00:00:00,19.8,buy
2008-09-24 00:00:00,13.02,sell
2008-10-06 00:00:00,12.13,buy
2008-10-09 00:00:00,7.6,sell
2008-10-15 00:00:00,11.67,buy
2008-10-24 00:00:00,8.94,sell
2008-10-29 00:00:00,11.36,buy
2008-11-07 00:00:00,10.96,sell
2008-11-25 00:00:00,9.41,buy
2008-12-10 00:00:00,8.97,sell
