time,price,signal
1981-03-19 00:00:00,36.88,buy
1981-03-30 00:00:00,35.38,sell
1981-04-06 00:00:00,36.63,buy
1981-04-29 00:00:00,40.88,sell
1981-05-11 00:00:00,41.0,buy
1981-05-20 00:00:00,41.13,sell
1981-06-02 00:00:00,41.0,buy
1981-06-04 00:00:00,41.0,sell
1981-06-05 00:00:00,42.25,buy
1981-06-18 00:00:00,41.25,sell
1981-07-02 00:00:00,37.38,buy
1981-07-07 00:00:00,36.0,sell
1981-07-08 00:00:00,35.63,buy
1981-07-09 00:00:00,35.5,sell
1981-07-13 00:00:00,36.0,buy
1981-07-16 00:00:00,35.25,sell
1981-07-23 00:00:00,33.38,buy
1981-08-10 00:00:00,36.5,sell
1981-08-20 00:00:00,37.13,buy
1981-08-24 00:00:00,35.13,sell
1981-09-10 00:00:00,32.13,buy
1981-09-21 00:00:00,28.75,sell
1981-09-30 00:00:00,30.13,buy
1981-10-12 00:00:00,29.75,sell
1981-10-21 00:00:00,31.0,buy
1981-10-30 00:00:00,30.5,sell
1981-11-11 00:00:00,29.63,buy
1981-11-12 00:00:00,29.38,sell
1981-11-20 00:00:00,28.25,buy
1981-11-23 00:00:00,28.25,sell
1981-11-25 00:00:00,28.75,buy
1981-12-16 00:00:00,32.13,sell
1981-12-21 00:00:00,32.75,buy
1981-12-22 00:00:00,31.88,sell
1982-01-04 00:00:00,32.5,buy
1982-01-06 00:00:00,30.88,sell
1982-01-20 00:00:00,30.38,buy
1982-02-03 00:00:00,30.25,sell
1982-02-08 00:00:00,31.75,buy
1982-02-17 00:00:00,30.5,sell
1982-03-10 00:00:00,27.25,buy
1982-03-29 00:00:00,27.5,sell
1982-04-05 00:00:00,27.88,buy
1982-04-13 00:00:00,26.88,sell
1982-04-16 00:00:00,27.25,buy
1982-04-30 00:00:00,31.0,sell
1982-05-07 00:00:00,34.0,buy
1982-05-13 00:00:00,32.75,sell
1982-06-03 00:00:00,29.0,buy
1982-07-02 00:00:00,30.63,sell
1982-07-12 00:00:00,33.88,buy
1982-07-20 00:00:00,34.0,sell
1982-08-03 00:00:00,34.38,buy
1982-08-06 00:00:00,32.25,sell
1982-08-18 00:00:00,33.75,buy
1982-09-08 00:00:00,38.5,sell
1982-09-16 00:00:00,38.88,buy
1982-09-17 00:00:00,38.88,sell
1982-09-21 00:00:00,40.38,buy
1982-09-23 00:00:00,39.25,sell
1982-09-29 00:00:00,39.5,buy
1982-09-30 00:00:00,39.13,sell
1982-10-07 00:00:00,41.75,buy
1982-10-14 00:00:00,39.5,sell
1982-10-21 00:00:00,42.63,buy
1982-10-27 00:00:00,40.75,sell
1982-11-03 00:00:00,45.0,buy
1982-11-09 00:00:00,44.13,sell
1982-12-01 00:00:00,42.13,buy
1982-12-16 00:00:00,43.25,sell
1982-12-28 00:00:00,44.0,buy
1982-12-30 00:00:00,42.88,sell
1983-01-10 00:00:00,43.38,buy
1983-01-21 00:00:00,44.88,sell
1983-01-31 00:00:00,47.63,buy
1983-02-14 00:00:00,50.25,sell
1983-02-28 00:00:00,49.63,buy
1983-03-11 00:00:00,50.88,sell
1983-03-24 00:00:00,51.5,buy
1983-04-05 00:00:00,51.5,sell
1983-04-12 00:00:00,52.63,buy
1983-04-26 00:00:00,55.75,sell
1983-04-29 00:00:00,58.88,buy
1983-05-04 00:00:00,58.63,sell
1983-05-09 00:00:00,58.88,buy
1983-05-12 00:00:00,55.88,sell
1983-05-24 00:00:00,57.13,buy
1983-06-08 00:00:00,55.75,sell
1983-06-15 00:00:00,59.88,buy
1983-06-21 00:00:00,34.0,sell
1983-07-05 00:00:00,32.13,buy
1983-07-14 00:00:00,31.0,sell
1983-07-21 00:00:00,33.38,buy
1983-07-29 00:00:00,31.13,sell
1983-08-16 00:00:00,29.75,buy
1983-08-17 00:00:00,29.75,sell
1983-08-31 00:00:00,27.63,buy
1983-09-16 00:00:00,29.75,sell
1983-09-20 00:00:00,30.0,buy
1983-09-22 00:00:00,29.75,sell
1983-10-07 00:00:00,29.25,buy
1983-10-21 00:00:00,30.5,sell
1983-11-04 00:00:00,29.25,buy
1983-11-09 00:00:00,30.38,sell
1983-11-10 00:00:00,31.38,buy
1983-11-22 00:00:00,32.0,sell
1983-11-28 00:00:00,32.38,buy
1983-12-01 00:00:00,32.0,sell
1983-12-09 00:00:00,33.75,buy
1983-12-16 00:00:00,32.5,sell
1983-12-22 00:00:00,33.75,buy
1984-01-03 00:00:00,32.88,sell
1984-01-09 00:00:00,33.25,buy
1984-01-10 00:00:00,33.38,sell
1984-01-11 00:00:00,33.13,buy
1984-01-12 00:00:00,32.5,sell
1984-01-30 00:00:00,29.5,buy
1984-02-02 00:00:00,29.13,sell
