time,price,signal
1993-03-25 00:00:00,15.5,buy
1993-04-05 00:00:00,15.75,sell
1993-04-28 00:00:00,17.25,buy
1993-05-14 00:00:00,19.25,sell
1993-06-04 00:00:00,18.75,buy
1993-06-11 00:00:00,19.0,sell
1993-06-23 00:00:00,18.5,buy
1993-06-24 00:00:00,18.25,sell
1993-06-29 00:00:00,18.13,buy
1993-07-16 00:00:00,21.75,sell
1993-07-28 00:00:00,21.75,buy
1993-08-09 00:00:00,22.5,sell
1993-08-16 00:00:00,23.5,buy
1993-08-23 00:00:00,23.0,sell
1993-09-13 00:00:00,22.25,buy
1993-09-22 00:00:00,22.25,sell
1993-10-01 00:00:00,23.0,buy
1993-10-15 00:00:00,25.0,sell
1993-10-18 00:00:00,25.0,buy
1993-10-20 00:00:00,22.75,sell
1993-10-29 00:00:00,23.25,buy
1993-11-08 00:00:00,23.38,sell
1993-11-09 00:00:00,23.75,buy
1993-11-22 00:00:00,24.5,sell
1993-12-01 00:00:00,26.75,buy
1993-12-13 00:00:00,28.38,sell
1993-12-22 00:00:00,30.0,buy
1994-01-04 00:00:00,29.75,sell
1994-01-24 00:00:00,28.13,buy
1994-02-07 00:00:00,27.25,sell
1994-02-17 00:00:00,27.25,buy
1994-03-11 00:00:00,28.25,sell
1994-03-15 00:00:00,30.13,buy
1994-03-21 00:00:00,30.0,sell
1994-03-28 00:00:00,28.75,buy
1994-03-29 00:00:00,28.0,sell
1994-04-08 00:00:00,29.0,buy
1994-04-15 00:00:00,26.5,sell
1994-04-29 00:00:00,24.75,buy
1994-05-11 00:00:00,22.63,sell
1994-05-19 00:00:00,23.38,buy
1994-06-01 00:00:00,22.75,sell
1994-06-07 00:00:00,23.13,buy
1994-06-17 00:00:00,22.75,sell
1994-06-21 00:00:00,24.25,buy
1994-06-24 00:00:00,24.63,sell
1994-07-05 00:00:00,26.0,buy
1994-07-14 00:00:00,25.75,sell
1994-07-29 00:00:00,25.63,buy
1994-08-17 00:00:00,28.75,sell
1994-08-26 00:00:00,30.25,buy
1994-09-06 00:00:00,30.5,sell
1994-09-07 00:00:00,30.5,buy
1994-09-13 00:00:00,31.75,sell
1994-09-16 00:00:00,33.63,buy
1994-09-23 00:00:00,32.88,sell
1994-09-27 00:00:00,33.63,buy
1994-09-28 00:00:00,33.25,sell
1994-10-06 00:00:00,33.75,buy
1994-10-21 00:00:00,33.5,sell
1994-11-03 00:00:00,33.88,buy
1994-11-16 00:00:00,33.25,sell
1994-11-30 00:00:00,33.25,buy
1994-12-02 00:00:00,34.63,sell
1994-12-05 00:00:00,36.0,buy
1994-12-21 00:00:00,36.25,sell
1994-12-27 00:00:00,37.0,buy
1995-01-04 00:00:00,36.5,sell
1995-01-11 00:00:00,38.5,buy
1995-01-16 00:00:00,38.38,sell
1995-02-02 00:00:00,37.13,buy
1995-02-15 00:00:00,37.25,sell
