time,price,signal
1986-07-02 00:00:00,26.09,buy
1986-07-08 00:00:00,24.89,sell
1986-07-25 00:00:00,23.3,buy
1986-08-06 00:00:00,22.98,sell
1986-08-13 00:00:00,24.26,buy
1986-08-26 00:00:00,25.93,sell
1986-08-27 00:00:00,26.17,buy
1986-08-28 00:00:00,26.49,sell
1986-09-08 00:00:00,26.84,buy
1986-09-12 00:00:00,24.59,sell
1986-09-24 00:00:00,25.39,buy
1986-10-01 00:00:00,17.52,sell
1986-10-13 00:00:00,16.79,buy
1986-10-14 00:00:00,15.75,sell
1986-10-17 00:00:00,16.63,buy
1986-10-28 00:00:00,15.59,sell
1986-10-31 00:00:00,16.87,buy
1986-11-13 00:00:00,17.52,sell
1986-11-21 00:00:00,17.52,buy
1986-12-12 00:00:00,17.8,sell
1987-01-05 00:00:00,18.12,buy
1987-01-19 00:00:00,19.74,sell
1987-01-30 00:00:00,21.44,buy
1987-02-05 00:00:00,20.31,sell
1987-02-25 00:00:00,19.26,buy
1987-03-16 00:00:00,21.32,sell
1987-03-18 00:00:00,22.14,buy
1987-03-20 00:00:00,22.63,sell
1987-03-23 00:00:00,22.46,buy
1987-03-30 00:00:00,21.98,sell
1987-04-07 00:00:00,22.3,buy
1987-04-08 00:00:00,22.46,sell
1987-04-09 00:00:00,21.49,buy
1987-04-10 00:00:00,21.49,sell
1987-04-21 00:00:00,20.67,buy
1987-05-11 00:00:00,21.0,sell
1987-05-26 00:00:00,21.16,buy
1987-06-10 00:00:00,20.63,sell
1987-06-15 00:00:00,22.19,buy
1987-06-24 00:00:00,22.51,sell
1987-07-08 00:00:00,22.92,buy
1987-07-10 00:00:00,22.02,sell
1987-07-24 00:00:00,20.63,buy
1987-07-27 00:00:00,21.29,sell
1987-07-28 00:00:00,21.53,buy
1987-08-13 00:00:00,22.6,sell
1987-08-17 00:00:00,22.6,buy
1987-08-19 00:00:00,22.76,sell
1987-08-21 00:00:00,23.25,buy
1987-08-25 00:00:00,23.25,sell
1987-08-26 00:00:00,23.09,buy
1987-08-28 00:00:00,22.92,sell
1987-09-01 00:00:00,23.58,buy
1987-09-02 00:00:00,23.09,sell
1987-09-15 00:00:00,22.08,buy
1987-09-17 00:00:00,22.25,sell
1987-09-18 00:00:00,22.58,buy
1987-09-22 00:00:00,22.91,sell
1987-09-23 00:00:00,22.25,buy
1987-09-25 00:00:00,22.0,sell
1987-09-29 00:00:00,22.25,buy
1987-09-30 00:00:00,22.41,sell
1987-10-01 00:00:00,23.23,buy
1987-10-07 00:00:00,22.41,sell
1987-10-14 00:00:00,21.59,buy
1987-10-15 00:00:00,20.19,sell
1987-10-22 00:00:00,16.64,buy
1987-10-27 00:00:00,14.34,sell
1987-11-02 00:00:00,15.57,buy
1987-11-23 00:00:00,15.16,sell
1987-12-03 00:00:00,15.47,buy
1987-12-08 00:00:00,16.31,sell
1987-12-09 00:00:00,15.97,buy
1987-12-18 00:00:00,16.64,sell
1987-12-23 00:00:00,17.89,buy
1987-12-29 00:00:00,17.14,sell
1988-01-05 00:00:00,17.97,buy
1988-01-08 00:00:00,16.64,sell
1988-01-19 00:00:00,17.3,buy
1988-01-21 00:00:00,16.22,sell
1988-01-26 00:00:00,16.64,buy
1988-02-08 00:00:00,17.14,sell
1988-02-11 00:00:00,17.64,buy
1988-02-25 00:00:00,18.22,sell
1988-03-01 00:00:00,19.14,buy
1988-03-07 00:00:00,19.63,sell
1988-03-08 00:00:00,19.95,buy
1988-03-11 00:00:00,19.28,sell
1988-03-18 00:00:00,20.62,buy
1988-03-22 00:00:00,19.45,sell
1988-04-04 00:00:00,19.45,buy
1988-04-15 00:00:00,19.2,sell
1988-04-27 00:00:00,19.87,buy
1988-05-05 00:00:00,18.61,sell
1988-05-17 00:00:00,18.44,buy
1988-05-24 00:00:00,18.02,sell
1988-05-25 00:00:00,18.11,buy
1988-06-08 00:00:00,19.6,sell
1988-06-09 00:00:00,19.09,buy
1988-06-15 00:00:00,19.6,sell
1988-06-23 00:00:00,19.77,buy
1988-06-29 00:00:00,18.84,sell
1988-07-06 00:00:00,19.09,buy
1988-07-07 00:00:00,18.92,sell
1988-08-01 00:00:00,17.49,buy
1988-08-15 00:00:00,18.23,sell
1988-08-25 00:00:00,18.49,buy
1988-09-01 00:00:00,18.05,sell
1988-09-06 00:00:00,18.48,buy
1988-09-12 00:00:00,18.31,sell
1988-09-16 00:00:00,18.31,buy
1988-09-20 00:00:00,17.59,sell
1988-09-29 00:00:00,18.04,buy
1988-10-13 00:00:00,17.95,sell
1988-10-18 00:00:00,18.75,buy
1988-10-25 00:00:00,19.46,sell
1988-10-26 00:00:00,19.55,buy
1988-11-01 00:00:00,19.55,sell
1988-11-02 00:00:00,19.73,buy
1988-11-07 00:00:00,19.28,sell
1988-11-23 00:00:00,19.19,buy
1988-12-02 00:00:00,18.83,sell
1988-12-05 00:00:00,18.48,buy
1988-12-06 00:00:00,18.83,sell
1988-12-07 00:00:00,19.1,buy
1988-12-14 00:00:00,18.75,sell
1988-12-19 00:00:00,19.91,buy
1988-12-23 00:00:00,19.55,sell
1988-12-28 00:00:00,20.36,buy
1989-01-04 00:00:00,20.45,sell
1989-01-17 00:00:00,20.18,buy
1989-02-13 00:00:00,21.7,sell
1989-03-01 00:00:00,21.53,buy
1989-03-14 00:00:00,23.05,sell
1989-03-30 00:00:00,23.05,buy
1989-04-14 00:00:00,24.22,sell
1989-04-28 00:00:00,24.31,buy
1989-05-09 00:00:00,23.68,sell
1989-05-15 00:00:00,24.22,buy
1989-05-23 00:00:00,24.31,sell
1989-06-05 00:00:00,24.67,buy
1989-06-15 00:00:00,25.21,sell
1989-06-21 00:00:00,26.12,buy
1989-06-30 00:00:00,24.3,sell
1989-07-11 00:00:00,25.12,buy
1989-07-26 00:00:00,26.76,sell
1989-07-27 00:00:00,26.67,buy
1989-08-02 00:00:00,26.67,sell
1989-08-08 00:00:00,27.49,buy
1989-08-14 00:00:00,27.49,sell
1989-08-25 00:00:00,27.49,buy
1989-09-06 00:00:00,26.95,sell
1989-09-12 00:00:00,27.59,buy
1989-09-14 00:00:00,26.76,sell
1989-09-29 00:00:00,26.4,buy
1989-10-16 00:00:00,24.93,sell
1989-10-23 00:00:00,25.94,buy
1989-11-03 00:00:00,26.49,sell
1989-11-06 00:00:00,26.03,buy
1989-11-07 00:00:00,26.03,sell
1989-11-14 00:00:00,25.94,buy
1989-11-22 00:00:00,26.21,sell
1989-11-28 00:00:00,26.21,buy
1989-12-07 00:00:00,26.59,sell
1989-12-13 00:00:00,28.07,buy
1989-12-19 00:00:00,28.25,sell
1989-12-20 00:00:00,28.44,buy
1989-12-26 00:00:00,28.25,sell
1989-12-28 00:00:00,28.62,buy
1990-01-04 00:00:00,28.25,sell
1990-01-19 00:00:00,26.77,buy
1990-01-22 00:00:00,25.85,sell
1990-01-29 00:00:00,24.93,buy
1990-02-14 00:00:00,25.85,sell
1990-02-27 00:00:00,26.5,buy
1990-03-06 00:00:00,26.52,sell
1990-03-07 00:00:00,26.52,buy
1990-03-14 00:00:00,26.79,sell
1990-03-16 00:00:00,27.07,buy
1990-03-20 00:00:00,26.7,sell
1990-03-29 00:00:00,26.52,buy
1990-04-05 00:00:00,24.75,sell
1990-04-16 00:00:00,25.68,buy
1990-04-23 00:00:00,24.47,sell
1990-05-02 00:00:00,24.38,buy
1990-05-04 00:00:00,24.38,sell
1990-05-07 00:00:00,23.82,buy
1990-05-08 00:00:00,24.0,sell
1990-05-10 00:00:00,24.47,buy
1990-05-23 00:00:00,25.59,sell
1990-05-31 00:00:00,25.49,buy
1990-06-08 00:00:00,25.69,sell
1990-06-12 00:00:00,26.16,buy
1990-06-14 00:00:00,26.16,sell
1990-06-15 00:00:00,26.06,buy
1990-06-18 00:00:00,25.88,sell
1990-06-28 00:00:00,25.97,buy
1990-07-06 00:00:00,25.69,sell
1990-07-13 00:00:00,25.97,buy
1990-07-25 00:00:00,25.78,sell
1990-07-27 00:00:00,25.5,buy
1990-07-30 00:00:00,26.25,sell
1990-07-31 00:00:00,26.44,buy
1990-08-06 00:00:00,24.47,sell
1990-08-17 00:00:00,24.0,buy
1990-08-23 00:00:00,21.75,sell
1990-08-29 00:00:00,22.78,buy
1990-09-17 00:00:00,22.92,sell
1990-09-19 00:00:00,22.83,buy
1990-09-20 00:00:00,22.35,sell
1990-10-01 00:00:00,23.21,buy
1990-10-08 00:00:00,22.26,sell
1990-10-18 00:00:00,21.69,buy
1990-10-30 00:00:00,20.93,sell
1990-11-05 00:00:00,21.88,buy
1990-11-08 00:00:00,20.37,sell
1990-11-13 00:00:00,20.65,buy
1990-11-14 00:00:00,21.41,sell
1990-11-15 00:00:00,21.79,buy
1990-11-28 00:00:00,21.79,sell
1990-12-05 00:00:00,22.4,buy
1990-12-13 00:00:00,22.11,sell
1990-12-19 00:00:00,23.35,buy
1990-12-26 00:00:00,22.59,sell
1991-01-14 00:00:00,20.87,buy
1991-02-06 00:00:00,25.17,sell
1991-02-07 00:00:00,26.42,buy
1991-02-08 00:00:00,26.23,sell
1991-02-19 00:00:00,27.76,buy
1991-02-21 00:00:00,26.42,sell
1991-03-05 00:00:00,27.41,buy
1991-03-15 00:00:00,26.93,sell
1991-03-25 00:00:00,27.32,buy
1991-04-02 00:00:00,27.51,sell
1991-04-03 00:00:00,27.03,buy
1991-04-04 00:00:00,27.03,sell
1991-04-09 00:00:00,27.41,buy
1991-04-11 00:00:00,27.51,sell
1991-04-12 00:00:00,27.41,buy
1991-04-16 00:00:00,27.03,sell
1991-04-18 00:00:00,27.32,buy
1991-04-29 00:00:00,27.41,sell
1991-05-10 00:00:00,27.41,buy
1991-05-15 00:00:00,27.61,sell
1991-05-29 00:00:00,27.12,buy
1991-06-12 00:00:00,29.87,sell
1991-06-24 00:00:00,30.36,buy
1991-06-25 00:00:00,29.48,sell
1991-07-03 00:00:00,29.77,buy
1991-07-05 00:00:00,29.97,sell
1991-07-08 00:00:00,30.36,buy
1991-07-24 00:00:00,31.72,sell
1991-07-30 00:00:00,33.37,buy
1991-08-06 00:00:00,32.59,sell
1991-08-21 00:00:00,30.84,buy
1991-09-04 00:00:00,30.2,sell
1991-09-16 00:00:00,30.3,buy
1991-09-24 00:00:00,30.3,sell
1991-10-02 00:00:00,30.2,buy
1991-10-03 00:00:00,30.2,sell
1991-10-15 00:00:00,30.79,buy
1991-10-30 00:00:00,31.87,sell
1991-11-18 00:00:00,29.81,buy
1991-11-19 00:00:00,28.63,sell
1991-11-22 00:00:00,29.32,buy
1991-12-09 00:00:00,28.87,sell
1991-12-16 00:00:00,29.46,buy
1991-12-18 00:00:00,28.97,sell
1991-12-23 00:00:00,30.95,buy
1992-01-08 00:00:00,32.73,sell
1992-01-17 00:00:00,34.6,buy
1992-01-27 00:00:00,35.2,sell
1992-02-12 00:00:00,35.99,buy
1992-02-26 00:00:00,36.98,sell
1992-03-02 00:00:00,37.67,buy
1992-03-05 00:00:00,36.98,sell
1992-03-18 00:00:00,37.02,buy
1992-03-25 00:00:00,35.43,sell
1992-04-13 00:00:00,33.74,buy
1992-04-24 00:00:00,33.44,sell
1992-04-29 00:00:00,34.64,buy
1992-05-06 00:00:00,34.24,sell
1992-05-20 00:00:00,32.94,buy
1992-05-22 00:00:00,32.05,sell
1992-05-28 00:00:00,32.74,buy
1992-06-10 00:00:00,31.69,sell
1992-06-22 00:00:00,31.49,buy
1992-06-24 00:00:00,32.19,sell
1992-06-25 00:00:00,31.79,buy
1992-07-08 00:00:00,31.19,sell
1992-07-21 00:00:00,30.69,buy
1992-08-06 00:00:00,32.09,sell
1992-08-26 00:00:00,31.19,buy
1992-08-31 00:00:00,31.09,sell
1992-09-01 00:00:00,31.86,buy
1992-09-10 00:00:00,31.36,sell
1992-09-15 00:00:00,32.27,buy
1992-09-22 00:00:00,33.18,sell
1992-10-09 00:00:00,28.62,buy
1992-10-29 00:00:00,29.43,sell
1992-11-03 00:00:00,29.43,buy
1992-11-04 00:00:00,29.43,sell
1992-11-12 00:00:00,29.64,buy
1992-11-16 00:00:00,29.53,sell
1992-11-17 00:00:00,29.43,buy
1992-12-04 00:00:00,32.53,sell
1992-12-18 00:00:00,33.56,buy
1992-12-28 00:00:00,33.25,sell
1992-12-31 00:00:00,34.68,buy
1993-01-05 00:00:00,33.76,sell
1993-01-07 00:00:00,34.58,buy
1993-01-11 00:00:00,33.86,sell
1993-01-25 00:00:00,33.66,buy
1993-02-17 00:00:00,34.78,sell
1993-02-25 00:00:00,34.27,buy
1993-02-26 00:00:00,34.37,sell
1993-03-08 00:00:00,35.19,buy
1993-03-15 00:00:00,34.84,sell
1993-03-18 00:00:00,35.56,buy
1993-03-31 00:00:00,37.31,sell
1993-04-06 00:00:00,37.82,buy
1993-04-15 00:00:00,38.95,sell
1993-04-30 00:00:00,38.03,buy
1993-05-10 00:00:00,37.92,sell
1993-05-12 00:00:00,37.51,buy
1993-05-13 00:00:00,37.31,sell
1993-05-19 00:00:00,37.92,buy
1993-05-27 00:00:00,37.62,sell
1993-06-03 00:00:00,37.62,buy
1993-06-09 00:00:00,36.55,sell
1993-06-17 00:00:00,38.1,buy
1993-06-25 00:00:00,32.82,sell
1993-07-09 00:00:00,32.92,buy
1993-07-21 00:00:00,33.54,sell
1993-07-27 00:00:00,34.58,buy
1993-08-02 00:00:00,34.47,sell
1993-08-04 00:00:00,35.3,buy
1993-08-06 00:00:00,35.41,sell
1993-08-25 00:00:00,35.2,buy
1993-09-10 00:00:00,34.34,sell
1993-09-16 00:00:00,34.75,buy
1993-09-22 00:00:00,34.65,sell
1993-09-24 00:00:00,34.65,buy
1993-09-29 00:00:00,33.71,sell
1993-10-06 00:00:00,34.54,buy
1993-10-15 00:00:00,34.34,sell
1993-10-22 00:00:00,35.59,buy
1993-11-04 00:00:00,35.27,sell
1993-11-23 00:00:00,33.19,buy
1993-11-30 00:00:00,32.95,sell
1993-12-01 00:00:00,33.27,buy
1993-12-14 00:00:00,34.21,sell
1993-12-17 00:00:00,35.79,buy
1993-12-31 00:00:00,37.48,sell
1994-01-03 00:00:00,36.74,buy
1994-01-04 00:00:00,36.85,sell
1994-01-14 00:00:00,36.11,buy
1994-01-17 00:00:00,36.0,sell
1994-01-19 00:00:00,36.0,buy
1994-01-20 00:00:00,36.11,sell
1994-01-27 00:00:00,36.53,buy
1994-02-08 00:00:00,36.74,sell
1994-02-17 00:00:00,36.85,buy
1994-02-18 00:00:00,36.85,sell
1994-02-24 00:00:00,36.63,buy
1994-02-25 00:00:00,36.53,sell
1994-03-10 00:00:00,35.24,buy
1994-03-18 00:00:00,34.6,sell
1994-03-23 00:00:00,34.5,buy
1994-03-25 00:00:00,33.33,sell
1994-04-06 00:00:00,33.86,buy
1994-04-19 00:00:00,33.75,sell
1994-04-26 00:00:00,33.12,buy
1994-05-05 00:00:00,33.54,sell
1994-05-06 00:00:00,32.58,buy
1994-05-09 00:00:00,32.48,sell
1994-05-18 00:00:00,32.16,buy
1994-06-15 00:00:00,35.75,sell
1994-07-13 00:00:00,34.15,buy
1994-08-02 00:00:00,34.9,sell
1994-08-09 00:00:00,34.9,buy
1994-08-18 00:00:00,35.11,sell
1994-08-26 00:00:00,37.04,buy
1994-09-06 00:00:00,35.84,sell
1994-09-16 00:00:00,36.05,buy
1994-09-21 00:00:00,34.43,sell
1994-09-30 00:00:00,35.08,buy
1994-10-19 00:00:00,34.97,sell
1994-11-09 00:00:00,34.0,buy
1994-11-14 00:00:00,33.57,sell
1994-11-15 00:00:00,33.57,buy
1994-11-18 00:00:00,32.38,sell
1994-11-28 00:00:00,31.17,buy
1994-12-12 00:00:00,31.5,sell
1994-12-13 00:00:00,31.06,buy
1994-12-29 00:00:00,31.83,sell
1995-01-11 00:00:00,33.24,buy
1995-01-24 00:00:00,33.13,sell
1995-02-07 00:00:00,34.77,buy
1995-02-21 00:00:00,34.99,sell
1995-02-24 00:00:00,35.53,buy
1995-03-01 00:00:00,34.66,sell
1995-03-13 00:00:00,35.85,buy
1995-03-17 00:00:00,35.19,sell
1995-03-28 00:00:00,34.97,buy
1995-04-19 00:00:00,36.18,sell
1995-05-04 00:00:00,35.74,buy
1995-05-12 00:00:00,35.19,sell
1995-05-23 00:00:00,35.08,buy
1995-06-05 00:00:00,35.74,sell
1995-06-06 00:00:00,36.18,buy
1995-06-09 00:00:00,35.49,sell
1995-07-03 00:00:00,33.61,buy
1995-07-14 00:00:00,34.38,sell
1995-07-24 00:00:00,35.38,buy
1995-08-03 00:00:00,35.6,sell
1995-08-16 00:00:00,35.49,buy
1995-08-17 00:00:00,35.6,sell
1995-08-21 00:00:00,37.71,buy
1995-09-07 00:00:00,39.69,sell
1995-10-02 00:00:00,39.13,buy
1995-10-20 00:00:00,41.14,sell
1995-10-31 00:00:00,42.71,buy
1995-11-10 00:00:00,42.82,sell
1995-11-15 00:00:00,42.71,buy
1995-11-16 00:00:00,43.94,sell
1995-11-17 00:00:00,43.83,buy
1995-11-29 00:00:00,45.27,sell
1995-11-30 00:00:00,45.61,buy
1995-12-01 00:00:00,45.05,sell
1995-12-07 00:00:00,47.41,buy
1995-12-11 00:00:00,47.07,sell
1995-12-13 00:00:00,46.96,buy
1995-12-14 00:00:00,46.62,sell
1995-12-28 00:00:00,45.72,buy
1996-01-04 00:00:00,45.95,sell
1996-01-05 00:00:00,45.83,buy
1996-01-11 00:00:00,44.6,sell
1996-01-23 00:00:00,45.05,buy
1996-01-30 00:00:00,44.03,sell
1996-02-01 00:00:00,47.07,buy
1996-02-14 00:00:00,50.23,sell
1996-02-23 00:00:00,51.47,buy
1996-03-01 00:00:00,50.79,sell
1996-03-13 00:00:00,51.01,buy
1996-03-18 00:00:00,50.89,sell
1996-03-19 00:00:00,50.78,buy
1996-03-22 00:00:00,50.78,sell
1996-03-25 00:00:00,50.89,buy
1996-03-28 00:00:00,50.55,sell
1996-04-03 00:00:00,51.35,buy
1996-04-12 00:00:00,50.55,sell
1996-04-18 00:00:00,54.86,buy
1996-04-26 00:00:00,56.22,sell
1996-04-30 00:00:00,56.9,buy
1996-05-01 00:00:00,56.33,sell
1996-05-13 00:00:00,59.28,buy
1996-05-17 00:00:00,56.11,sell
1996-06-03 00:00:00,54.97,buy
1996-06-05 00:00:00,28.45,sell
1996-06-19 00:00:00,26.11,buy
1996-07-05 00:00:00,25.76,sell
1996-07-18 00:00:00,28.04,buy
1996-07-29 00:00:00,25.99,sell
1996-08-05 00:00:00,26.68,buy
1996-08-15 00:00:00,26.68,sell
1996-08-30 00:00:00,25.08,buy
1996-09-19 00:00:00,25.94,sell
1996-09-27 00:00:00,25.02,buy
1996-10-09 00:00:00,24.91,sell
1996-10-17 00:00:00,26.28,buy
1996-10-29 00:00:00,25.65,sell
1996-11-04 00:00:00,26.8,buy
1996-11-13 00:00:00,27.27,sell
1996-11-21 00:00:00,27.96,buy
1996-11-29 00:00:00,27.43,sell
