time,price,signal,label
1988-07-18,32.25,buy,2.0
1988-07-25,31.87,sell,4.0
1988-08-01,32.88,buy,2.0
1988-08-08,32.25,sell,4.0
1988-08-17,32.63,buy,2.0
1988-08-23,31.12,sell,4.0
1988-08-29,32.0,buy,1.0
1988-09-16,35.38,sell,3.0
1988-09-23,35.5,buy,2.0
1988-09-26,34.88,sell,4.0
1988-10-04,34.63,buy,2.0
1988-10-05,35.0,sell,4.0
1988-10-07,36.13,buy,2.0
1988-10-13,35.0,sell,4.0
1988-10-24,35.25,buy,2.0
1988-10-28,36.0,sell,4.0
1988-10-31,36.0,buy,2.0
1988-11-08,35.75,sell,4.0
1988-11-18,35.0,buy,1.0
1988-12-07,37.25,sell,3.0
1988-12-08,37.0,buy,2.0
1988-12-13,37.63,sell,4.0
1988-12-21,38.25,buy,2.0
1988-12-22,38.0,sell,4.0
1989-01-05,38.5,buy,2.0
1989-01-11,38.13,sell,4.0
1989-01-13,38.25,buy,2.0
1989-01-17,38.0,sell,4.0
1989-01-27,38.75,buy,2.0
1989-02-09,38.75,sell,4.0
1989-02-16,39.63,buy,2.0
1989-02-23,39.0,sell,4.0
1989-03-01,39.75,buy,1.0
1989-03-20,42.5,sell,3.0
1989-04-03,44.25,buy,2.0
1989-04-06,43.13,sell,4.0
1989-04-13,43.75,buy,2.0
1989-04-27,45.25,sell,4.0
1989-05-15,46.0,buy,1.0
1989-05-26,48.5,sell,3.0
1989-05-30,48.0,buy,2.0
1989-05-31,47.25,sell,4.0
1989-06-07,48.0,buy,2.0
1989-06-15,47.13,sell,4.0
1989-06-26,48.13,buy,2.0
1989-06-30,47.38,sell,4.0
1989-07-11,47.75,buy,2.0
1989-07-20,49.0,sell,4.0
1989-07-24,49.5,buy,1.0
1989-08-09,52.0,sell,3.0
1989-08-24,55.0,buy,2.0
1989-09-07,54.25,sell,4.0
1989-09-27,54.5,buy,2.0
1989-10-11,55.75,sell,4.0
1989-10-31,28.62,buy,1.0
1989-11-20,31.62,sell,3.0
1989-11-21,31.75,buy,2.0
1989-11-24,30.75,sell,4.0
1989-12-14,29.5,buy,1.0
1990-01-04,31.25,sell,3.0
1990-01-22,29.0,buy,2.0
1990-02-05,28.25,sell,4.0
1990-02-15,27.5,buy,2.0
1990-02-23,26.0,sell,4.0
1990-02-27,26.87,buy,2.0
1990-03-16,28.12,sell,4.0
