time,price,signal
2002-01-16 00:00:00,4.72,buy
2002-01-18 00:00:00,4.97,sell
2002-01-22 00:00:00,5.04,buy
2002-01-24 00:00:00,4.85,sell
2002-02-05 00:00:00,4.69,buy
2002-02-07 00:00:00,4.66,sell
2002-02-08 00:00:00,4.66,buy
2002-02-13 00:00:00,4.66,sell
2002-02-15 00:00:00,4.8,buy
2002-02-22 00:00:00,4.71,sell
2002-02-26 00:00:00,5.19,buy
2002-03-04 00:00:00,5.24,sell
2002-03-07 00:00:00,5.62,buy
2002-03-15 00:00:00,5.5,sell
2002-03-28 00:00:00,5.75,buy
2002-04-12 00:00:00,5.92,sell
2002-04-17 00:00:00,6.66,buy
2002-04-25 00:00:00,6.81,sell
2002-05-03 00:00:00,7.36,buy
2002-05-08 00:00:00,7.17,sell
2002-05-17 00:00:00,7.21,buy
2002-05-29 00:00:00,7.02,sell
2002-06-10 00:00:00,7.71,buy
2002-06-25 00:00:00,8.66,sell
2002-07-10 00:00:00,8.25,buy
2002-07-12 00:00:00,8.27,sell
2002-07-26 00:00:00,7.49,buy
2002-08-05 00:00:00,7.12,sell
2002-08-15 00:00:00,7.63,buy
2002-08-30 00:00:00,8.31,sell
2002-09-09 00:00:00,8.76,buy
2002-09-13 00:00:00,8.36,sell
2002-09-26 00:00:00,8.15,buy
2002-10-04 00:00:00,7.33,sell
2002-10-11 00:00:00,8.1,buy
2002-10-28 00:00:00,9.23,sell
2002-11-04 00:00:00,10.42,buy
2002-11-08 00:00:00,9.8,sell
2002-11-15 00:00:00,10.88,buy
2002-12-03 00:00:00,11.13,sell
2002-12-27 00:00:00,9.4,buy
2003-01-17 00:00:00,10.33,sell
2003-02-14 00:00:00,8.55,buy
2003-02-28 00:00:00,8.27,sell
2003-03-12 00:00:00,7.86,buy
2003-03-26 00:00:00,8.51,sell
2003-04-03 00:00:00,9.13,buy
2003-04-23 00:00:00,10.35,sell
2003-05-14 00:00:00,11.29,buy
2003-05-16 00:00:00,10.86,sell
2003-05-22 00:00:00,10.75,buy
2003-06-09 00:00:00,11.93,sell
2003-06-17 00:00:00,13.0,buy
2003-06-19 00:00:00,12.2,sell
2003-07-03 00:00:00,11.78,buy
2003-07-18 00:00:00,12.38,sell
2003-07-23 00:00:00,13.91,buy
2003-08-04 00:00:00,13.7,sell
2003-08-13 00:00:00,14.4,buy
2003-08-26 00:00:00,16.3,sell
2003-08-28 00:00:00,17.36,buy
2003-09-02 00:00:00,17.82,sell
2003-09-03 00:00:00,17.8,buy
2003-09-05 00:00:00,17.38,sell
2003-09-16 00:00:00,18.05,buy
2003-09-26 00:00:00,17.5,sell
2003-10-07 00:00:00,17.75,buy
2003-10-24 00:00:00,20.28,sell
2003-10-29 00:00:00,21.62,buy
2003-10-31 00:00:00,21.02,sell
2003-11-06 00:00:00,21.26,buy
2003-11-07 00:00:00,21.14,sell
2003-11-24 00:00:00,21.24,buy
2003-12-04 00:00:00,21.0,sell
2003-12-16 00:00:00,19.53,buy
2003-12-26 00:00:00,19.48,sell
2003-12-30 00:00:00,19.78,buy
2004-01-02 00:00:00,19.68,sell
2004-01-05 00:00:00,19.9,buy
2004-01-13 00:00:00,19.87,sell
2004-01-22 00:00:00,21.25,buy
2004-01-30 00:00:00,21.18,sell
2004-02-10 00:00:00,21.14,buy
2004-02-20 00:00:00,21.08,sell
2004-02-27 00:00:00,21.41,buy
2004-03-09 00:00:00,21.26,sell
2004-03-26 00:00:00,19.96,buy
2004-04-01 00:00:00,19.38,sell
2004-04-05 00:00:00,19.46,buy
2004-04-07 00:00:00,19.24,sell
2004-04-13 00:00:00,19.94,buy
2004-04-29 00:00:00,19.8,sell
2004-05-12 00:00:00,17.99,buy
2004-06-04 00:00:00,18.66,sell
2004-06-21 00:00:00,19.34,buy
2004-07-02 00:00:00,20.28,sell
2004-07-28 00:00:00,17.96,buy
2004-08-06 00:00:00,16.45,sell
2004-08-12 00:00:00,16.46,buy
2004-08-13 00:00:00,16.44,sell
2004-08-17 00:00:00,17.1,buy
2004-08-31 00:00:00,17.41,sell
2004-09-02 00:00:00,19.16,buy
2004-09-09 00:00:00,19.18,sell
2004-09-10 00:00:00,19.18,buy
2004-09-16 00:00:00,19.66,sell
2004-10-06 00:00:00,16.52,buy
2004-10-11 00:00:00,15.68,sell
2004-10-12 00:00:00,16.25,buy
2004-11-01 00:00:00,18.06,sell
2004-11-15 00:00:00,18.34,buy
2004-11-19 00:00:00,16.9,sell
2004-12-02 00:00:00,17.03,buy
2004-12-27 00:00:00,17.77,sell
2004-12-31 00:00:00,18.6,buy
2009-09-29 00:00:00,48.42,sell
2009-10-07 00:00:00,50.8,buy
2009-10-15 00:00:00,52.45,sell
2009-11-04 00:00:00,46.08,buy
2009-11-19 00:00:00,47.53,sell
2009-12-03 00:00:00,51.12,buy
2009-12-10 00:00:00,49.21,sell
2009-12-21 00:00:00,52.51,buy
2010-01-04 00:00:00,53.35,sell
2010-01-28 00:00:00,51.52,buy
2010-02-08 00:00:00,50.14,sell
2010-02-12 00:00:00,51.76,buy
2010-03-04 00:00:00,56.57,sell
2010-03-08 00:00:00,57.7,buy
2010-03-18 00:00:00,59.59,sell
