time,price,signal
1998-10-19 00:00:00,22.11,buy
1998-10-28 00:00:00,22.11,sell
1998-11-03 00:00:00,23.72,buy
1998-11-09 00:00:00,23.72,sell
1998-11-25 00:00:00,22.67,buy
1998-12-01 00:00:00,21.83,sell
1998-12-02 00:00:00,21.83,buy
1998-12-04 00:00:00,21.46,sell
1998-12-08 00:00:00,21.46,buy
1998-12-15 00:00:00,20.72,sell
1998-12-22 00:00:00,20.72,buy
1999-01-13 00:00:00,20.16,sell
1999-01-26 00:00:00,20.59,buy
1999-02-03 00:00:00,21.27,sell
1999-02-04 00:00:00,21.33,buy
1999-02-08 00:00:00,20.9,sell
1999-02-23 00:00:00,20.04,buy
1999-03-04 00:00:00,20.56,sell
1999-03-05 00:00:00,20.74,buy
1999-03-11 00:00:00,20.31,sell
1999-03-12 00:00:00,20.06,buy
1999-03-15 00:00:00,20.37,sell
1999-03-16 00:00:00,20.56,buy
1999-03-22 00:00:00,19.69,sell
1999-04-01 00:00:00,19.81,buy
1999-04-15 00:00:00,19.75,sell
1999-04-19 00:00:00,19.5,buy
1999-04-20 00:00:00,19.69,sell
1999-04-22 00:00:00,19.69,buy
1999-04-26 00:00:00,19.38,sell
1999-04-29 00:00:00,20.8,buy
1999-05-06 00:00:00,20.12,sell
1999-05-11 00:00:00,20.93,buy
1999-05-27 00:00:00,23.3,sell
1999-05-28 00:00:00,22.81,buy
1999-06-01 00:00:00,23.0,sell
1999-06-09 00:00:00,23.12,buy
1999-06-10 00:00:00,23.37,sell
1999-06-11 00:00:00,22.87,buy
1999-06-14 00:00:00,22.93,sell
1999-06-28 00:00:00,21.88,buy
1999-07-09 00:00:00,22.31,sell
1999-07-27 00:00:00,22.31,buy
1999-07-29 00:00:00,19.28,sell
1999-08-16 00:00:00,16.98,buy
1999-08-24 00:00:00,16.3,sell
1999-08-25 00:00:00,16.49,buy
1999-09-01 00:00:00,15.91,sell
1999-09-16 00:00:00,16.28,buy
1999-09-22 00:00:00,15.72,sell
1999-09-30 00:00:00,16.34,buy
1999-10-08 00:00:00,15.91,sell
1999-10-11 00:00:00,16.15,buy
1999-10-14 00:00:00,16.03,sell
1999-10-19 00:00:00,15.78,buy
1999-10-21 00:00:00,15.66,sell
1999-10-25 00:00:00,15.66,buy
1999-10-26 00:00:00,15.53,sell
1999-11-02 00:00:00,15.78,buy
1999-11-17 00:00:00,17.33,sell
1999-11-19 00:00:00,17.46,buy
1999-11-22 00:00:00,17.4,sell
1999-12-10 00:00:00,16.94,buy
1999-12-13 00:00:00,16.61,sell
1999-12-23 00:00:00,16.88,buy
1999-12-29 00:00:00,16.19,sell
2000-01-10 00:00:00,16.69,buy
2000-01-18 00:00:00,15.94,sell
2000-01-31 00:00:00,13.64,buy
2000-02-01 00:00:00,13.82,sell
2000-02-08 00:00:00,12.77,buy
2000-02-10 00:00:00,11.89,sell
2000-02-25 00:00:00,10.9,buy
2000-03-07 00:00:00,9.88,sell
2000-03-17 00:00:00,9.75,buy
2000-03-29 00:00:00,10.12,sell
2000-04-03 00:00:00,10.25,buy
2000-04-04 00:00:00,10.75,sell
2000-04-06 00:00:00,10.37,buy
2000-04-07 00:00:00,10.12,sell
2000-04-14 00:00:00,10.12,buy
2000-04-17 00:00:00,10.44,sell
2000-04-20 00:00:00,10.44,buy
2000-05-01 00:00:00,10.44,sell
2000-05-11 00:00:00,10.63,buy
2000-05-22 00:00:00,10.12,sell
2000-06-05 00:00:00,10.38,buy
2000-06-12 00:00:00,9.81,sell
2000-06-19 00:00:00,9.62,buy
2000-06-20 00:00:00,9.56,sell
2000-06-29 00:00:00,9.06,buy
2000-07-25 00:00:00,9.38,sell
2000-08-04 00:00:00,9.38,buy
2000-08-23 00:00:00,9.5,sell
2000-08-25 00:00:00,9.5,buy
2000-08-30 00:00:00,9.12,sell
2000-09-08 00:00:00,9.44,buy
2000-09-19 00:00:00,9.5,sell
2000-09-20 00:00:00,9.69,buy
2000-09-26 00:00:00,9.69,sell
2000-09-27 00:00:00,9.62,buy
2000-09-29 00:00:00,10.0,sell
2000-10-02 00:00:00,9.75,buy
2000-10-03 00:00:00,10.06,sell
2000-10-04 00:00:00,10.06,buy
2000-10-06 00:00:00,10.94,sell
2000-10-09 00:00:00,11.0,buy
2000-10-16 00:00:00,10.19,sell
2000-10-26 00:00:00,10.75,buy
2000-11-14 00:00:00,12.38,sell
2000-11-24 00:00:00,12.75,buy
2000-12-05 00:00:00,12.12,sell
2000-12-19 00:00:00,11.5,buy
2001-01-03 00:00:00,11.56,sell
2001-01-10 00:00:00,12.56,buy
2001-01-22 00:00:00,12.44,sell
2001-01-29 00:00:00,13.49,buy
2001-02-05 00:00:00,13.62,sell
2001-02-06 00:00:00,13.85,buy
2001-02-08 00:00:00,13.55,sell
2001-02-28 00:00:00,12.61,buy
2001-03-07 00:00:00,12.47,sell
2001-03-09 00:00:00,12.6,buy
2001-03-21 00:00:00,12.43,sell
2001-04-02 00:00:00,13.06,buy
2001-04-16 00:00:00,13.52,sell
2001-04-20 00:00:00,13.75,buy
2001-04-23 00:00:00,13.81,sell
2001-05-17 00:00:00,13.45,buy
2001-05-24 00:00:00,12.84,sell
2001-06-01 00:00:00,12.82,buy
2001-06-06 00:00:00,12.19,sell
2001-06-18 00:00:00,9.37,buy
2001-06-19 00:00:00,8.72,sell
2001-06-21 00:00:00,9.29,buy
2001-06-28 00:00:00,9.17,sell
2001-06-29 00:00:00,9.21,buy
2001-07-16 00:00:00,9.65,sell
2001-07-23 00:00:00,9.95,buy
2001-07-31 00:00:00,10.3,sell
2001-08-06 00:00:00,10.51,buy
2001-08-08 00:00:00,10.73,sell
2001-08-09 00:00:00,10.75,buy
2001-08-13 00:00:00,10.63,sell
2001-08-29 00:00:00,10.38,buy
2001-09-10 00:00:00,10.05,sell
2001-09-27 00:00:00,10.11,buy
2001-10-09 00:00:00,9.58,sell
2001-10-23 00:00:00,9.09,buy
2001-11-13 00:00:00,10.66,sell
2001-11-14 00:00:00,10.96,buy
2001-11-21 00:00:00,11.72,sell
2001-12-03 00:00:00,11.38,buy
2001-12-04 00:00:00,11.9,sell
2001-12-19 00:00:00,10.86,buy
2001-12-20 00:00:00,10.39,sell
2001-12-24 00:00:00,11.09,buy
2002-01-11 00:00:00,11.72,sell
2002-01-24 00:00:00,12.1,buy
2002-02-07 00:00:00,12.51,sell
2002-02-21 00:00:00,12.87,buy
2002-03-04 00:00:00,12.75,sell
2002-03-07 00:00:00,12.75,buy
2002-03-08 00:00:00,12.74,sell
2002-03-18 00:00:00,12.84,buy
2002-03-27 00:00:00,12.6,sell
2002-04-02 00:00:00,12.8,buy
2002-04-15 00:00:00,13.58,sell
2002-04-30 00:00:00,14.02,buy
2002-05-10 00:00:00,14.19,sell
2002-05-28 00:00:00,13.86,buy
2002-05-29 00:00:00,13.9,sell
2002-05-30 00:00:00,14.37,buy
2002-06-05 00:00:00,14.6,sell
2002-06-06 00:00:00,14.33,buy
2002-06-20 00:00:00,15.08,sell
2002-06-28 00:00:00,15.51,buy
2002-07-03 00:00:00,13.48,sell
2002-07-17 00:00:00,13.0,buy
2002-07-23 00:00:00,11.56,sell
2002-07-25 00:00:00,12.58,buy
2002-08-05 00:00:00,12.01,sell
2002-08-21 00:00:00,10.73,buy
2002-09-06 00:00:00,11.7,sell
2002-09-16 00:00:00,12.42,buy
2002-09-20 00:00:00,12.18,sell
2002-09-23 00:00:00,12.08,buy
2002-09-24 00:00:00,11.98,sell
2002-10-14 00:00:00,10.35,buy
2002-10-29 00:00:00,10.94,sell
2002-11-08 00:00:00,10.88,buy
2002-11-11 00:00:00,11.21,sell
2002-11-12 00:00:00,11.79,buy
2002-11-22 00:00:00,12.09,sell
2002-12-06 00:00:00,11.26,buy
2002-12-10 00:00:00,11.05,sell
2002-12-19 00:00:00,11.07,buy
2003-01-08 00:00:00,11.35,sell
2003-01-15 00:00:00,11.61,buy
2003-01-22 00:00:00,11.4,sell
2003-02-12 00:00:00,9.23,buy
2003-02-13 00:00:00,9.08,sell
2003-02-19 00:00:00,9.4,buy
2003-02-28 00:00:00,9.2,sell
2003-03-18 00:00:00,7.82,buy
2003-03-27 00:00:00,8.2,sell
2003-04-07 00:00:00,8.5,buy
2003-05-02 00:00:00,9.74,sell
2003-05-05 00:00:00,9.8,buy
2003-05-08 00:00:00,9.51,sell
2003-05-27 00:00:00,9.31,buy
2003-06-10 00:00:00,10.12,sell
2003-06-12 00:00:00,10.57,buy
2003-06-20 00:00:00,10.9,sell
2003-06-23 00:00:00,10.9,buy
2003-06-25 00:00:00,10.6,sell
2003-07-03 00:00:00,11.0,buy
2003-07-15 00:00:00,11.62,sell
2003-07-28 00:00:00,11.58,buy
2003-07-30 00:00:00,11.39,sell
2003-08-12 00:00:00,11.15,buy
2003-08-21 00:00:00,11.36,sell
2003-08-22 00:00:00,10.88,buy
2003-08-25 00:00:00,10.95,sell
2003-08-29 00:00:00,11.2,buy
2003-09-18 00:00:00,13.33,sell
2003-09-19 00:00:00,13.5,buy
2003-09-23 00:00:00,14.25,sell
2003-10-17 00:00:00,14.35,buy
2003-10-27 00:00:00,14.14,sell
