time,price,signal,label
1998-10-19,22.11,buy,2.0
1998-10-28,22.11,sell,4.0
1998-11-03,23.72,buy,2.0
1998-11-09,23.72,sell,4.0
1998-11-25,22.67,buy,2.0
1998-12-01,21.83,sell,4.0
1998-12-02,21.83,buy,2.0
1998-12-04,21.46,sell,4.0
1998-12-08,21.46,buy,2.0
1998-12-15,20.72,sell,4.0
1998-12-22,20.72,buy,2.0
1999-01-13,20.16,sell,4.0
1999-01-26,20.59,buy,2.0
1999-02-03,21.27,sell,4.0
1999-02-04,21.33,buy,2.0
1999-02-08,20.9,sell,4.0
1999-02-23,20.04,buy,2.0
1999-03-04,20.56,sell,4.0
1999-03-05,20.74,buy,2.0
1999-03-11,20.31,sell,4.0
1999-03-12,20.06,buy,2.0
1999-03-15,20.37,sell,4.0
1999-03-16,20.56,buy,2.0
1999-03-22,19.69,sell,4.0
1999-04-01,19.81,buy,2.0
1999-04-15,19.75,sell,4.0
1999-04-19,19.5,buy,2.0
1999-04-20,19.69,sell,4.0
1999-04-22,19.69,buy,2.0
1999-04-26,19.38,sell,4.0
1999-04-29,20.8,buy,2.0
1999-05-06,20.12,sell,4.0
1999-05-11,20.93,buy,1.0
1999-05-27,23.3,sell,3.0
1999-05-28,22.81,buy,2.0
1999-06-01,23.0,sell,4.0
1999-06-09,23.12,buy,2.0
1999-06-10,23.37,sell,4.0
1999-06-11,22.87,buy,2.0
1999-06-14,22.93,sell,4.0
1999-06-28,21.88,buy,2.0
1999-07-09,22.31,sell,4.0
1999-07-27,22.31,buy,2.0
1999-07-29,19.28,sell,4.0
1999-08-16,16.98,buy,2.0
1999-08-24,16.3,sell,4.0
1999-08-25,16.49,buy,2.0
1999-09-01,15.91,sell,4.0
1999-09-16,16.28,buy,2.0
1999-09-22,15.72,sell,4.0
1999-09-30,16.34,buy,2.0
1999-10-08,15.91,sell,4.0
1999-10-11,16.15,buy,2.0
1999-10-14,16.03,sell,4.0
1999-10-19,15.78,buy,2.0
1999-10-21,15.66,sell,4.0
1999-10-25,15.66,buy,2.0
1999-10-26,15.53,sell,4.0
1999-11-02,15.78,buy,1.0
1999-11-17,17.33,sell,3.0
1999-11-19,17.46,buy,2.0
1999-11-22,17.4,sell,4.0
1999-12-10,16.94,buy,2.0
1999-12-13,16.61,sell,4.0
1999-12-23,16.88,buy,2.0
1999-12-29,16.19,sell,4.0
2000-01-10,16.69,buy,2.0
2000-01-18,15.94,sell,4.0
2000-01-31,13.64,buy,2.0
2000-02-01,13.82,sell,4.0
2000-02-08,12.77,buy,2.0
2000-02-10,11.89,sell,4.0
2000-02-25,10.9,buy,2.0
2000-03-07,9.88,sell,4.0
2000-03-17,9.75,buy,2.0
2000-03-29,10.12,sell,4.0
2000-04-03,10.25,buy,2.0
2000-04-04,10.75,sell,4.0
2000-04-06,10.37,buy,2.0
2000-04-07,10.12,sell,4.0
2000-04-14,10.12,buy,2.0
2000-04-17,10.44,sell,4.0
2000-04-20,10.44,buy,2.0
2000-05-01,10.44,sell,4.0
2000-05-11,10.63,buy,2.0
2000-05-22,10.12,sell,4.0
2000-06-05,10.38,buy,2.0
2000-06-12,9.81,sell,4.0
2000-06-19,9.62,buy,2.0
2000-06-20,9.56,sell,4.0
2000-06-29,9.06,buy,2.0
2000-07-25,9.38,sell,4.0
