time,price,signal
2019-10-07 00:00:00,84.85,buy
2019-10-24 00:00:00,89.81,sell
2019-10-28 00:00:00,92.19,buy
2019-10-30 00:00:00,91.67,sell
2019-11-05 00:00:00,93.12,buy
2019-11-11 00:00:00,93.53,sell
2019-11-26 00:00:00,92.76,buy
2019-12-03 00:00:00,88.87,sell
2019-12-13 00:00:00,87.58,buy
2019-12-30 00:00:00,87.96,sell
2020-01-16 00:00:00,89.54,buy
2020-01-23 00:00:00,84.88,sell
2020-02-05 00:00:00,81.85,buy
2020-02-19 00:00:00,79.42,sell
2020-03-11 00:00:00,49.34,buy
2020-03-13 00:00:00,41.64,sell
2020-03-16 00:00:00,35.47,buy
2020-03-18 00:00:00,21.38,sell
2020-03-23 00:00:00,26.25,buy
2020-04-02 00:00:00,23.42,sell
2020-04-13 00:00:00,28.91,buy
2020-04-21 00:00:00,27.88,sell
2020-04-29 00:00:00,31.21,buy
2020-05-05 00:00:00,24.12,sell
2020-05-18 00:00:00,24.13,buy
2020-06-01 00:00:00,29.46,sell
2020-06-04 00:00:00,39.1,buy
2020-06-11 00:00:00,33.32,sell
2020-07-01 00:00:00,34.45,buy
2020-07-08 00:00:00,32.53,sell
2020-07-16 00:00:00,34.49,buy
2020-07-23 00:00:00,33.23,sell
2020-07-29 00:00:00,32.57,buy
2020-07-30 00:00:00,31.74,sell
2020-08-06 00:00:00,34.4,buy
2020-08-14 00:00:00,36.18,sell
2020-08-25 00:00:00,35.22,buy
2020-09-10 00:00:00,36.45,sell
2020-09-17 00:00:00,38.36,buy
2020-09-22 00:00:00,34.07,sell
2020-09-29 00:00:00,34.51,buy
2020-10-14 00:00:00,35.61,sell
2020-10-23 00:00:00,38.01,buy
2020-10-28 00:00:00,32.6,sell
2020-11-06 00:00:00,34.68,buy
2020-11-13 00:00:00,38.99,sell
2020-11-17 00:00:00,40.6,buy
2020-11-23 00:00:00,40.93,sell
2020-11-24 00:00:00,44.96,buy
2020-12-08 00:00:00,49.04,sell
2020-12-29 00:00:00,43.74,buy
2021-01-05 00:00:00,43.4,sell
2021-01-06 00:00:00,43.54,buy
2021-01-20 00:00:00,45.18,sell
2021-01-21 00:00:00,42.59,buy
2021-01-22 00:00:00,42.14,sell
2021-02-04 00:00:00,42.41,buy
2021-02-26 00:00:00,52.68,sell
2021-03-04 00:00:00,52.05,buy
2021-03-05 00:00:00,50.52,sell
2021-03-11 00:00:00,54.06,buy
2021-03-22 00:00:00,58.33,sell
2021-04-01 00:00:00,57.82,buy
2021-04-12 00:00:00,56.16,sell
2021-04-26 00:00:00,53.78,buy
2021-05-07 00:00:00,54.73,sell
2021-05-10 00:00:00,54.03,buy
2021-05-12 00:00:00,51.01,sell
2021-05-17 00:00:00,56.57,buy
2021-06-04 00:00:00,56.93,sell
2021-06-21 00:00:00,55.69,buy
2021-06-28 00:00:00,52.49,sell
2021-07-02 00:00:00,52.77,buy
2021-07-07 00:00:00,50.3,sell
2021-07-12 00:00:00,50.62,buy
2021-07-14 00:00:00,48.16,sell
2021-07-21 00:00:00,48.1,buy
2021-08-03 00:00:00,46.54,sell
2021-08-09 00:00:00,46.45,buy
2021-08-10 00:00:00,47.68,sell
2021-08-11 00:00:00,48.21,buy
2021-08-17 00:00:00,45.29,sell
2021-08-25 00:00:00,47.59,buy
2021-09-02 00:00:00,46.76,sell
2021-09-20 00:00:00,45.27,buy
2021-10-07 00:00:00,49.52,sell
2021-10-25 00:00:00,46.65,buy
2021-10-28 00:00:00,46.01,sell
2021-11-01 00:00:00,48.05,buy
2021-11-12 00:00:00,49.83,sell
2021-12-03 00:00:00,40.61,buy
2021-12-15 00:00:00,41.5,sell
2021-12-22 00:00:00,44.57,buy
2022-01-06 00:00:00,45.77,sell
2022-01-10 00:00:00,46.58,buy
2022-01-11 00:00:00,46.9,sell
2022-01-12 00:00:00,46.54,buy
2022-01-13 00:00:00,48.17,sell
2022-02-01 00:00:00,43.96,buy
2022-02-15 00:00:00,50.48,sell
2022-02-16 00:00:00,50.21,buy
2022-02-18 00:00:00,47.43,sell
2022-03-11 00:00:00,34.87,buy
2022-04-04 00:00:00,45.53,sell
2022-04-14 00:00:00,45.13,buy
2022-04-27 00:00:00,50.28,sell
2022-04-29 00:00:00,50.5,buy
2022-05-02 00:00:00,50.19,sell
2022-05-18 00:00:00,44.63,buy
2022-05-25 00:00:00,43.08,sell
2022-05-27 00:00:00,48.41,buy
2022-06-06 00:00:00,44.76,sell
2022-06-08 00:00:00,44.6,buy
2022-06-09 00:00:00,42.7,sell
2022-06-23 00:00:00,35.81,buy
2022-07-01 00:00:00,36.44,sell
2022-07-05 00:00:00,36.97,buy
2022-07-12 00:00:00,38.23,sell
2022-07-13 00:00:00,37.91,buy
2022-07-22 00:00:00,36.33,sell
2022-08-03 00:00:00,38.63,buy
2022-08-18 00:00:00,39.06,sell
2022-09-06 00:00:00,36.58,buy
2022-09-19 00:00:00,38.7,sell
2022-10-05 00:00:00,35.42,buy
2022-11-01 00:00:00,42.66,sell
2022-11-11 00:00:00,44.71,buy
2022-11-17 00:00:00,43.25,sell
2022-12-01 00:00:00,43.89,buy
2022-12-08 00:00:00,42.8,sell
2022-12-28 00:00:00,37.29,buy
2022-12-29 00:00:00,37.92,sell
2022-12-30 00:00:00,37.7,buy
2023-01-19 00:00:00,48.37,sell
2023-02-02 00:00:00,52.31,buy
2023-02-10 00:00:00,48.86,sell
2023-02-24 00:00:00,50.21,buy
2023-03-10 00:00:00,50.97,sell
2023-03-28 00:00:00,42.41,buy
2023-04-06 00:00:00,42.66,sell
2023-04-12 00:00:00,41.44,buy
2023-04-13 00:00:00,41.97,sell
2023-04-19 00:00:00,46.27,buy
2023-04-26 00:00:00,42.1,sell
2023-05-02 00:00:00,44.53,buy
2023-05-12 00:00:00,45.08,sell
2023-05-18 00:00:00,48.13,buy
2023-05-25 00:00:00,47.48,sell
2023-06-05 00:00:00,48.26,buy
2023-06-21 00:00:00,52.85,sell
2023-06-28 00:00:00,56.3,buy
2023-06-30 00:00:00,54.87,sell
2023-07-11 00:00:00,56.18,buy
2023-07-13 00:00:00,55.23,sell
2023-07-21 00:00:00,57.61,buy
2023-07-26 00:00:00,54.57,sell
2023-08-08 00:00:00,54.86,buy
2023-08-14 00:00:00,52.31,sell
2023-08-24 00:00:00,49.4,buy
2023-08-28 00:00:00,49.19,sell
2023-08-30 00:00:00,50.1,buy
2023-09-07 00:00:00,47.68,sell
2023-09-26 00:00:00,42.65,buy
2023-10-03 00:00:00,40.53,sell
2023-10-05 00:00:00,41.32,buy
2023-10-16 00:00:00,39.53,sell
2023-10-18 00:00:00,36.24,buy
2023-10-19 00:00:00,36.03,sell
2023-10-31 00:00:00,35.01,buy
2023-11-17 00:00:00,39.76,sell
2023-12-04 00:00:00,40.52,buy
2023-12-20 00:00:00,41.18,sell
2024-01-08 00:00:00,42.92,buy
2024-01-16 00:00:00,38.93,sell
2024-01-25 00:00:00,42.96,buy
2024-02-05 00:00:00,40.01,sell
2024-02-09 00:00:00,42.33,buy
2024-02-28 00:00:00,44.76,sell
2024-03-14 00:00:00,42.85,buy
2024-04-03 00:00:00,44.62,sell
2024-04-18 00:00:00,51.42,buy
2024-05-01 00:00:00,50.67,sell
2024-05-07 00:00:00,52.69,buy
2024-05-20 00:00:00,54.62,sell
2024-05-31 00:00:00,52.99,buy
2024-06-12 00:00:00,52.93,sell
2024-06-28 00:00:00,48.66,buy
2024-07-08 00:00:00,46.82,sell
2024-07-12 00:00:00,44.72,buy
2024-07-15 00:00:00,44.32,sell
2024-07-17 00:00:00,46.94,buy
2024-07-26 00:00:00,47.37,sell
2024-08-09 00:00:00,41.46,buy
2024-08-23 00:00:00,43.32,sell
2024-08-26 00:00:00,42.78,buy
2024-08-28 00:00:00,41.33,sell
2024-09-03 00:00:00,43.87,buy
2024-09-19 00:00:00,52.59,sell
2024-09-27 00:00:00,57.99,buy
2024-09-30 00:00:00,57.06,sell
