time,price,signal
1981-01-14 00:00:00,74.0,buy
1981-01-23 00:00:00,71.5,sell
1981-02-04 00:00:00,70.25,buy
1981-02-10 00:00:00,65.75,sell
1981-02-19 00:00:00,65.37,buy
1981-02-23 00:00:00,65.12,sell
1981-02-24 00:00:00,65.62,buy
1981-03-09 00:00:00,68.0,sell
1981-03-16 00:00:00,74.5,buy
1981-03-20 00:00:00,67.0,sell
1981-03-26 00:00:00,73.37,buy
1981-04-07 00:00:00,71.87,sell
1981-05-01 00:00:00,60.0,buy
1981-05-14 00:00:00,58.5,sell
1981-05-18 00:00:00,59.63,buy
1981-05-21 00:00:00,56.13,sell
1981-05-27 00:00:00,57.0,buy
1981-05-29 00:00:00,53.88,sell
1981-06-05 00:00:00,53.63,buy
1981-06-17 00:00:00,55.75,sell
1981-06-23 00:00:00,55.75,buy
1981-07-02 00:00:00,55.25,sell
1981-07-13 00:00:00,57.5,buy
1981-07-23 00:00:00,61.5,sell
1981-07-24 00:00:00,61.88,buy
1981-08-03 00:00:00,61.13,sell
1981-08-12 00:00:00,61.63,buy
1981-08-20 00:00:00,59.88,sell
1981-09-11 00:00:00,49.63,buy
1981-09-25 00:00:00,45.25,sell
1981-09-29 00:00:00,48.0,buy
1981-10-13 00:00:00,49.0,sell
1981-10-22 00:00:00,48.63,buy
1981-10-23 00:00:00,48.5,sell
1981-11-02 00:00:00,53.0,buy
1981-11-11 00:00:00,55.25,sell
1981-11-12 00:00:00,54.5,buy
1981-11-13 00:00:00,52.75,sell
1981-11-24 00:00:00,54.5,buy
1981-12-14 00:00:00,55.0,sell
1982-01-15 00:00:00,46.25,buy
1982-01-25 00:00:00,45.63,sell
1982-01-26 00:00:00,44.25,buy
1982-01-27 00:00:00,44.38,sell
1982-01-29 00:00:00,47.63,buy
1982-02-04 00:00:00,43.5,sell
1982-02-24 00:00:00,38.25,buy
1982-03-04 00:00:00,34.0,sell
1982-03-11 00:00:00,34.5,buy
1982-03-26 00:00:00,36.63,sell
1982-04-02 00:00:00,39.25,buy
1982-04-13 00:00:00,38.5,sell
1982-04-27 00:00:00,37.75,buy
1982-04-30 00:00:00,36.5,sell
1982-05-05 00:00:00,37.38,buy
1982-05-18 00:00:00,38.0,sell
1982-06-02 00:00:00,36.75,buy
1982-06-09 00:00:00,35.5,sell
1982-06-11 00:00:00,37.0,buy
1982-06-16 00:00:00,35.13,sell
1982-06-24 00:00:00,34.75,buy
1982-07-02 00:00:00,32.25,sell
1982-07-09 00:00:00,32.75,buy
1982-07-14 00:00:00,31.37,sell
1982-07-15 00:00:00,31.12,buy
1982-07-29 00:00:00,31.0,sell
1982-08-03 00:00:00,31.37,buy
1982-08-05 00:00:00,31.37,sell
1982-08-18 00:00:00,31.75,buy
1982-09-13 00:00:00,44.13,sell
1982-09-27 00:00:00,42.5,buy
1982-10-01 00:00:00,40.75,sell
1982-10-08 00:00:00,45.25,buy
1982-10-26 00:00:00,47.25,sell
1982-11-04 00:00:00,47.5,buy
1982-11-15 00:00:00,45.25,sell
1982-11-30 00:00:00,44.38,buy
1982-12-10 00:00:00,45.5,sell
1982-12-13 00:00:00,45.25,buy
1982-12-16 00:00:00,43.63,sell
1982-12-22 00:00:00,45.0,buy
1982-12-27 00:00:00,47.0,sell
1982-12-28 00:00:00,46.0,buy
1983-01-13 00:00:00,50.88,sell
1983-02-04 00:00:00,47.5,buy
1983-02-23 00:00:00,49.25,sell
1983-03-07 00:00:00,50.5,buy
1983-03-14 00:00:00,47.75,sell
1983-03-22 00:00:00,46.38,buy
1983-03-30 00:00:00,47.0,sell
1983-03-31 00:00:00,49.5,buy
1983-04-19 00:00:00,51.5,sell
1983-04-27 00:00:00,51.88,buy
1983-05-12 00:00:00,57.75,sell
1983-05-25 00:00:00,58.75,buy
1983-06-01 00:00:00,55.88,sell
1983-06-13 00:00:00,55.5,buy
1983-06-27 00:00:00,59.38,sell
1983-07-08 00:00:00,58.0,buy
1983-07-18 00:00:00,56.5,sell
1983-07-21 00:00:00,57.88,buy
1983-07-28 00:00:00,55.75,sell
1983-08-12 00:00:00,53.5,buy
1983-08-26 00:00:00,55.5,sell
1983-09-01 00:00:00,55.88,buy
1983-09-02 00:00:00,56.13,sell
1983-09-06 00:00:00,57.25,buy
1983-09-13 00:00:00,57.88,sell
1983-09-19 00:00:00,59.25,buy
1983-09-27 00:00:00,59.0,sell
1983-10-11 00:00:00,56.0,buy
1983-10-26 00:00:00,56.0,sell
1983-11-10 00:00:00,53.38,buy
1983-11-21 00:00:00,51.88,sell
1983-12-05 00:00:00,50.5,buy
1983-12-15 00:00:00,48.0,sell
1983-12-22 00:00:00,49.75,buy
1984-01-11 00:00:00,51.13,sell
1984-01-25 00:00:00,50.5,buy
1984-02-03 00:00:00,47.13,sell
1984-02-13 00:00:00,46.25,buy
1984-02-23 00:00:00,44.88,sell
1984-02-27 00:00:00,47.0,buy
1984-03-07 00:00:00,45.13,sell
1984-03-21 00:00:00,45.88,buy
1984-03-28 00:00:00,45.25,sell
1984-03-29 00:00:00,45.5,buy
1984-04-09 00:00:00,45.38,sell
1984-04-17 00:00:00,47.0,buy
1984-05-01 00:00:00,49.0,sell
1984-05-02 00:00:00,48.88,buy
1984-05-04 00:00:00,46.88,sell
1984-05-29 00:00:00,43.75,buy
1984-06-06 00:00:00,42.25,sell
1984-06-19 00:00:00,38.75,buy
1984-06-28 00:00:00,37.88,sell
1984-07-02 00:00:00,38.0,buy
1984-07-03 00:00:00,37.88,sell
1984-07-16 00:00:00,38.25,buy
1984-07-23 00:00:00,36.75,sell
1984-08-02 00:00:00,38.75,buy
1984-08-16 00:00:00,40.88,sell
1984-08-31 00:00:00,41.38,buy
1984-09-06 00:00:00,39.38,sell
1984-09-13 00:00:00,42.88,buy
1984-09-20 00:00:00,40.75,sell
1984-10-02 00:00:00,39.88,buy
1984-10-04 00:00:00,39.75,sell
1984-10-08 00:00:00,39.75,buy
1984-10-10 00:00:00,38.25,sell
1984-10-12 00:00:00,39.75,buy
1984-10-22 00:00:00,38.75,sell
1984-10-23 00:00:00,38.38,buy
1984-10-24 00:00:00,38.38,sell
1984-10-31 00:00:00,38.25,buy
1984-11-01 00:00:00,38.75,sell
1984-11-02 00:00:00,38.88,buy
1984-11-12 00:00:00,39.75,sell
1984-11-28 00:00:00,39.13,buy
1984-12-05 00:00:00,38.13,sell
1984-12-10 00:00:00,39.88,buy
1984-12-21 00:00:00,39.38,sell
1985-01-08 00:00:00,41.25,buy
1985-01-21 00:00:00,45.38,sell
1985-01-22 00:00:00,45.25,buy
1985-01-28 00:00:00,45.88,sell
1985-01-30 00:00:00,47.0,buy
1985-01-31 00:00:00,47.0,sell
1985-02-08 00:00:00,49.0,buy
1985-02-20 00:00:00,48.5,sell
