time,price,signal,label
1981-03-13,14.99,buy,1.0
1981-03-25,15.96,sell,3.0
1981-04-13,14.685,buy,2.0
1981-04-14,14.99,sell,4.0
1981-04-15,15.145,buy,2.0
1981-04-29,14.785,sell,4.0
1981-05-14,14.425,buy,2.0
1981-05-21,14.015,sell,4.0
1981-05-27,14.48,buy,2.0
1981-06-03,14.22,sell,4.0
1981-06-15,14.99,buy,2.0
1981-06-25,14.99,sell,4.0
1981-07-10,14.325,buy,2.0
1981-07-21,13.505,sell,4.0
1981-08-05,13.66,buy,2.0
1981-08-18,13.815,sell,4.0
1981-09-02,13.095,buy,2.0
1981-09-10,12.435,sell,4.0
1981-09-22,11.31,buy,2.0
1981-09-28,11.355,sell,4.0
1981-09-29,11.515,buy,2.0
1981-10-13,11.05,sell,4.0
1981-10-28,10.54,buy,2.0
1981-11-11,11.05,sell,4.0
1981-11-20,11.31,buy,1.0
1981-12-04,12.585,sell,3.0
1981-12-28,11.97,buy,2.0
1982-01-06,11.665,sell,4.0
1982-01-25,10.335,buy,2.0
1982-02-08,10.335,sell,4.0
1982-02-23,10.49,buy,2.0
1982-03-08,10.23,sell,4.0
1982-03-17,10.59,buy,2.0
1982-03-29,10.95,sell,4.0
1982-04-16,11.05,buy,2.0
1982-04-29,11.46,sell,4.0
1982-05-11,11.56,buy,2.0
1982-05-18,10.795,sell,4.0
1982-05-25,10.9,buy,2.0
1982-05-27,10.54,sell,4.0
1982-06-14,9.57,buy,2.0
1982-06-28,9.72,sell,4.0
1982-06-29,10.23,buy,2.0
1982-07-06,9.875,sell,4.0
1982-07-15,9.62,buy,2.0
1982-07-16,9.62,sell,4.0
1982-07-21,10.185,buy,2.0
1982-07-27,10.13,sell,4.0
1982-08-09,9.875,buy,2.0
1982-08-10,9.775,sell,4.0
1982-08-13,10.08,buy,1.0
1982-08-30,11.715,sell,3.0
1982-09-01,12.23,buy,2.0
1982-09-08,12.435,sell,4.0
1982-09-22,12.23,buy,2.0
1982-09-24,12.025,sell,4.0
1982-10-07,12.685,buy,1.0
1982-10-22,14.53,sell,3.0
