time,price,signal
2019-03-28 11:00:00,11.79,buy
2019-05-15 14:00:00,13.45,buy
2019-06-11 11:30:00,15.29,buy
2019-11-07 10:30:00,13.45,sell
2020-03-16 14:30:00,13.35,sell
2020-05-20 10:30:00,11.95,buy
2020-09-01 10:30:00,13.52,sell
2021-03-01 10:30:00,11.38,sell
2021-05-31 14:00:00,11.42,buy
2021-06-01 10:30:00,11.11,sell
2021-06-29 10:30:00,10.73,buy
2021-12-01 11:00:00,9.66,buy
2022-04-21 13:30:00,9.4,sell
2022-06-27 14:00:00,8.45,sell
2022-07-15 10:30:00,8.09,sell
2022-10-26 11:30:00,7.24,buy
2022-12-12 10:30:00,7.18,sell
2023-01-13 10:00:00,6.74,buy
2023-02-16 15:00:00,7.07,sell
2023-03-27 11:00:00,6.91,sell
2023-04-19 10:30:00,6.93,sell
2023-06-09 14:00:00,6.33,sell
2023-06-19 11:00:00,6.25,sell
2023-06-21 10:00:00,6.26,sell
2023-11-06 10:30:00,9.89,buy
2023-11-09 13:30:00,9.87,buy
2024-05-09 11:30:00,7.31,buy
2024-10-22 10:30:00,7.58,sell
2024-10-25 11:00:00,7.73,buy
2024-10-31 10:30:00,7.89,buy
2024-11-22 14:30:00,7.9,sell
2024-12-31 10:30:00,7.71,sell
