time,price,signal,label
1986-10-22,55.63,sell,3.0
1986-11-17,55.0,sell,4.0
1986-12-24,53.25,sell,4.0
1988-04-19,24.62,sell,4.0
1989-10-23,36.88,buy,2.0
1996-04-19,54.75,buy,2.0
1998-06-18,65.62,buy,1.0
2000-05-05,29.56,buy,1.0
2001-04-09,33.15,sell,4.0
2003-03-05,19.26,sell,4.0
2012-07-24,46.18,sell,4.0
2012-07-30,49.81,buy,1.0
2014-09-23,86.27,sell,4.0
2014-10-02,86.86,sell,4.0
2014-10-06,87.27,buy,2.0
2014-10-08,83.48,sell,4.0
2018-05-30,140.23,sell,4.0
2019-10-31,193.16,buy,1.0
2020-07-01,191.14,buy,1.0
2021-12-20,290.52,sell,3.0
2022-01-07,282.78,sell,4.0
2022-11-08,286.78,buy,1.0
2023-12-13,335.32,buy,2.0
