time,price,signal
1987-01-07 00:00:00,6.74,buy
1988-03-18 00:00:00,6.14,buy
1990-10-02 00:00:00,15.67,buy
1991-01-15 00:00:00,15.77,sell
1991-01-21 00:00:00,16.26,buy
1997-07-01 00:00:00,23.62,buy
1997-10-31 00:00:00,26.84,buy
1999-01-14 00:00:00,39.1,sell
2001-09-21 00:00:00,42.8,sell
2003-11-06 00:00:00,35.69,sell
2008-05-07 00:00:00,42.14,buy
2008-09-09 00:00:00,43.17,buy
2011-10-10 00:00:00,51.02,buy
2014-10-06 00:00:00,76.85,buy
2016-10-04 00:00:00,91.21,sell
2016-11-11 00:00:00,90.97,sell
2018-04-27 00:00:00,105.65,buy
2019-08-15 00:00:00,128.66,sell
2020-10-07 00:00:00,114.51,buy
2021-03-01 00:00:00,119.1,sell
2023-07-13 00:00:00,113.43,buy
2024-12-09 00:00:00,121.8,sell
