time,price,signal,label
1982-12-28,139.995,buy,1.0
1983-11-01,163.005,buy,1.0
1984-08-28,87.495,sell,4.0
1986-06-05,63.75,sell,3.0
1993-10-29,93.63,sell,3.0
1993-11-02,93.375,buy,2.0
1995-12-05,76.635,sell,4.0
2003-11-07,38.985,sell,4.0
2004-10-28,59.355,buy,1.0
2006-05-10,36.6,sell,3.0
2011-07-14,40.81,sell,3.0
2011-12-06,39.14,buy,2.0
2013-04-25,45.01,buy,2.0
2014-01-08,46.76,sell,3.0
2016-03-02,37.38,buy,2.0
2017-04-26,47.45,buy,2.0
2019-10-03,49.17,sell,4.0
2019-10-29,49.39,sell,4.0
2019-12-04,48.88,sell,4.0
2020-09-22,34.72,sell,4.0
2020-10-20,35.24,sell,4.0
2020-10-26,35.13,buy,1.0
2020-10-27,34.15,sell,4.0
2024-07-02,74.94,sell,4.0
