time,price,signal
1983-08-17 00:00:00,33.75,buy
1984-08-02 00:00:00,30.0,buy
1988-07-06 00:00:00,24.88,buy
1989-09-07 00:00:00,26.38,sell
1989-10-16 00:00:00,26.63,sell
1993-10-28 00:00:00,56.38,buy
1994-06-10 00:00:00,54.88,buy
1996-01-09 00:00:00,73.25,buy
1997-12-19 00:00:00,58.94,sell
1998-08-05 00:00:00,72.06,sell
1998-12-30 00:00:00,75.69,buy
2000-04-17 00:00:00,59.88,sell
2000-08-21 00:00:00,58.19,sell
2001-01-23 00:00:00,47.13,sell
2005-07-06 00:00:00,76.01,buy
2005-07-07 00:00:00,75.39,sell
2005-07-11 00:00:00,77.1,buy
2006-08-08 00:00:00,88.12,sell
2007-08-23 00:00:00,113.62,buy
2007-08-28 00:00:00,54.77,sell
2007-12-18 00:00:00,69.24,sell
2007-12-27 00:00:00,71.2,buy
2008-01-03 00:00:00,67.81,sell
2011-08-02 00:00:00,21.01,sell
2016-10-10 00:00:00,38.86,sell
2017-05-19 00:00:00,46.49,sell
2019-10-16 00:00:00,50.47,buy
2019-10-21 00:00:00,47.21,sell
2022-09-13 00:00:00,63.29,buy
2024-10-25 00:00:00,82.35,sell
