time,price,signal,label
2008-01-17,5.567,sell,4.0
2008-01-18,5.583,sell,4.0
2008-11-06,1.178,buy,1.0
2008-11-07,1.208,buy,1.0
2008-11-10,1.329,buy,1.0
2009-12-17,3.874,sell,4.0
2010-01-13,4.277,sell,3.0
2012-07-25,2.167,buy,2.0
2012-07-26,2.141,buy,2.0
2012-07-27,2.146,buy,2.0
2012-08-01,2.141,buy,2.0
2012-08-02,2.137,buy,2.0
2014-09-25,3.7,sell,3.0
2014-10-10,3.762,sell,3.0
2014-10-15,3.735,sell,3.0
2015-07-23,5.184,buy,1.0
2016-10-26,6.311,sell,3.0
2017-05-23,5.699,buy,1.0
2018-12-10,5.549,buy,2.0
2019-01-09,5.265,buy,1.0
2019-03-08,6.226,sell,4.0
2019-12-25,8.747,sell,4.0
2019-12-26,8.877,sell,3.0
2020-08-06,11.712,sell,4.0
2020-08-14,11.862,sell,4.0
2020-09-30,13.232,sell,3.0
2021-04-29,14.556,buy,2.0
2022-11-17,10.182,buy,1.0
