time,price,signal,label
2015-01-16,13.758,sell,3.0
2015-05-12,27.903,sell,3.0
2015-09-11,13.593,buy,2.0
2015-09-14,12.236,buy,1.0
2015-09-15,11.015,buy,1.0
2015-11-27,27.13,sell,3.0
2016-02-17,18.933,buy,2.0
2016-03-14,16.362,buy,1.0
2016-05-24,17.528,buy,1.0
2016-05-25,17.544,buy,1.0
2016-05-26,17.6,buy,1.0
2017-01-12,16.3,buy,2.0
2017-01-13,16.348,buy,2.0
2017-02-06,15.132,buy,2.0
2017-02-07,14.946,buy,2.0
2017-02-08,15.889,buy,2.0
2017-04-19,14.627,buy,2.0
2017-12-18,11.788,buy,2.0
2017-12-19,11.871,buy,2.0
2017-12-20,11.788,buy,2.0
2017-12-26,11.435,buy,2.0
2017-12-27,11.296,buy,1.0
2018-03-08,9.326,buy,2.0
2018-05-28,8.397,buy,2.0
2020-04-16,7.649,buy,2.0
2020-04-28,7.356,buy,1.0
2020-04-30,7.507,buy,2.0
2022-05-17,5.85,buy,1.0
2022-05-18,5.85,buy,1.0
2023-05-19,6.457,sell,3.0
