time,price,signal,label
2022-07-28 14:30:00,87.15,sell,3.0
2022-07-28 14:45:00,87.14,sell,3.0
2022-08-04 14:30:00,90.02,sell,4.0
2022-08-15 15:00:00,90.65,buy,2.0
2022-08-22 14:45:00,86.0,buy,2.0
2022-09-29 15:00:00,74.86,buy,2.0
2022-09-30 09:45:00,74.67,buy,2.0
2022-09-30 10:00:00,73.85,buy,2.0
2022-09-30 10:15:00,72.86,buy,2.0
2022-10-10 14:00:00,68.02,buy,2.0
2022-10-10 14:15:00,68.15,buy,2.0
2022-10-10 14:45:00,67.97,buy,1.0
2022-10-11 10:00:00,67.94,buy,1.0
2022-11-24 13:15:00,84.12,buy,2.0
2022-12-12 14:00:00,87.1,sell,3.0
2022-12-12 14:15:00,86.81,sell,3.0
2022-12-12 14:30:00,86.8,sell,4.0
2022-12-12 14:45:00,86.46,sell,3.0
2022-12-27 13:15:00,87.24,sell,3.0
2022-12-27 13:30:00,87.16,sell,4.0
2022-12-27 13:45:00,87.27,sell,3.0
2022-12-27 14:00:00,87.0,sell,3.0
2022-12-28 09:45:00,86.6,sell,4.0
2023-01-13 10:00:00,84.11,buy,2.0
2023-01-19 14:45:00,101.51,sell,3.0
2023-01-19 15:00:00,101.5,sell,3.0
2023-01-20 14:30:00,103.6,sell,3.0
2023-01-20 14:45:00,103.84,sell,3.0
2023-01-20 15:00:00,103.58,sell,3.0
2023-01-30 09:45:00,100.5,sell,3.0
2023-02-17 14:45:00,112.44,buy,2.0
2023-05-04 14:15:00,140.49,buy,2.0
2023-05-04 14:30:00,140.39,buy,2.0
2023-05-04 14:45:00,139.88,buy,2.0
2023-05-04 15:00:00,139.8,buy,2.0
2023-05-05 13:15:00,136.83,buy,1.0
2023-05-08 09:45:00,137.0,buy,2.0
2023-05-08 10:00:00,139.38,buy,2.0
2023-05-18 14:30:00,144.0,sell,3.0
2023-05-18 14:45:00,144.11,sell,3.0
2023-05-18 15:00:00,143.71,sell,3.0
2023-05-26 14:30:00,162.95,sell,3.0
2023-06-09 13:30:00,137.79,buy,1.0
2023-06-09 13:45:00,138.17,buy,1.0
2023-06-29 10:15:00,117.84,buy,2.0
2023-06-29 10:30:00,117.5,buy,2.0
2023-06-29 10:45:00,116.88,buy,2.0
2023-06-29 11:00:00,116.7,buy,2.0
2023-06-29 11:15:00,115.9,buy,2.0
