time,price,signal,label
2008-10-31,1.55,buy,1.0
2014-10-28,9.0,buy,1.0
2015-01-16,10.54,sell,4.0
2015-01-19,10.22,sell,4.0
2015-04-24,18.34,sell,4.0
2016-01-27,9.91,buy,2.0
2017-10-23,18.66,sell,3.0
2017-10-26,19.4,sell,3.0
2018-08-06,13.28,buy,2.0
2018-08-15,12.98,buy,1.0
2019-06-04,9.98,buy,2.0
2019-06-05,9.94,buy,1.0
2019-06-10,10.44,buy,2.0
2020-09-15,8.36,buy,1.0
2020-11-27,11.06,sell,4.0
2020-11-30,11.2,sell,4.0
2020-12-29,11.72,sell,4.0
2021-01-14,12.1,sell,3.0
2021-01-15,12.08,sell,3.0
2021-01-20,12.48,sell,3.0
2021-01-21,12.24,sell,3.0
2023-05-08,5.5,buy,2.0
2023-05-31,5.16,buy,1.0
2023-09-22,4.84,buy,2.0
