time,price,signal
1999-07-02 00:00:00,1.925,sell
1999-07-05 00:00:00,1.962,sell
1999-07-06 00:00:00,1.95,sell
2001-09-06 00:00:00,3.375,buy
2003-07-22 00:00:00,2.9,sell
2003-08-29 00:00:00,3.35,sell
2005-01-20 00:00:00,2.05,buy
2005-04-15 00:00:00,2.525,sell
2005-09-08 00:00:00,3.25,sell
2006-06-14 00:00:00,2.25,buy
2006-06-15 00:00:00,2.375,buy
2006-10-03 00:00:00,3.06,sell
2007-10-26 00:00:00,8.02,sell
2008-10-27 00:00:00,2.59,buy
2008-10-30 00:00:00,2.53,buy
2008-11-03 00:00:00,2.33,buy
2008-11-04 00:00:00,2.38,buy
2008-11-05 00:00:00,2.75,buy
2008-11-26 00:00:00,1.75,buy
2008-11-27 00:00:00,1.78,buy
2008-11-28 00:00:00,1.79,buy
2009-03-03 00:00:00,1.4,buy
2011-02-10 00:00:00,4.44,buy
2013-05-16 00:00:00,6.93,buy
2015-01-06 00:00:00,10.08,buy
2015-08-07 00:00:00,8.25,buy
2015-08-10 00:00:00,8.39,buy
2015-08-11 00:00:00,8.63,buy
2015-08-14 00:00:00,7.25,buy
2015-09-02 00:00:00,6.13,buy
2015-09-04 00:00:00,6.32,buy
2015-12-02 00:00:00,8.43,sell
2016-06-06 00:00:00,4.63,buy
2016-06-07 00:00:00,4.72,buy
2017-09-12 00:00:00,4.27,buy
2018-09-14 00:00:00,5.32,sell
2019-03-12 00:00:00,6.89,sell
2020-03-30 00:00:00,3.89,buy
2020-03-31 00:00:00,4.16,buy
2021-02-01 00:00:00,9.68,sell
2021-02-02 00:00:00,9.71,sell
2021-02-22 00:00:00,10.04,sell
2022-07-20 00:00:00,7.25,buy
2022-10-12 00:00:00,5.51,buy
2023-04-13 00:00:00,8.35,sell
2023-04-14 00:00:00,8.32,sell
2024-02-19 00:00:00,8.37,buy
