time,price,signal,label
2016-06-29,4.57,buy,1.0
2017-11-06,5.59,sell,3.0
2019-04-18,7.17,sell,3.0
2019-04-23,7.04,sell,3.0
2020-03-04,4.88,buy,2.0
2020-03-10,4.5,buy,2.0
2020-04-20,4.08,buy,2.0
2021-11-11,3.77,buy,2.0
2022-12-19,3.55,sell,4.0
2022-12-30,3.66,sell,4.0
2023-01-05,3.89,sell,3.0
2023-01-06,3.69,sell,3.0
2023-10-30,3.8,sell,3.0
2023-11-17,3.89,sell,3.0
2024-02-16,2.76,buy,1.0
2024-12-05,2.46,buy,2.0
2024-12-06,2.45,buy,2.0
2024-12-09,2.44,buy,2.0
2024-12-10,2.42,buy,2.0
2024-12-11,2.4,buy,2.0
2024-12-12,2.46,buy,2.0
