time,price,signal,label
1989-01-24,21.51,buy,1.0
1989-06-01,26.95,sell,3.0
1989-06-02,27.66,sell,3.0
1989-06-05,26.24,sell,3.0
1990-08-31,23.77,buy,1.0
1992-10-13,25.02,buy,1.0
1993-09-09,18.39,buy,2.0
1993-09-10,18.88,buy,2.0
1993-09-20,16.58,buy,1.0
1993-09-21,18.15,buy,1.0
1995-10-10,44.67,buy,1.0
1996-01-25,38.47,buy,2.0
1996-03-01,32.08,buy,2.0
1996-03-04,31.83,buy,2.0
1996-03-05,32.2,buy,1.0
1996-03-06,31.22,buy,1.0
1996-03-12,31.71,buy,2.0
1996-03-13,34.29,buy,2.0
1996-11-29,39.0,sell,3.0
1996-12-02,42.83,sell,3.0
1997-10-07,50.73,sell,3.0
1997-10-08,50.92,sell,3.0
1997-10-09,51.17,sell,3.0
1999-12-07,60.59,buy,1.0
1999-12-14,60.59,buy,1.0
1999-12-15,61.84,buy,1.0
2000-11-14,81.62,buy,2.0
2001-01-19,29.12,buy,2.0
2001-01-22,29.97,buy,2.0
2001-01-23,29.72,buy,2.0
2001-02-08,17.97,buy,1.0
2001-02-09,17.69,buy,1.0
2001-02-12,18.94,buy,2.0
2001-02-13,18.59,buy,2.0
2001-02-14,20.03,buy,2.0
2001-02-15,19.47,buy,2.0
2001-02-16,18.16,buy,2.0
2001-02-20,17.12,buy,2.0
2001-02-21,15.03,buy,2.0
2001-02-22,15.22,buy,2.0
2001-02-23,16.31,buy,1.0
2001-02-27,15.25,buy,1.0
2001-02-28,14.53,buy,1.0
2001-03-01,14.03,buy,1.0
2001-03-06,14.25,buy,1.0
2001-03-08,13.56,buy,1.0
2001-03-09,13.47,buy,1.0
2001-03-12,13.0,buy,1.0
2001-03-13,13.69,buy,1.0
2001-03-16,14.31,buy,1.0
2002-07-26,12.24,buy,2.0
2003-10-23,21.18,sell,3.0
2008-02-06,32.76,buy,2.0
2008-03-17,30.79,buy,1.0
2008-05-29,43.8,sell,3.0
2008-11-25,22.42,buy,2.0
2010-01-06,37.59,sell,3.0
2012-02-27,33.27,sell,3.0
2017-04-10,130.16,sell,4.0
2017-04-11,129.95,sell,4.0
2017-04-12,129.38,sell,4.0
2017-04-13,129.05,sell,4.0
2017-04-25,133.49,sell,4.0
2017-04-26,132.79,sell,4.0
2017-04-27,133.38,sell,4.0
2017-04-28,133.74,sell,4.0
2017-05-08,135.12,sell,4.0
2017-05-09,135.6,sell,4.0
2017-05-10,136.15,sell,4.0
2017-05-11,136.29,sell,4.0
2017-05-12,136.84,sell,4.0
2017-05-15,137.6,sell,4.0
2017-06-09,138.05,sell,4.0
2017-11-14,181.32,sell,3.0
2017-11-15,180.08,sell,3.0
2017-11-22,182.9,sell,4.0
2018-06-13,256.13,sell,3.0
2020-01-08,337.87,sell,4.0
2020-01-09,340.45,sell,4.0
2020-01-28,354.63,sell,3.0
2020-01-29,351.66,sell,3.0
2020-01-31,351.14,sell,3.0
2020-02-24,357.41,sell,3.0
2021-08-09,629.22,sell,4.0
2021-08-10,621.74,sell,4.0
2021-08-17,635.01,sell,3.0
2021-08-23,656.86,sell,3.0
2021-09-09,661.68,sell,3.0
2021-09-10,658.94,sell,3.0
2022-10-05,297.38,buy,2.0
2023-07-25,525.34,sell,4.0
2023-07-26,514.55,sell,4.0
2023-08-01,549.1,sell,3.0
2023-09-15,528.89,sell,4.0
2024-04-23,472.9,buy,2.0
2024-07-16,566.54,sell,3.0
2024-07-17,563.09,sell,4.0
2024-07-18,556.85,sell,4.0
2024-11-04,481.35,buy,1.0
2024-11-05,486.42,buy,2.0
