time,price,signal,label
2002-01-14,12.82,sell,4.0
2002-07-26,13.18,buy,1.0
2003-11-14,20.06,sell,4.0
2004-11-23,25.34,sell,4.0
2007-10-11,48.11,sell,4.0
2007-10-12,47.11,sell,4.0
2007-10-15,46.99,sell,4.0
2007-11-01,52.35,sell,3.0
2007-11-02,51.83,sell,3.0
2007-11-05,51.75,sell,3.0
2007-11-06,51.9,sell,3.0
2007-11-07,50.4,sell,3.0
2008-10-24,21.8,buy,1.0
2008-10-28,23.89,buy,2.0
2009-06-15,32.82,sell,3.0
2010-08-18,47.07,sell,4.0
2010-08-19,45.26,sell,4.0
2010-10-15,54.19,sell,4.0
2010-10-28,55.83,sell,4.0
2010-10-29,56.11,sell,4.0
2010-11-16,56.49,sell,4.0
2010-12-30,72.87,sell,4.0
2010-12-31,72.36,sell,4.0
2011-01-03,73.36,sell,4.0
2011-01-04,72.51,sell,4.0
2011-01-05,73.18,sell,3.0
2011-01-06,72.48,sell,4.0
2012-07-12,63.19,buy,1.0
2012-07-13,64.7,buy,2.0
2012-07-25,62.13,buy,1.0
2013-01-16,75.55,sell,3.0
2013-10-03,101.82,sell,3.0
2013-10-04,103.49,sell,3.0
2013-10-07,101.62,sell,4.0
2014-02-05,52.44,buy,1.0
2014-09-11,61.19,buy,2.0
2015-08-18,47.15,buy,2.0
2015-08-19,46.49,buy,2.0
2015-08-20,45.3,buy,2.0
2015-08-21,44.22,buy,2.0
2015-08-31,43.64,buy,2.0
2015-09-01,42.47,buy,2.0
2015-09-02,42.92,buy,2.0
2015-09-03,42.96,buy,2.0
2015-09-04,42.56,buy,2.0
2015-09-08,43.93,buy,2.0
2016-02-04,29.73,buy,1.0
2016-08-25,33.77,sell,4.0
2017-07-27,47.02,sell,3.0
2017-10-12,50.92,sell,4.0
2020-02-14,34.15,buy,2.0
2020-02-18,34.34,buy,2.0
2020-03-06,28.87,buy,2.0
2020-08-24,41.38,sell,3.0
2020-08-25,41.0,sell,3.0
2023-02-28,50.28,sell,3.0
2023-03-02,50.7,sell,3.0
2023-03-03,50.81,sell,3.0
2023-03-06,50.27,sell,3.0
2024-05-22,35.85,sell,3.0
