time,price,signal,label
2002-03-01,10.42,sell,3.0
2002-03-04,10.33,sell,3.0
2002-12-16,10.09,buy,2.0
2003-06-04,10.67,sell,4.0
2003-10-17,11.71,sell,4.0
2003-11-26,13.43,sell,3.0
2003-12-01,13.69,sell,3.0
2003-12-02,13.72,sell,3.0
2003-12-03,13.65,sell,3.0
2004-12-28,16.64,sell,4.0
2004-12-29,16.5,sell,4.0
2004-12-30,16.72,sell,4.0
2004-12-31,16.81,sell,4.0
2007-09-17,44.31,sell,4.0
2007-10-08,47.21,sell,4.0
2007-10-09,47.12,sell,4.0
2007-10-10,46.82,sell,4.0
2007-10-11,46.86,sell,4.0
2007-10-12,46.66,sell,4.0
2007-11-07,50.39,sell,4.0
2007-11-08,51.5,sell,4.0
2007-11-09,50.92,sell,4.0
2007-11-13,52.69,sell,4.0
2007-11-21,52.81,sell,4.0
2007-11-23,52.68,sell,4.0
2007-11-27,54.95,sell,4.0
2007-12-06,56.25,sell,3.0
2007-12-07,56.14,sell,3.0
2007-12-10,56.1,sell,3.0
2007-12-11,55.54,sell,3.0
2007-12-12,56.05,sell,3.0
2007-12-13,56.93,sell,3.0
2007-12-14,56.72,sell,3.0
2007-12-17,56.3,sell,3.0
2009-08-06,57.5,sell,3.0
2010-03-09,67.39,sell,4.0
2010-03-10,67.52,sell,4.0
2010-03-12,68.51,sell,3.0
2010-03-15,67.28,sell,4.0
2010-03-24,68.66,sell,3.0
2010-10-20,68.32,sell,3.0
2010-10-21,67.99,sell,3.0
2011-01-04,69.11,sell,4.0
2011-03-17,77.69,sell,4.0
2011-06-22,40.65,buy,2.0
2011-08-02,39.79,buy,2.0
2011-08-03,40.06,buy,2.0
2011-08-05,38.54,buy,1.0
2011-08-08,37.01,buy,1.0
2012-05-23,53.38,sell,4.0
2012-05-25,53.56,sell,4.0
2014-03-18,68.58,sell,3.0
2014-11-28,76.71,sell,4.0
2015-03-03,85.49,sell,4.0
2015-03-04,84.89,sell,4.0
2016-03-04,91.78,sell,4.0
2016-03-07,90.65,sell,4.0
2016-03-31,92.18,sell,4.0
2016-04-04,92.54,sell,4.0
2016-09-23,48.14,buy,2.0
2016-11-04,43.78,buy,2.0
2016-11-07,44.43,buy,2.0
2016-11-08,45.84,buy,2.0
2016-11-15,44.57,buy,2.0
2017-03-06,49.67,sell,4.0
2017-03-07,49.55,sell,4.0
2017-03-29,50.04,sell,4.0
2018-01-05,50.07,sell,3.0
2018-09-25,59.01,sell,4.0
2018-12-12,67.84,sell,3.0
2018-12-13,69.18,sell,3.0
2019-04-22,73.75,sell,4.0
2019-04-23,73.44,sell,4.0
2019-04-24,73.28,sell,4.0
2019-04-29,73.79,sell,4.0
2019-05-01,73.64,sell,3.0
2019-11-20,69.68,buy,2.0
2020-08-14,94.26,sell,3.0
2022-01-11,101.82,sell,3.0
2022-01-14,104.22,sell,3.0
2022-01-18,103.22,sell,3.0
2022-10-06,71.82,buy,1.0
2022-10-07,70.72,buy,1.0
2022-10-10,71.17,buy,1.0
2023-05-11,96.38,sell,4.0
2023-05-12,96.86,sell,4.0
2023-05-15,96.12,sell,4.0
