time,price,signal,label
1999-01-07,25.75,sell,4.0
1999-01-08,25.0,sell,4.0
2000-03-14,46.06,sell,3.0
2001-01-18,14.19,buy,2.0
2001-01-19,14.03,buy,2.0
2001-01-22,14.06,buy,2.0
2001-01-23,14.25,buy,2.0
2001-01-25,13.91,buy,2.0
2001-01-26,13.72,buy,1.0
2001-01-29,13.95,buy,1.0
2001-03-15,12.72,buy,2.0
2009-10-06,57.66,sell,3.0
2009-10-16,60.92,sell,3.0
2009-10-19,61.2,sell,3.0
2009-10-20,61.47,sell,3.0
2009-10-21,58.73,sell,3.0
2010-09-17,68.45,sell,4.0
2010-10-14,70.63,sell,4.0
2010-10-15,72.24,sell,4.0
2010-12-29,80.5,sell,3.0
2010-12-30,80.08,sell,3.0
2010-12-31,80.19,sell,3.0
2011-01-03,81.51,sell,3.0
2011-01-04,80.45,sell,3.0
2012-08-10,54.23,buy,1.0
2013-08-02,59.71,sell,3.0
2013-12-26,57.13,buy,2.0
2014-03-10,52.57,buy,2.0
2014-03-17,51.07,buy,2.0
2014-03-27,51.0,buy,1.0
2014-03-31,52.39,buy,1.0
2014-05-16,58.88,sell,4.0
2014-05-19,59.52,sell,4.0
2014-05-20,59.11,sell,4.0
2014-05-27,59.26,sell,4.0
2014-06-09,60.91,sell,4.0
2014-07-01,63.53,sell,4.0
2014-07-03,64.38,sell,4.0
2014-07-07,64.11,sell,4.0
2014-08-27,68.22,sell,3.0
2014-08-28,68.06,sell,3.0
2014-11-24,72.62,sell,4.0
2015-05-14,64.38,buy,2.0
2015-05-15,64.52,buy,2.0
2015-08-14,69.4,sell,3.0
2015-08-17,69.69,sell,3.0
2016-03-15,73.07,sell,3.0
2016-03-16,73.11,sell,3.0
2016-03-17,73.83,sell,3.0
2016-03-29,74.5,sell,3.0
2016-03-30,74.55,sell,4.0
2016-03-31,74.23,sell,3.0
2016-04-01,73.65,sell,3.0
2017-03-07,78.94,sell,3.0
2017-06-01,67.58,buy,2.0
2017-11-07,80.5,sell,4.0
2017-11-08,80.63,sell,4.0
2017-12-18,87.16,sell,4.0
2017-12-19,86.63,sell,4.0
2018-01-08,90.78,sell,3.0
2018-01-09,91.46,sell,3.0
2018-08-17,97.14,sell,4.0
2020-08-14,95.08,sell,4.0
2020-08-17,95.28,sell,4.0
2020-08-18,94.96,sell,4.0
2020-09-01,99.22,sell,4.0
2020-09-02,99.67,sell,4.0
2020-09-03,97.61,sell,4.0
2020-09-29,103.7,sell,3.0
2022-01-12,107.35,sell,3.0
2022-02-22,92.37,buy,1.0
2022-02-23,92.42,buy,1.0
2023-10-06,84.86,buy,2.0
2023-11-10,79.96,buy,1.0
2024-03-05,69.65,buy,2.0
2024-03-06,71.96,buy,2.0
2024-09-04,104.13,sell,4.0
2024-09-05,102.18,sell,4.0
