time,price,signal,label
1979-07-05,7.57,buy,2.0
1979-11-15,6.81,buy,2.0
1981-08-17,8.09,buy,2.0
1983-12-28,13.72,buy,2.0
1985-09-18,17.82,buy,1.0
1986-03-12,25.73,sell,4.0
1989-05-15,40.44,sell,4.0
1989-08-14,46.07,sell,4.0
1989-09-12,47.66,sell,4.0
1989-09-13,46.57,sell,4.0
1990-03-05,44.23,buy,1.0
1991-07-08,31.37,buy,2.0
1991-07-10,30.01,buy,1.0
1991-07-11,30.22,buy,1.0
1991-07-12,30.74,buy,1.0
1993-12-20,53.41,sell,3.0
1994-10-27,54.87,sell,4.0
1994-10-28,54.87,sell,4.0
1994-10-31,55.21,sell,4.0
1995-06-13,69.74,sell,3.0
1995-06-14,69.51,sell,3.0
1996-11-22,89.36,sell,3.0
1998-04-06,85.01,sell,4.0
1999-07-22,50.67,buy,2.0
2000-10-03,46.5,buy,1.0
2000-10-04,46.93,buy,1.0
2001-06-21,61.0,sell,3.0
2001-08-10,53.5,buy,1.0
2004-01-09,50.49,buy,1.0
2004-08-18,52.13,buy,2.0
2004-10-15,43.93,buy,1.0
2004-10-18,43.92,buy,1.0
2004-10-19,43.06,buy,1.0
2004-10-20,45.35,buy,2.0
2007-04-09,65.97,sell,4.0
2007-04-24,67.44,sell,3.0
2009-10-23,77.72,sell,4.0
2010-09-10,75.18,buy,2.0
2011-07-18,87.99,sell,3.0
2016-04-13,70.83,sell,4.0
2016-11-30,65.23,buy,2.0
2017-03-10,74.26,sell,3.0
2017-08-18,71.02,buy,2.0
2018-05-21,62.25,buy,1.0
2018-05-22,62.41,buy,2.0
2020-02-21,76.27,sell,3.0
2020-08-13,76.98,sell,3.0
2020-09-03,77.67,sell,3.0
2020-12-01,86.26,sell,3.0
2021-09-29,77.08,buy,2.0
2023-05-17,80.51,sell,3.0
2024-05-22,94.76,sell,4.0
