time,price,signal,label
2010-10-19,17.32,sell,4.0
2010-10-20,17.54,sell,4.0
2010-10-26,17.66,sell,4.0
2010-10-28,17.45,sell,4.0
2010-10-29,17.65,sell,4.0
2010-11-01,18.03,sell,4.0
2012-02-02,27.75,sell,4.0
2012-02-17,29.54,sell,4.0
2012-03-06,29.93,sell,4.0
2012-10-17,40.8,sell,3.0
2013-04-03,43.42,sell,4.0
2014-07-07,63.08,sell,3.0
2014-07-08,62.21,sell,3.0
2014-07-17,63.92,sell,3.0
2016-08-23,58.07,sell,3.0
2016-08-24,57.81,sell,3.0
2016-12-20,73.18,sell,3.0
2016-12-21,72.89,sell,3.0
2016-12-22,72.42,sell,3.0
2016-12-23,72.64,sell,3.0
2016-12-27,72.82,sell,3.0
2016-12-28,71.91,sell,3.0
2018-01-05,78.16,sell,4.0
2018-01-08,77.57,sell,3.0
2018-01-09,78.24,sell,3.0
2018-01-11,80.36,sell,3.0
2018-01-12,80.51,sell,3.0
2018-01-30,79.72,sell,3.0
2019-03-04,71.44,sell,4.0
2019-03-05,71.03,sell,4.0
2020-02-13,76.2,buy,2.0
2020-12-22,86.84,sell,4.0
2020-12-24,88.29,sell,4.0
2020-12-28,88.29,sell,4.0
2020-12-29,88.02,sell,4.0
2020-12-30,89.3,sell,4.0
2020-12-31,90.53,sell,4.0
2021-01-04,89.61,sell,4.0
2021-01-05,90.73,sell,4.0
2021-01-06,95.46,sell,3.0
2021-05-14,116.82,sell,4.0
2021-05-17,118.13,sell,4.0
2021-05-18,115.23,sell,4.0
2021-06-03,122.58,sell,4.0
2021-06-16,122.07,sell,4.0
2023-06-26,115.45,sell,3.0
2023-06-27,117.32,sell,3.0
2023-06-28,117.41,sell,3.0
2023-09-01,92.06,buy,2.0
2023-09-05,91.81,buy,2.0
2023-09-25,87.57,buy,2.0
2023-09-26,86.86,buy,2.0
2023-09-27,85.26,buy,2.0
2023-09-28,86.33,buy,2.0
2024-01-04,110.33,sell,3.0
2024-01-09,111.42,sell,3.0
2024-11-25,182.67,sell,3.0
