time,price,signal
2009-08-20 00:00:00,63.5,sell
2009-08-21 00:00:00,64.33,sell
2011-01-11 00:00:00,80.86,sell
2011-04-06 00:00:00,90.86,sell
2012-03-05 00:00:00,72.68,sell
2012-03-06 00:00:00,71.0,sell
2012-06-12 00:00:00,57.55,buy
2012-11-28 00:00:00,53.12,buy
2014-07-01 00:00:00,79.08,sell
2014-09-22 00:00:00,69.98,buy
2014-10-23 00:00:00,60.01,buy
2015-08-20 00:00:00,42.81,buy
2016-12-19 00:00:00,47.04,sell
2016-12-20 00:00:00,46.66,sell
2018-03-08 00:00:00,32.39,buy
2018-05-25 00:00:00,40.58,sell
2019-06-13 00:00:00,26.12,buy
2020-03-26 00:00:00,7.36,buy
2021-06-14 00:00:00,28.98,sell
2021-06-16 00:00:00,29.06,sell
2021-10-20 00:00:00,40.91,sell
2021-10-21 00:00:00,39.7,sell
2021-11-17 00:00:00,42.29,sell
2022-02-11 00:00:00,54.11,sell
2022-02-14 00:00:00,52.26,sell
2022-04-04 00:00:00,60.85,sell
2022-04-05 00:00:00,58.47,sell
2023-03-06 00:00:00,56.49,buy
2023-03-07 00:00:00,55.03,buy
2023-03-08 00:00:00,54.5,buy
2024-01-30 00:00:00,43.32,buy
2024-04-16 00:00:00,52.18,sell
2024-09-23 00:00:00,41.12,buy
2024-12-31 00:00:00,32.73,buy
