time,price,signal,label
1990-02-21,51.13,buy,2.0
1990-06-01,60.13,sell,4.0
1990-10-24,42.63,buy,2.0
1990-10-29,41.5,buy,1.0
1997-06-26,86.37,sell,4.0
1998-08-26,60.88,buy,2.0
1998-08-27,59.56,buy,1.0
1998-08-28,59.56,buy,1.0
1998-09-02,59.38,buy,1.0
1998-09-03,59.5,buy,1.0
1999-10-08,88.0,buy,2.0
1999-11-04,71.75,buy,1.0
1999-11-05,70.94,buy,1.0
1999-11-08,71.56,buy,1.0
1999-12-08,75.12,buy,2.0
2000-05-08,81.75,sell,3.0
2000-07-07,70.0,buy,2.0
2003-11-14,25.36,sell,4.0
2007-10-08,100.88,sell,3.0
2008-08-04,68.55,buy,2.0
2009-03-17,33.84,buy,1.0
2011-01-06,102.59,sell,4.0
2011-02-18,110.92,sell,3.0
2011-05-19,51.38,buy,2.0
2012-02-24,51.75,sell,3.0
2012-12-10,52.34,sell,4.0
2014-09-11,67.78,buy,2.0
2018-09-28,86.73,sell,3.0
2020-08-27,102.09,sell,4.0
2021-08-30,170.21,sell,3.0
2023-08-02,218.87,sell,4.0
2023-08-16,216.09,sell,3.0
2024-03-13,300.24,sell,4.0
2024-03-21,315.52,sell,3.0
2024-04-04,320.16,sell,4.0
2024-04-05,330.51,sell,3.0
