time,price,signal,label
2009-03-02,5.76,buy,2.0
2009-03-17,5.52,buy,1.0
2011-02-11,19.75,sell,3.0
2011-02-14,19.69,sell,3.0
2012-01-06,24.4,sell,4.0
2012-01-11,24.51,sell,4.0
2012-08-13,32.97,sell,4.0
2012-08-14,33.19,sell,4.0
2012-08-15,33.66,sell,4.0
2012-08-16,33.82,sell,4.0
2012-08-17,33.61,sell,4.0
2012-08-20,33.6,sell,4.0
2012-08-30,34.04,sell,3.0
2012-08-31,34.11,sell,3.0
2012-09-04,34.22,sell,4.0
2012-09-05,34.01,sell,4.0
2012-09-14,34.86,sell,3.0
2012-09-17,34.45,sell,3.0
2012-11-20,35.64,sell,4.0
2013-02-12,40.35,sell,3.0
2013-02-13,40.06,sell,3.0
2013-05-14,43.84,sell,3.0
2013-05-15,44.33,sell,3.0
2013-05-16,44.03,sell,3.0
2013-05-17,44.47,sell,3.0
2013-05-20,44.42,sell,3.0
2013-05-22,43.61,sell,3.0
2014-06-05,54.12,sell,3.0
2014-12-11,58.96,sell,4.0
2016-08-31,80.55,buy,2.0
2016-09-01,81.01,buy,2.0
2016-10-19,76.29,buy,2.0
2016-10-20,76.27,buy,2.0
2018-07-09,99.31,sell,3.0
2019-08-28,121.0,sell,3.0
2019-09-05,121.2,sell,3.0
2021-04-30,148.69,sell,4.0
2021-05-03,145.62,sell,4.0
2021-05-05,145.85,sell,4.0
2021-08-09,175.34,sell,4.0
2021-08-11,173.42,sell,4.0
2021-08-16,175.3,sell,3.0
2021-11-17,201.27,sell,4.0
2022-01-05,217.74,sell,3.0
2023-11-07,107.2,buy,1.0
