time,price,signal,label
2002-01-15,24.92,sell,3.0
2003-04-23,23.18,sell,4.0
2003-05-01,22.99,sell,4.0
2003-05-05,23.69,sell,4.0
2003-05-06,23.83,sell,4.0
2003-05-15,25.19,sell,4.0
2003-12-04,27.68,buy,2.0
2004-04-13,28.15,sell,4.0
2004-04-14,27.85,sell,4.0
2009-10-06,65.63,sell,4.0
2009-11-24,72.48,sell,3.0
2009-11-25,73.1,sell,3.0
2009-11-27,71.85,sell,3.0
2010-04-13,75.44,sell,3.0
2010-04-19,74.66,sell,3.0
2010-04-20,75.72,sell,3.0
2010-04-21,75.97,sell,3.0
2010-04-22,76.17,sell,3.0
2010-04-23,76.61,sell,3.0
2010-04-26,76.93,sell,3.0
2010-04-27,76.09,sell,3.0
2010-11-01,88.09,sell,4.0
2010-11-02,88.11,sell,4.0
2010-11-03,87.84,sell,4.0
2010-11-04,89.45,sell,4.0
2012-01-03,88.08,buy,2.0
2012-05-07,103.39,sell,3.0
2013-08-06,110.28,sell,4.0
2014-07-11,120.0,sell,4.0
2014-07-17,119.09,sell,4.0
2014-09-09,127.03,sell,3.0
2014-11-21,137.3,sell,4.0
2014-11-24,137.58,sell,4.0
2014-11-25,137.0,sell,4.0
2014-11-26,137.19,sell,4.0
2014-11-28,137.06,sell,4.0
2015-03-02,155.86,sell,4.0
2015-03-03,154.61,sell,4.0
2016-08-09,172.56,sell,4.0
2016-08-11,172.66,sell,4.0
2016-08-23,177.72,sell,3.0
2016-08-24,177.39,sell,3.0
2016-09-01,180.13,sell,3.0
2017-02-10,177.94,sell,3.0
2017-10-12,178.19,sell,4.0
2017-10-13,177.41,sell,4.0
2017-11-03,190.63,sell,4.0
2017-11-06,191.03,sell,4.0
2017-11-07,191.34,sell,4.0
2017-11-08,195.3,sell,4.0
2017-11-20,196.34,sell,4.0
2017-11-22,197.59,sell,3.0
2017-11-24,198.71,sell,3.0
2017-11-27,196.62,sell,3.0
2017-11-28,199.04,sell,3.0
2017-11-29,198.28,sell,3.0
2018-09-17,232.03,sell,3.0
2019-05-13,272.24,sell,4.0
2020-07-23,348.1,sell,4.0
2020-08-18,360.81,sell,3.0
2020-08-19,360.92,sell,3.0
2020-08-20,356.24,sell,3.0
2021-09-10,384.01,sell,4.0
2021-09-13,382.58,sell,4.0
2021-09-14,383.75,sell,4.0
2021-09-15,383.77,sell,4.0
2021-11-10,448.58,sell,4.0
2021-11-11,456.8,sell,4.0
2021-11-22,455.78,sell,4.0
2021-11-23,465.01,sell,3.0
2021-11-24,469.07,sell,3.0
2021-11-26,458.49,sell,3.0
2022-08-26,445.12,sell,3.0
