time,price,signal
1985-12-24 00:00:00,43.75,sell
1986-04-24 00:00:00,54.5,sell
1986-04-25 00:00:00,54.88,sell
1986-04-28 00:00:00,54.5,sell
1986-04-29 00:00:00,54.38,sell
1987-11-04 00:00:00,28.37,buy
1987-11-27 00:00:00,26.62,buy
1987-12-01 00:00:00,25.62,buy
1987-12-02 00:00:00,26.12,buy
1987-12-03 00:00:00,24.87,buy
1988-01-25 00:00:00,20.75,buy
1988-06-15 00:00:00,30.37,sell
1990-01-03 00:00:00,31.0,buy
1990-02-09 00:00:00,25.87,buy
1990-02-12 00:00:00,26.0,buy
1990-02-14 00:00:00,26.37,buy
1990-10-23 00:00:00,12.63,buy
1990-10-24 00:00:00,12.25,buy
1990-10-25 00:00:00,12.25,buy
1990-10-26 00:00:00,11.25,buy
1990-10-29 00:00:00,10.63,buy
1990-10-30 00:00:00,10.88,buy
1991-03-14 00:00:00,17.37,sell
1991-08-09 00:00:00,26.87,sell
1991-11-05 00:00:00,24.62,buy
1992-02-27 00:00:00,33.75,sell
1992-02-28 00:00:00,33.63,sell
1992-11-24 00:00:00,36.38,sell
1992-11-25 00:00:00,37.38,sell
1992-11-27 00:00:00,37.63,sell
1993-01-07 00:00:00,37.63,sell
1993-10-12 00:00:00,45.5,sell
1993-10-13 00:00:00,46.13,sell
1993-10-14 00:00:00,45.13,sell
1996-10-10 00:00:00,81.0,sell
1996-10-11 00:00:00,81.5,sell
1996-10-15 00:00:00,82.5,sell
1996-11-15 00:00:00,88.5,sell
1996-11-18 00:00:00,89.5,sell
1996-11-19 00:00:00,92.5,sell
1997-07-22 00:00:00,105.5,sell
1997-09-09 00:00:00,115.62,sell
1997-10-16 00:00:00,123.81,sell
1998-03-31 00:00:00,134.88,sell
1998-04-01 00:00:00,136.0,sell
1998-04-02 00:00:00,139.31,sell
1998-07-06 00:00:00,77.0,buy
1998-08-14 00:00:00,64.37,buy
1998-08-21 00:00:00,63.69,buy
1998-08-24 00:00:00,64.06,buy
2003-05-16 00:00:00,31.25,sell
2003-05-19 00:00:00,30.42,sell
2003-05-30 00:00:00,32.86,sell
2003-06-16 00:00:00,35.95,sell
2004-05-25 00:00:00,36.84,buy
2007-04-18 00:00:00,52.07,sell
2007-04-19 00:00:00,52.09,sell
2007-04-20 00:00:00,52.54,sell
2007-04-25 00:00:00,52.82,sell
2007-04-26 00:00:00,52.94,sell
2007-04-27 00:00:00,52.55,sell
2007-04-30 00:00:00,52.1,sell
2007-05-01 00:00:00,52.26,sell
2007-05-02 00:00:00,52.55,sell
2007-05-03 00:00:00,52.7,sell
2007-05-04 00:00:00,52.63,sell
2007-05-07 00:00:00,52.73,sell
2007-05-08 00:00:00,52.45,sell
2011-06-21 00:00:00,40.91,buy
2012-02-06 00:00:00,38.14,sell
2012-02-07 00:00:00,37.87,sell
2012-04-03 00:00:00,45.42,sell
2013-01-24 00:00:00,46.37,sell
2013-01-25 00:00:00,47.16,sell
2013-01-28 00:00:00,46.64,sell
2013-02-19 00:00:00,49.45,sell
2015-05-28 00:00:00,66.2,sell
2016-08-23 00:00:00,65.77,sell
2016-12-19 00:00:00,85.43,sell
2016-12-20 00:00:00,86.53,sell
2016-12-21 00:00:00,86.75,sell
2016-12-22 00:00:00,86.89,sell
2016-12-23 00:00:00,87.05,sell
2016-12-27 00:00:00,87.13,sell
2016-12-28 00:00:00,86.5,sell
2017-10-17 00:00:00,97.62,sell
2017-11-07 00:00:00,98.75,sell
2019-11-20 00:00:00,129.63,sell
2019-11-21 00:00:00,129.93,sell
2019-12-06 00:00:00,135.04,sell
2019-12-09 00:00:00,134.41,sell
2019-12-24 00:00:00,137.58,sell
2019-12-26 00:00:00,139.04,sell
2019-12-27 00:00:00,139.14,sell
2019-12-31 00:00:00,139.4,sell
2020-01-02 00:00:00,141.09,sell
2021-03-19 00:00:00,155.14,sell
2021-11-03 00:00:00,170.53,sell
2022-11-21 00:00:00,133.05,sell
2022-11-23 00:00:00,136.48,sell
2022-11-25 00:00:00,136.74,sell
2022-12-01 00:00:00,136.24,sell
2024-01-08 00:00:00,172.02,sell
2024-01-09 00:00:00,170.66,sell
2024-02-13 00:00:00,174.26,sell
2025-02-18 00:00:00,279.95,sell
