time,price,signal
1987-03-03 00:00:00,45.13,sell
1987-03-04 00:00:00,47.0,sell
1989-05-11 00:00:00,54.13,sell
1990-06-04 00:00:00,46.5,buy
1990-06-25 00:00:00,42.88,buy
1990-06-26 00:00:00,43.25,buy
1991-08-22 00:00:00,64.87,sell
1992-03-27 00:00:00,82.75,sell
1992-06-17 00:00:00,39.38,buy
1992-06-18 00:00:00,39.63,buy
1992-06-19 00:00:00,40.38,buy
1992-06-22 00:00:00,40.25,buy
1992-06-23 00:00:00,40.13,buy
1992-06-24 00:00:00,39.88,buy
1992-06-26 00:00:00,39.75,buy
1992-06-29 00:00:00,40.38,buy
1994-08-10 00:00:00,44.0,sell
1994-08-11 00:00:00,43.63,sell
1994-10-03 00:00:00,49.25,sell
1994-10-04 00:00:00,48.38,sell
1996-06-03 00:00:00,46.25,buy
1996-07-16 00:00:00,46.13,buy
1996-07-18 00:00:00,47.38,buy
1997-06-25 00:00:00,69.44,sell
2000-06-08 00:00:00,52.81,sell
2002-05-17 00:00:00,57.0,sell
2002-05-20 00:00:00,56.2,sell
2003-06-19 00:00:00,46.12,sell
2003-11-17 00:00:00,46.68,sell
2003-11-18 00:00:00,46.5,sell
2004-01-05 00:00:00,50.41,sell
2004-08-12 00:00:00,43.84,buy
2004-10-04 00:00:00,40.75,buy
2004-10-25 00:00:00,38.65,buy
2004-10-26 00:00:00,39.3,buy
2004-10-27 00:00:00,40.43,buy
2007-04-13 00:00:00,49.88,sell
2007-04-16 00:00:00,50.27,sell
2007-04-17 00:00:00,51.57,sell
2007-04-18 00:00:00,51.66,sell
2007-04-24 00:00:00,51.71,sell
2007-04-25 00:00:00,51.74,sell
2007-04-26 00:00:00,52.08,sell
2007-04-27 00:00:00,52.06,sell
2007-04-30 00:00:00,52.19,sell
2007-05-01 00:00:00,52.63,sell
2007-05-02 00:00:00,52.71,sell
2007-05-03 00:00:00,52.91,sell
2007-05-04 00:00:00,53.21,sell
2007-05-07 00:00:00,53.61,sell
2007-05-08 00:00:00,53.07,sell
2007-05-09 00:00:00,53.11,sell
2007-05-10 00:00:00,52.48,sell
2007-10-11 00:00:00,57.19,sell
2008-04-08 00:00:00,60.51,sell
2008-05-22 00:00:00,58.27,buy
2009-10-16 00:00:00,55.01,sell
2009-10-19 00:00:00,54.79,sell
2009-10-20 00:00:00,54.07,sell
2010-09-17 00:00:00,57.56,sell
2010-09-21 00:00:00,58.11,sell
2010-09-22 00:00:00,58.23,sell
2010-11-01 00:00:00,61.71,sell
2010-11-19 00:00:00,64.32,sell
2012-05-15 00:00:00,76.57,sell
2012-09-04 00:00:00,37.28,buy
2012-09-05 00:00:00,37.51,buy
2012-09-06 00:00:00,38.15,buy
2012-10-22 00:00:00,37.23,buy
2012-10-23 00:00:00,36.61,buy
2012-10-24 00:00:00,36.88,buy
2012-10-25 00:00:00,37.09,buy
2012-10-26 00:00:00,37.04,buy
2012-10-31 00:00:00,37.18,buy
2012-11-01 00:00:00,37.33,buy
2012-11-06 00:00:00,37.42,buy
2013-11-26 00:00:00,40.25,sell
2016-08-15 00:00:00,44.24,buy
2016-10-18 00:00:00,41.97,buy
2017-06-12 00:00:00,45.33,sell
2018-04-03 00:00:00,43.38,buy
2019-06-19 00:00:00,51.12,sell
2019-06-21 00:00:00,51.55,sell
2019-07-18 00:00:00,52.03,sell
2020-02-19 00:00:00,59.77,sell
2020-02-20 00:00:00,59.72,sell
2020-02-24 00:00:00,58.65,sell
2022-01-20 00:00:00,60.75,sell
2022-01-21 00:00:00,60.45,sell
2023-05-01 00:00:00,64.3,sell
2023-05-02 00:00:00,64.01,sell
2023-05-03 00:00:00,63.65,sell
2023-12-11 00:00:00,59.04,sell
2023-12-12 00:00:00,59.42,sell
2024-08-26 00:00:00,70.84,sell
2024-09-10 00:00:00,71.55,sell
