time,price,signal,label
2014-11-26,40.12,sell,4.0
2014-11-28,40.41,sell,4.0
2014-12-16,42.54,sell,4.0
2014-12-18,43.52,sell,3.0
2014-12-19,43.37,sell,3.0
2014-12-22,43.66,sell,3.0
2014-12-23,44.31,sell,3.0
2015-11-16,54.5,sell,4.0
2015-11-17,55.13,sell,4.0
2015-11-18,55.74,sell,4.0
2015-12-07,58.12,sell,3.0
2016-04-14,51.14,sell,3.0
2016-09-06,41.55,buy,1.0
2016-09-07,42.16,buy,2.0
2017-10-19,61.52,sell,4.0
2018-03-22,65.98,sell,3.0
2018-08-20,71.52,sell,3.0
2018-08-21,71.99,sell,3.0
2018-08-22,71.35,sell,3.0
2019-06-19,78.63,sell,4.0
2019-06-20,79.66,sell,4.0
2019-06-21,78.92,sell,4.0
2019-07-05,82.02,sell,4.0
2019-07-17,80.77,sell,4.0
2020-01-15,102.14,sell,4.0
2020-01-16,102.29,sell,4.0
2020-01-17,103.39,sell,4.0
2020-01-23,102.63,sell,4.0
2020-01-24,101.62,sell,4.0
2020-12-14,104.13,sell,4.0
2020-12-21,103.13,sell,4.0
2021-08-20,96.31,buy,2.0
2021-08-23,96.35,buy,2.0
2022-04-01,108.3,sell,3.0
2022-04-04,107.23,sell,3.0
2022-04-06,107.48,sell,3.0
2022-04-20,109.87,sell,3.0
2022-04-22,108.25,sell,3.0
2022-12-05,109.65,sell,3.0
2022-12-06,109.49,sell,3.0
2022-12-07,108.5,sell,3.0
2023-11-29,106.22,sell,4.0
2023-11-30,107.32,sell,4.0
2023-12-01,108.94,sell,3.0
2023-12-04,111.3,sell,3.0
2024-01-12,110.19,sell,4.0
2024-02-07,113.08,sell,4.0
2024-03-11,127.25,sell,4.0
2024-05-28,147.58,sell,4.0
