time,price,signal
1989-02-16 00:00:00,21.25,sell
1989-02-17 00:00:00,21.37,sell
1989-11-03 00:00:00,21.0,buy
1990-05-09 00:00:00,17.37,buy
1990-05-10 00:00:00,17.37,buy
1990-05-11 00:00:00,17.12,buy
1990-05-14 00:00:00,17.37,buy
1990-09-07 00:00:00,14.13,buy
1990-09-10 00:00:00,14.13,buy
1990-09-11 00:00:00,14.38,buy
1990-10-03 00:00:00,13.25,buy
1990-10-04 00:00:00,13.25,buy
1990-10-05 00:00:00,13.13,buy
1990-10-08 00:00:00,13.13,buy
1990-10-10 00:00:00,12.38,buy
1991-01-07 00:00:00,15.75,sell
1991-03-04 00:00:00,20.37,sell
1991-11-14 00:00:00,30.25,sell
1992-01-28 00:00:00,46.88,sell
1992-05-07 00:00:00,22.0,buy
1992-05-08 00:00:00,21.62,buy
1992-05-11 00:00:00,21.25,buy
1992-05-15 00:00:00,19.5,buy
1994-05-09 00:00:00,21.12,buy
1994-05-10 00:00:00,21.0,buy
1994-05-11 00:00:00,20.87,buy
1994-05-12 00:00:00,20.75,buy
1994-05-24 00:00:00,19.0,buy
1994-05-25 00:00:00,18.87,buy
1994-05-26 00:00:00,19.12,buy
1994-05-27 00:00:00,19.12,buy
1994-05-31 00:00:00,18.5,buy
1994-06-01 00:00:00,18.12,buy
1994-06-02 00:00:00,18.0,buy
1994-06-03 00:00:00,18.37,buy
1994-06-06 00:00:00,19.12,buy
1994-10-12 00:00:00,15.75,buy
1995-05-25 00:00:00,19.62,sell
1997-01-07 00:00:00,27.25,sell
1997-07-01 00:00:00,32.06,sell
1997-07-16 00:00:00,34.0,sell
1997-07-17 00:00:00,33.81,sell
1997-07-18 00:00:00,34.06,sell
1997-07-21 00:00:00,35.25,sell
1997-08-08 00:00:00,36.31,sell
1997-09-15 00:00:00,38.69,sell
1997-11-21 00:00:00,20.06,buy
1997-12-18 00:00:00,19.69,buy
1997-12-22 00:00:00,20.06,buy
1998-02-24 00:00:00,27.44,sell
1998-02-25 00:00:00,27.62,sell
1998-03-11 00:00:00,29.81,sell
1998-03-13 00:00:00,29.37,sell
1998-03-16 00:00:00,30.37,sell
1998-03-17 00:00:00,30.81,sell
1998-03-20 00:00:00,31.25,sell
1998-04-15 00:00:00,35.25,sell
1998-04-20 00:00:00,35.44,sell
1998-10-19 00:00:00,18.37,buy
1998-10-20 00:00:00,20.0,buy
1998-12-22 00:00:00,24.81,sell
2002-01-08 00:00:00,23.51,sell
2002-01-09 00:00:00,24.38,sell
2007-11-16 00:00:00,19.24,buy
2007-11-19 00:00:00,17.57,buy
2007-11-20 00:00:00,15.92,buy
2007-12-05 00:00:00,16.25,buy
2011-04-18 00:00:00,18.34,buy
2012-03-27 00:00:00,27.63,sell
2014-01-09 00:00:00,38.42,sell
2014-08-14 00:00:00,37.17,buy
2014-11-06 00:00:00,43.92,sell
2014-11-07 00:00:00,44.54,sell
2016-10-14 00:00:00,41.36,buy
2017-12-08 00:00:00,62.18,sell
2020-02-24 00:00:00,69.16,sell
2020-08-18 00:00:00,77.17,sell
2020-08-21 00:00:00,79.36,sell
2022-06-29 00:00:00,69.64,buy
2023-01-23 00:00:00,97.53,sell
2023-01-24 00:00:00,99.09,sell
2023-01-25 00:00:00,99.04,sell
2023-01-26 00:00:00,100.02,sell
2023-09-06 00:00:00,116.94,buy
2023-12-01 00:00:00,131.58,sell
2023-12-27 00:00:00,149.3,sell
2023-12-28 00:00:00,149.18,sell
2024-01-12 00:00:00,151.75,sell
2025-01-10 00:00:00,129.56,buy
2025-01-13 00:00:00,131.58,buy
2025-01-14 00:00:00,135.18,buy
2025-02-21 00:00:00,120.57,buy
