time,price,signal
2013-08-21 00:00:00,29.62,sell
2013-09-26 00:00:00,31.68,sell
2013-09-27 00:00:00,31.56,sell
2015-03-18 00:00:00,24.31,buy
2015-06-01 00:00:00,28.81,sell
2015-06-02 00:00:00,28.85,sell
2015-06-03 00:00:00,29.25,sell
2015-06-04 00:00:00,29.02,sell
2015-06-08 00:00:00,29.04,sell
2015-06-25 00:00:00,30.33,sell
2015-07-08 00:00:00,30.36,sell
2015-07-30 00:00:00,31.35,sell
2016-04-26 00:00:00,33.95,sell
2016-04-27 00:00:00,34.16,sell
2016-08-30 00:00:00,36.23,sell
2016-09-01 00:00:00,35.56,sell
2017-04-19 00:00:00,28.49,buy
2018-01-23 00:00:00,43.13,sell
2018-01-24 00:00:00,42.87,sell
2018-05-16 00:00:00,30.62,buy
2019-06-07 00:00:00,26.56,buy
2019-09-30 00:00:00,31.45,sell
2019-10-01 00:00:00,30.82,sell
2019-10-29 00:00:00,31.61,sell
2019-10-30 00:00:00,31.48,sell
2019-10-31 00:00:00,33.99,sell
2019-11-20 00:00:00,35.15,sell
2020-08-21 00:00:00,30.92,sell
2020-08-25 00:00:00,31.74,sell
2023-09-21 00:00:00,49.59,buy
2023-09-22 00:00:00,49.43,buy
2023-09-25 00:00:00,49.89,buy
2023-11-10 00:00:00,44.83,buy
2024-03-07 00:00:00,51.48,sell
