time,price,signal,label
1981-11-09,28.5,buy,1.0
1981-11-10,30.0,buy,2.0
1983-02-11,31.75,buy,2.0
1983-03-23,33.0,buy,2.0
1983-03-29,31.0,buy,2.0
1983-03-30,31.75,buy,2.0
1983-06-27,40.75,sell,3.0
1985-02-14,25.25,sell,3.0
1985-09-30,23.12,buy,2.0
1986-03-27,21.5,buy,2.0
1986-05-15,19.25,buy,1.0
1987-01-05,21.5,buy,1.0
1987-05-07,19.75,buy,2.0
1989-11-14,22.12,buy,1.0
1990-09-20,14.63,buy,2.0
1990-09-24,14.0,buy,1.0
1990-10-01,14.13,buy,1.0
1990-10-05,14.25,buy,1.0
1992-08-05,21.25,buy,1.0
1993-04-08,40.38,sell,3.0
1993-08-05,34.13,buy,2.0
1994-05-24,27.0,buy,2.0
1994-12-28,16.75,buy,1.0
1995-10-19,20.5,buy,1.0
1997-11-17,35.0,sell,3.0
1997-12-18,24.81,buy,2.0
1999-08-13,17.5,buy,2.0
1999-09-09,16.19,buy,2.0
1999-09-16,15.75,buy,1.0
2000-11-17,29.5,sell,3.0
2001-10-02,15.32,buy,2.0
2001-12-04,18.84,sell,3.0
2008-12-05,8.83,buy,2.0
2009-03-17,5.82,buy,1.0
2010-01-04,11.19,sell,4.0
2010-10-14,12.99,sell,4.0
2011-08-24,8.21,buy,2.0
2013-01-04,10.88,sell,4.0
2013-01-29,11.33,sell,4.0
2013-11-12,18.03,sell,4.0
2013-11-13,18.0,sell,4.0
2013-11-14,18.18,sell,4.0
2013-11-15,18.16,sell,4.0
2013-11-18,18.14,sell,4.0
2013-11-19,18.17,sell,4.0
2013-11-20,18.01,sell,4.0
2013-11-21,18.45,sell,4.0
2013-11-22,18.56,sell,4.0
2013-11-27,18.95,sell,4.0
2013-11-29,18.59,sell,4.0
2013-12-02,18.61,sell,4.0
2014-12-01,40.5,sell,4.0
2015-06-26,34.32,buy,2.0
2015-07-02,32.51,buy,1.0
2015-07-06,33.03,buy,1.0
2015-11-11,46.72,sell,3.0
2015-11-12,46.69,sell,3.0
2016-03-30,44.98,sell,3.0
2016-03-31,44.8,sell,3.0
2016-04-27,45.57,sell,3.0
2016-12-21,50.65,sell,4.0
2016-12-22,50.25,sell,4.0
2016-12-27,50.49,sell,4.0
2017-12-29,65.45,sell,3.0
2018-01-02,66.29,sell,3.0
2018-01-03,64.91,sell,3.0
2018-08-28,61.33,sell,3.0
2019-02-15,57.7,sell,3.0
2020-04-17,31.19,buy,2.0
2020-05-01,29.23,buy,1.0
2020-05-04,27.56,buy,1.0
2020-05-05,26.42,buy,1.0
2020-05-06,24.93,buy,1.0
2020-12-07,47.89,sell,3.0
2021-04-14,63.03,sell,3.0
2021-04-15,62.94,sell,3.0
2021-12-28,42.29,buy,1.0
2022-07-01,36.73,buy,1.0
2023-10-13,25.37,buy,2.0
2024-02-07,30.74,sell,3.0
