time,price,signal
1990-08-30 00:00:00,27.75,buy
1990-09-28 00:00:00,26.0,buy
1992-01-22 00:00:00,43.13,sell
1992-12-07 00:00:00,49.13,sell
1994-07-25 00:00:00,26.62,buy
1994-07-26 00:00:00,27.0,buy
1994-07-28 00:00:00,26.75,buy
1994-07-29 00:00:00,27.12,buy
1994-08-04 00:00:00,26.12,buy
1994-08-05 00:00:00,26.37,buy
1994-08-08 00:00:00,26.62,buy
1994-09-21 00:00:00,26.62,buy
1994-09-22 00:00:00,26.75,buy
1999-04-29 00:00:00,41.88,buy
1999-05-04 00:00:00,40.81,buy
1999-05-05 00:00:00,40.63,buy
1999-05-11 00:00:00,41.81,buy
1999-06-02 00:00:00,38.25,buy
1999-06-03 00:00:00,39.5,buy
2000-03-08 00:00:00,30.75,buy
2000-07-24 00:00:00,30.25,buy
2002-10-07 00:00:00,17.45,buy
2003-02-19 00:00:00,13.5,buy
2003-02-21 00:00:00,13.58,buy
2003-02-25 00:00:00,13.15,buy
2003-02-26 00:00:00,12.81,buy
2003-02-27 00:00:00,13.25,buy
2003-04-28 00:00:00,16.93,sell
2003-06-26 00:00:00,22.45,sell
2004-12-29 00:00:00,32.53,sell
2007-04-10 00:00:00,46.31,sell
2007-04-11 00:00:00,46.44,sell
2007-04-12 00:00:00,46.63,sell
2007-04-13 00:00:00,47.64,sell
2007-04-16 00:00:00,48.1,sell
2007-04-17 00:00:00,49.01,sell
2007-04-18 00:00:00,48.88,sell
2007-04-19 00:00:00,48.78,sell
2007-04-20 00:00:00,48.36,sell
2007-04-23 00:00:00,48.64,sell
2007-04-24 00:00:00,48.47,sell
2007-04-25 00:00:00,48.63,sell
2007-04-26 00:00:00,49.23,sell
2007-04-27 00:00:00,48.95,sell
2007-04-30 00:00:00,48.28,sell
2007-05-02 00:00:00,50.02,sell
2007-05-03 00:00:00,49.91,sell
2007-05-16 00:00:00,51.97,sell
2007-05-17 00:00:00,52.26,sell
2007-05-18 00:00:00,52.33,sell
2007-05-21 00:00:00,52.27,sell
2007-05-22 00:00:00,52.5,sell
2007-05-23 00:00:00,51.57,sell
2010-11-03 00:00:00,78.5,sell
2011-07-18 00:00:00,85.4,sell
2011-07-19 00:00:00,86.21,sell
2011-07-22 00:00:00,88.56,sell
2012-05-25 00:00:00,91.05,buy
2012-05-29 00:00:00,90.9,buy
2013-03-25 00:00:00,98.24,sell
2014-08-15 00:00:00,93.79,buy
2014-08-18 00:00:00,94.25,buy
2015-11-10 00:00:00,113.22,sell
2015-11-11 00:00:00,113.85,sell
2015-11-12 00:00:00,112.11,sell
2015-12-07 00:00:00,116.42,sell
2015-12-08 00:00:00,116.53,sell
2015-12-09 00:00:00,116.58,sell
2015-12-17 00:00:00,117.5,sell
2015-12-23 00:00:00,118.8,sell
2015-12-24 00:00:00,118.57,sell
2016-04-15 00:00:00,127.78,sell
2016-04-18 00:00:00,128.85,sell
2016-04-19 00:00:00,128.86,sell
2016-04-20 00:00:00,128.55,sell
2016-04-21 00:00:00,125.79,sell
2016-09-01 00:00:00,115.4,buy
2016-09-02 00:00:00,115.83,buy
2016-12-28 00:00:00,122.68,sell
2016-12-29 00:00:00,122.79,sell
2017-03-27 00:00:00,129.49,sell
2017-03-28 00:00:00,129.45,sell
2017-03-29 00:00:00,128.84,sell
2017-04-03 00:00:00,129.61,sell
2017-04-04 00:00:00,129.29,sell
2017-04-06 00:00:00,130.15,sell
2017-05-24 00:00:00,149.5,sell
2017-05-25 00:00:00,149.78,sell
2017-05-26 00:00:00,149.86,sell
2017-05-30 00:00:00,149.93,sell
2017-05-31 00:00:00,150.89,sell
2017-06-01 00:00:00,152.39,sell
2017-06-02 00:00:00,153.74,sell
2017-06-08 00:00:00,151.43,sell
2017-07-03 00:00:00,152.5,sell
2017-10-30 00:00:00,166.23,sell
2018-01-18 00:00:00,174.57,sell
2019-04-15 00:00:00,191.85,sell
2019-05-22 00:00:00,199.96,sell
2020-09-02 00:00:00,216.23,sell
2020-09-03 00:00:00,213.8,sell
2021-04-21 00:00:00,232.26,sell
2021-04-22 00:00:00,232.96,sell
2023-04-27 00:00:00,294.72,sell
2023-04-28 00:00:00,295.75,sell
2023-09-01 00:00:00,280.94,buy
2023-09-05 00:00:00,279.16,buy
2024-09-04 00:00:00,288.03,sell
2024-09-05 00:00:00,287.97,sell
2024-09-06 00:00:00,289.51,sell
2024-09-24 00:00:00,300.27,sell
2024-09-25 00:00:00,300.47,sell
2024-10-09 00:00:00,303.83,sell
2024-10-10 00:00:00,304.04,sell
2024-10-11 00:00:00,305.04,sell
2024-10-15 00:00:00,313.34,sell
