time,price,signal,label
1987-10-09,71.75,buy,2.0
1987-12-04,42.0,buy,1.0
1987-12-07,43.25,buy,1.0
1991-01-07,74.87,sell,4.0
1991-07-18,67.0,buy,1.0
1991-10-14,92.25,sell,4.0
1991-10-23,90.25,sell,4.0
1991-12-17,101.87,sell,4.0
1991-12-18,102.87,sell,4.0
1991-12-19,102.75,sell,4.0
1991-12-20,103.25,sell,4.0
1992-08-18,69.5,buy,1.0
1992-08-19,69.25,buy,1.0
1992-08-20,70.37,buy,1.0
1992-08-24,69.0,buy,1.0
1992-08-25,70.37,buy,1.0
1994-06-27,51.88,buy,2.0
1994-07-07,50.38,buy,2.0
1999-01-06,151.25,sell,4.0
1999-05-17,79.12,buy,2.0
2000-05-22,64.19,buy,1.0
2000-05-24,65.56,buy,1.0
2000-05-26,61.44,buy,1.0
2000-05-30,63.38,buy,1.0
2000-08-30,70.0,buy,2.0
2001-01-18,27.81,buy,1.0
2001-01-19,30.5,buy,2.0
2001-01-22,30.06,buy,2.0
2001-02-23,28.22,buy,2.0
2003-03-11,22.79,buy,1.0
2007-08-29,28.59,buy,2.0
2008-02-25,27.84,buy,2.0
2008-02-26,28.38,buy,2.0
2008-12-30,19.34,buy,2.0
2009-11-27,29.22,sell,4.0
2010-07-09,24.27,buy,2.0
2010-07-12,24.83,buy,2.0
2012-02-29,31.74,sell,4.0
2012-12-03,26.42,buy,1.0
2013-05-14,33.53,sell,4.0
2013-05-17,34.87,sell,3.0
2013-05-30,35.03,sell,3.0
2013-05-31,34.9,sell,3.0
2013-06-03,35.59,sell,3.0
2013-06-04,34.99,sell,3.0
2014-09-03,44.96,sell,4.0
2015-02-12,43.09,buy,2.0
2015-05-12,47.35,sell,3.0
2015-05-13,47.62,sell,3.0
2015-11-12,53.32,sell,4.0
2015-12-09,54.98,sell,3.0
2021-08-09,288.33,sell,4.0
2021-08-17,293.08,sell,3.0
2021-08-20,304.36,sell,3.0
2021-11-16,339.51,sell,3.0
2021-11-17,339.12,sell,3.0
2021-11-18,341.27,sell,3.0
2021-11-22,339.83,sell,3.0
2023-05-17,314.0,sell,4.0
2023-06-15,348.1,sell,3.0
