time,price,signal
2016-06-16 00:00:00,41.98,sell
2016-06-21 00:00:00,42.6,sell
2016-06-22 00:00:00,41.75,sell
2016-09-09 00:00:00,49.5,sell
2017-04-13 00:00:00,57.74,sell
2017-04-17 00:00:00,58.33,sell
2017-04-18 00:00:00,59.04,sell
2017-04-19 00:00:00,59.44,sell
2018-03-21 00:00:00,113.01,sell
2018-09-06 00:00:00,152.04,sell
2018-09-07 00:00:00,155.9,sell
2018-09-10 00:00:00,156.98,sell
2018-09-11 00:00:00,159.0,sell
2018-09-12 00:00:00,158.86,sell
2018-09-13 00:00:00,162.09,sell
2018-09-14 00:00:00,163.32,sell
2018-09-17 00:00:00,157.4,sell
2019-02-27 00:00:00,182.72,sell
2019-07-19 00:00:00,232.81,sell
2019-12-10 00:00:00,265.5,sell
2019-12-11 00:00:00,262.07,sell
2020-01-06 00:00:00,278.09,sell
2020-10-27 00:00:00,382.7,sell
2020-10-28 00:00:00,371.55,sell
2021-08-20 00:00:00,469.42,sell
2021-08-23 00:00:00,476.82,sell
2021-08-24 00:00:00,485.58,sell
2021-09-03 00:00:00,496.26,sell
2021-10-04 00:00:00,494.6,sell
2023-07-27 00:00:00,361.09,sell
2023-07-28 00:00:00,368.46,sell
2023-10-04 00:00:00,261.17,buy
2023-10-05 00:00:00,262.6,buy
2023-10-06 00:00:00,270.28,buy
2023-11-17 00:00:00,177.5,buy
2023-11-20 00:00:00,182.44,buy
2023-11-21 00:00:00,178.12,buy
2024-06-20 00:00:00,145.68,buy
2024-11-20 00:00:00,219.78,sell
2024-12-09 00:00:00,234.94,sell
2024-12-10 00:00:00,235.66,sell
2024-12-11 00:00:00,240.25,sell
2024-12-12 00:00:00,240.0,sell
2024-12-13 00:00:00,234.5,sell
