time,price,signal,label
1999-08-19,18.69,buy,2.0
1999-08-20,18.382,buy,2.0
1999-08-23,18.06,buy,2.0
1999-09-16,11.002,buy,2.0
1999-09-17,10.808,buy,2.0
1999-09-20,11.002,buy,2.0
2000-10-12,12.502,buy,1.0
2000-10-25,12.128,buy,1.0
2000-10-26,11.378,buy,1.0
2000-10-27,11.498,buy,1.0
2000-10-30,11.88,buy,1.0
2002-01-04,19.448,sell,3.0
2002-02-20,17.452,buy,2.0
2003-06-18,24.098,sell,4.0
2005-06-16,36.532,sell,3.0
2006-04-18,43.912,sell,3.0
2007-04-09,27.49,buy,2.0
2007-11-09,32.77,sell,3.0
2008-01-17,29.46,buy,2.0
2009-03-19,17.55,buy,1.0
2009-07-31,26.6,sell,3.0
2009-08-03,25.34,sell,4.0
2012-03-12,30.56,sell,4.0
2012-03-27,30.61,sell,3.0
2012-03-28,30.49,sell,3.0
2012-08-15,28.73,sell,3.0
2012-08-16,28.9,sell,3.0
2013-02-07,31.84,sell,4.0
2013-02-08,31.12,sell,4.0
2014-01-23,32.23,buy,2.0
2014-01-24,31.74,buy,1.0
2014-07-08,37.75,sell,4.0
2014-09-02,39.17,sell,3.0
2016-07-20,52.36,sell,3.0
2016-07-21,52.04,sell,3.0
2016-12-08,56.44,sell,4.0
2016-12-09,56.52,sell,4.0
2016-12-12,56.92,sell,4.0
2016-12-21,57.29,sell,4.0
2016-12-22,57.32,sell,4.0
2016-12-27,57.41,sell,4.0
2016-12-28,57.32,sell,4.0
2017-03-15,63.69,sell,3.0
2017-03-17,63.37,sell,3.0
2017-03-20,63.22,sell,3.0
2017-09-27,66.59,sell,3.0
2017-09-28,66.35,sell,3.0
2019-03-08,77.9,sell,4.0
2019-07-18,88.04,sell,4.0
2020-02-25,97.05,sell,3.0
2020-08-25,91.5,sell,4.0
2020-08-26,92.04,sell,4.0
2021-05-04,108.7,sell,4.0
2021-05-17,110.03,sell,3.0
2021-09-09,123.99,sell,4.0
2022-08-24,146.68,sell,3.0
2022-08-25,147.56,sell,3.0
2022-08-26,144.68,sell,3.0
2023-05-18,144.71,sell,4.0
2023-11-30,161.84,sell,4.0
2023-12-01,163.92,sell,4.0
2023-12-07,161.59,sell,4.0
2023-12-13,167.11,sell,4.0
2024-01-16,165.64,sell,4.0
2024-03-06,183.8,sell,4.0
2024-03-21,189.12,sell,3.0
2024-03-22,190.51,sell,3.0
2024-03-27,191.52,sell,3.0
2024-04-02,188.92,sell,3.0
2024-12-09,212.34,sell,3.0
