time,price,signal,label
2002-01-04,29.0,sell,3.0
2003-02-13,18.25,buy,1.0
2003-05-19,25.0,sell,4.0
2003-06-12,30.52,sell,4.0
2004-01-26,37.36,sell,3.0
2004-08-18,21.28,buy,2.0
2004-08-19,14.65,buy,1.0
2004-09-01,15.8,buy,2.0
2004-09-02,16.1,buy,2.0
2004-09-07,16.1,buy,1.0
2004-09-08,16.19,buy,2.0
2004-09-09,16.46,buy,2.0
2004-10-01,16.56,buy,2.0
2009-10-02,21.9,sell,4.0
2009-10-05,22.14,sell,4.0
2009-10-06,22.39,sell,4.0
2009-10-22,23.38,sell,3.0
2009-10-23,23.28,sell,3.0
2009-10-26,23.05,sell,3.0
2010-10-01,24.9,sell,4.0
2010-10-27,25.37,sell,4.0
2010-11-09,25.56,sell,4.0
2010-12-29,27.07,sell,4.0
2010-12-30,27.06,sell,4.0
2010-12-31,26.91,sell,4.0
2012-02-21,30.39,sell,4.0
2012-02-22,30.51,sell,3.0
2012-02-23,30.51,sell,3.0
2012-02-24,30.69,sell,3.0
2012-02-27,30.62,sell,3.0
2012-02-28,30.82,sell,3.0
2012-02-29,30.47,sell,3.0
2016-06-24,52.08,sell,4.0
2016-07-19,54.58,sell,4.0
2016-07-20,54.88,sell,4.0
2016-07-21,54.45,sell,4.0
2017-03-07,71.08,sell,4.0
2017-03-08,71.35,sell,4.0
2017-03-09,71.39,sell,4.0
2017-11-09,86.9,sell,4.0
2017-11-10,87.28,sell,4.0
2017-11-13,87.82,sell,4.0
2017-11-14,87.76,sell,3.0
2017-11-21,89.38,sell,3.0
2018-05-24,88.56,sell,4.0
2018-09-13,102.81,sell,3.0
2019-04-09,116.69,sell,4.0
2019-04-10,117.28,sell,4.0
2019-04-12,118.19,sell,4.0
2019-04-15,117.57,sell,4.0
2019-04-16,116.73,sell,4.0
2019-04-26,120.12,sell,4.0
2019-04-29,119.86,sell,4.0
2019-05-01,120.09,sell,4.0
2019-07-19,134.99,sell,3.0
2019-07-22,135.42,sell,3.0
2020-07-02,197.58,sell,4.0
2020-07-06,199.39,sell,3.0
2021-07-13,278.09,sell,4.0
2021-08-17,291.62,sell,4.0
2021-09-13,331.59,sell,3.0
2023-06-14,446.05,sell,4.0
2023-06-15,446.37,sell,4.0
2023-12-04,531.2,sell,3.0
