time,price,signal,label
2010-10-22,65.3,sell,4.0
2010-11-10,66.0,sell,4.0
2010-12-28,71.64,sell,4.0
2010-12-29,71.63,sell,4.0
2010-12-30,71.59,sell,4.0
2011-01-03,73.75,sell,4.0
2011-01-04,74.36,sell,4.0
2011-01-24,76.8,sell,4.0
2011-02-18,81.5,sell,3.0
2011-02-22,80.7,sell,3.0
2012-02-27,117.52,sell,3.0
2012-02-28,116.87,sell,4.0
2013-03-27,150.96,sell,3.0
2013-03-28,152.92,sell,3.0
2013-07-31,144.59,buy,2.0
2013-08-26,139.9,buy,2.0
2013-08-27,137.67,buy,2.0
2013-08-28,137.48,buy,2.0
2014-01-09,164.79,sell,4.0
2014-02-28,178.14,sell,3.0
2014-03-03,178.98,sell,3.0
2014-03-04,182.58,sell,3.0
2014-04-01,186.67,sell,3.0
2014-09-10,188.17,sell,3.0
2014-09-11,188.51,sell,3.0
2014-09-12,189.42,sell,3.0
2014-09-15,189.99,sell,3.0
2015-01-08,202.9,sell,4.0
2016-08-08,279.04,sell,4.0
2018-05-01,314.35,sell,4.0
2018-05-22,327.76,sell,4.0
2019-02-26,431.85,sell,4.0
2019-03-20,445.62,sell,4.0
2020-08-24,488.5,sell,3.0
2020-08-25,486.05,sell,4.0
2020-09-17,519.01,sell,3.0
2023-07-14,888.75,sell,3.0
2023-07-17,886.25,sell,3.0
2024-02-14,1147.13,sell,4.0
2024-02-15,1157.79,sell,4.0
2024-05-21,1336.84,sell,3.0
