time,price,signal,label
2010-11-03,32.12,sell,4.0
2010-11-04,32.7,sell,4.0
2010-12-30,35.26,sell,4.0
2010-12-31,35.4,sell,4.0
2011-01-03,36.24,sell,3.0
2011-01-04,35.5,sell,4.0
2011-02-18,37.72,sell,3.0
2012-02-21,36.05,sell,4.0
2012-02-22,35.66,sell,4.0
2012-03-27,36.87,sell,3.0
2013-02-01,39.37,sell,4.0
2013-02-04,39.15,sell,4.0
2013-02-05,39.69,sell,4.0
2013-02-06,40.07,sell,4.0
2013-03-21,41.56,sell,4.0
2013-08-09,50.64,sell,4.0
2013-08-12,50.7,sell,4.0
2013-08-13,50.75,sell,4.0
2013-09-25,52.43,sell,3.0
2013-09-26,52.16,sell,4.0
2014-07-17,63.06,sell,3.0
2014-07-18,64.26,sell,3.0
2014-07-21,64.3,sell,3.0
2014-07-22,64.97,sell,3.0
2014-12-10,63.25,sell,4.0
2015-03-05,72.52,sell,3.0
2015-03-06,72.07,sell,3.0
2015-07-23,61.14,buy,2.0
2015-07-24,60.29,buy,2.0
2015-08-04,61.02,buy,2.0
2015-08-05,62.59,buy,2.0
2016-12-22,70.6,sell,4.0
2017-10-27,89.42,sell,4.0
2017-10-30,89.5,sell,4.0
2017-10-31,90.97,sell,4.0
2017-11-16,95.15,sell,4.0
2017-11-17,95.04,sell,4.0
2017-12-28,95.24,sell,4.0
2018-05-11,94.58,buy,2.0
2018-05-14,95.05,buy,2.0
2020-08-20,92.39,sell,4.0
2020-10-23,106.3,sell,4.0
2020-12-14,117.17,sell,4.0
2023-07-17,142.77,sell,3.0
2023-07-18,142.57,sell,3.0
2023-07-19,143.09,sell,3.0
2023-07-20,141.95,sell,3.0
2023-12-05,129.69,sell,4.0
2023-12-29,140.5,sell,4.0
