time,price,signal,label
2002-06-28,8.87,sell,3.0
2002-07-01,8.45,sell,3.0
2003-05-14,11.29,sell,4.0
2003-05-15,11.09,sell,4.0
2003-08-08,13.36,sell,4.0
2003-09-16,18.05,sell,4.0
2003-09-17,17.76,sell,4.0
2009-10-07,50.8,sell,3.0
2009-10-08,53.01,sell,3.0
2009-10-09,53.33,sell,3.0
2009-10-12,53.71,sell,3.0
2009-10-13,53.19,sell,3.0
2009-10-14,52.2,sell,3.0
2009-10-15,52.45,sell,3.0
2009-10-16,52.37,sell,3.0
2009-10-19,52.85,sell,3.0
2009-10-20,52.67,sell,3.0
2010-01-06,52.51,sell,4.0
2010-01-08,53.29,sell,4.0
2010-01-11,52.91,sell,4.0
2010-04-29,69.64,sell,3.0
2010-09-24,38.59,buy,2.0
2010-12-28,48.27,sell,4.0
2010-12-29,48.38,sell,4.0
2010-12-30,48.93,sell,4.0
2010-12-31,48.49,sell,4.0
2011-03-22,54.79,sell,4.0
2012-03-27,91.03,sell,4.0
2012-05-01,98.38,sell,3.0
2012-07-11,79.98,buy,1.0
2012-09-04,99.38,sell,3.0
2013-02-20,101.56,sell,4.0
2013-05-22,111.23,sell,4.0
2013-09-26,132.33,sell,3.0
2013-09-27,66.4,sell,4.0
2014-11-25,76.1,sell,4.0
2014-12-03,78.62,sell,4.0
2014-12-04,78.18,sell,3.0
2014-12-05,78.57,sell,3.0
2014-12-08,78.53,sell,3.0
2014-12-09,78.27,sell,4.0
2014-12-10,77.13,sell,4.0
2016-03-29,89.95,sell,4.0
2016-03-30,90.7,sell,4.0
2016-05-11,92.45,sell,3.0
2016-08-24,84.33,buy,2.0
2016-09-27,68.99,buy,2.0
2016-09-28,68.75,buy,2.0
2016-10-04,66.95,buy,2.0
2016-10-18,65.27,buy,1.0
2016-10-19,67.37,buy,2.0
2016-10-27,62.07,buy,1.0
2017-06-05,55.9,buy,2.0
2017-06-30,54.21,buy,2.0
2017-07-03,54.96,buy,2.0
2018-01-24,80.68,sell,3.0
2018-03-08,64.41,buy,2.0
2018-03-09,65.34,buy,2.0
2018-06-11,75.92,sell,4.0
2018-07-27,76.25,sell,4.0
2019-02-27,95.36,sell,4.0
2019-03-01,94.96,sell,4.0
2019-04-24,104.06,sell,4.0
2019-04-25,105.06,sell,4.0
2020-05-20,107.79,sell,4.0
2020-05-26,111.21,sell,4.0
2020-06-11,119.21,sell,4.0
2020-06-12,118.45,sell,4.0
2020-06-16,123.84,sell,4.0
2020-07-02,132.45,sell,4.0
2020-07-06,133.76,sell,4.0
2020-07-07,134.23,sell,4.0
2020-07-08,135.61,sell,4.0
2020-07-09,137.7,sell,4.0
2020-08-18,153.02,sell,3.0
2021-01-27,153.72,sell,4.0
2024-03-11,248.89,sell,4.0
2024-03-18,255.72,sell,4.0
2024-05-30,280.8,sell,3.0
2024-05-31,285.29,sell,3.0
2024-06-03,267.56,sell,4.0
