time,price,signal,label
1999-06-21,70.12,buy,1.0
2001-03-23,33.38,buy,1.0
2001-03-26,35.25,buy,1.0
2001-03-27,37.62,buy,1.0
2001-03-29,32.25,buy,1.0
2002-06-21,7.8,buy,2.0
2002-06-24,8.35,buy,2.0
2002-06-25,7.65,buy,2.0
2002-06-26,7.4,buy,2.0
2002-06-27,7.38,buy,2.0
2002-06-28,7.19,buy,2.0
2002-07-01,6.92,buy,2.0
2004-11-29,32.89,sell,3.0
2004-11-30,32.9,sell,3.0
2004-12-01,34.52,sell,3.0
2004-12-15,35.96,sell,3.0
2004-12-16,34.0,sell,3.0
2011-06-29,33.57,buy,2.0
2013-02-22,45.8,sell,3.0
2014-01-07,61.14,sell,3.0
2014-04-22,50.84,buy,2.0
2014-05-08,47.7,buy,1.0
2014-05-09,47.93,buy,1.0
2014-09-03,56.73,sell,3.0
2015-08-17,71.17,sell,3.0
2015-11-11,82.53,sell,4.0
2015-11-12,82.25,sell,4.0
2017-02-22,82.19,sell,4.0
2017-04-18,88.42,sell,4.0
2017-05-02,90.84,sell,4.0
2017-10-16,108.46,sell,4.0
2017-10-17,108.55,sell,4.0
2017-10-18,109.26,sell,4.0
2017-10-19,108.19,sell,4.0
2018-08-21,152.46,sell,4.0
2018-09-10,161.56,sell,3.0
2019-04-17,186.3,sell,4.0
2019-07-18,214.8,sell,3.0
2022-05-25,170.98,buy,2.0
2022-09-30,173.7,buy,1.0
2022-10-03,179.3,buy,1.0
2023-09-28,202.59,buy,1.0
2024-05-15,169.25,buy,1.0
2024-05-16,170.96,buy,2.0
