time,price,signal
2002-03-19 00:00:00,14.98,sell
2003-03-11 00:00:00,10.55,buy
2009-10-05 00:00:00,37.45,sell
2009-10-06 00:00:00,37.78,sell
2009-10-22 00:00:00,40.96,sell
2009-10-23 00:00:00,40.92,sell
2009-10-26 00:00:00,41.52,sell
2009-10-27 00:00:00,40.27,sell
2011-04-14 00:00:00,67.94,sell
2011-04-15 00:00:00,68.15,sell
2011-05-03 00:00:00,71.01,sell
2011-05-04 00:00:00,68.6,sell
2013-05-28 00:00:00,110.9,sell
2013-05-29 00:00:00,109.87,sell
2013-06-04 00:00:00,109.36,sell
2013-10-30 00:00:00,65.17,sell
2013-11-05 00:00:00,66.09,sell
2014-01-07 00:00:00,73.15,sell
2014-07-03 00:00:00,83.86,sell
2014-07-07 00:00:00,82.86,sell
2014-11-24 00:00:00,91.24,sell
2014-11-25 00:00:00,90.92,sell
2014-11-26 00:00:00,90.49,sell
2014-11-28 00:00:00,88.49,sell
2016-01-25 00:00:00,62.58,buy
2016-01-26 00:00:00,63.2,buy
2017-03-29 00:00:00,76.82,buy
2017-08-18 00:00:00,70.86,buy
2017-08-21 00:00:00,70.25,buy
2017-08-22 00:00:00,70.75,buy
2017-08-25 00:00:00,70.2,buy
2017-08-28 00:00:00,70.46,buy
2017-08-29 00:00:00,70.68,buy
2018-06-19 00:00:00,102.03,sell
2018-06-21 00:00:00,100.43,sell
2018-11-13 00:00:00,83.12,buy
2019-01-03 00:00:00,69.48,buy
2019-01-04 00:00:00,71.25,buy
2021-01-25 00:00:00,79.13,sell
2022-11-25 00:00:00,100.88,sell
2023-07-25 00:00:00,113.59,sell
2023-07-26 00:00:00,113.04,sell
2023-07-27 00:00:00,117.42,sell
2023-07-28 00:00:00,118.58,sell
2023-11-30 00:00:00,116.56,sell
2023-12-01 00:00:00,120.12,sell
2024-01-03 00:00:00,124.68,sell
2024-01-04 00:00:00,123.99,sell
2024-01-25 00:00:00,129.82,sell
2024-01-26 00:00:00,129.98,sell
2024-01-29 00:00:00,131.2,sell
2024-03-12 00:00:00,143.08,sell
2024-03-13 00:00:00,142.31,sell
2024-05-21 00:00:00,170.05,sell
2024-05-22 00:00:00,169.6,sell
2024-10-08 00:00:00,181.99,sell
2024-10-09 00:00:00,184.22,sell
2024-10-10 00:00:00,184.01,sell
2024-10-11 00:00:00,187.95,sell
2024-10-14 00:00:00,188.37,sell
2024-10-23 00:00:00,187.34,sell
2024-10-29 00:00:00,190.09,sell
2024-12-12 00:00:00,201.97,sell
