time,price,signal,label
1992-10-08,10.99,buy,1.0
1993-06-07,12.24,buy,1.0
1993-11-23,10.12,buy,1.0
1995-01-12,10.86,buy,1.0
1995-05-09,15.86,sell,3.0
1995-08-16,19.73,sell,3.0
1995-08-18,21.6,sell,3.0
1997-09-08,42.96,sell,3.0
1999-09-17,19.99,buy,2.0
1999-09-20,19.74,buy,2.0
1999-09-21,20.61,buy,2.0
1999-09-28,18.94,buy,2.0
1999-09-29,18.38,buy,2.0
1999-09-30,19.25,buy,2.0
1999-10-12,19.25,buy,2.0
2002-02-22,25.22,buy,1.0
2002-06-25,27.36,sell,3.0
2003-03-11,19.86,buy,1.0
2003-03-12,19.98,buy,1.0
2003-03-13,21.01,buy,2.0
2012-02-15,35.02,sell,3.0
2012-06-01,32.16,buy,1.0
2012-06-04,32.15,buy,1.0
2012-06-14,32.36,buy,1.0
2012-06-15,32.5,buy,2.0
2013-05-28,42.45,sell,3.0
2014-03-07,41.38,buy,2.0
2014-03-10,41.35,buy,2.0
2015-06-22,47.7,buy,2.0
2015-06-23,47.34,buy,2.0
2016-03-24,59.11,sell,4.0
2016-03-28,59.38,sell,4.0
2016-03-29,59.71,sell,4.0
2016-03-30,59.63,sell,4.0
2016-03-31,59.0,sell,4.0
2016-06-21,62.73,sell,4.0
2016-06-22,63.06,sell,4.0
2016-06-23,63.45,sell,4.0
2016-06-24,63.7,sell,4.0
2016-07-21,67.18,sell,3.0
2016-12-05,69.0,sell,4.0
2016-12-27,70.96,sell,3.0
2017-12-28,86.29,sell,4.0
2018-09-19,91.21,sell,3.0
2019-03-26,103.49,sell,4.0
2019-07-18,117.97,sell,3.0
2021-04-26,133.93,sell,4.0
2021-05-17,141.51,sell,3.0
2022-02-22,141.53,buy,1.0
2022-02-23,140.6,buy,1.0
2022-02-24,141.91,buy,1.0
2022-08-26,171.51,sell,3.0
2023-03-13,151.24,buy,1.0
2023-09-07,156.9,buy,2.0
2024-03-05,206.87,sell,4.0
2024-04-02,211.11,sell,3.0
