time,price,signal,label
1999-06-23,48.44,buy,1.0
2001-01-23,8.69,buy,1.0
2002-10-29,11.8,buy,2.0
2002-10-30,11.55,buy,2.0
2002-11-13,10.88,buy,1.0
2007-10-09,38.11,sell,3.0
2007-11-05,38.51,sell,3.0
2008-07-11,35.68,buy,2.0
2010-02-25,33.7,buy,1.0
2010-04-30,42.42,sell,3.0
2012-03-12,66.93,sell,4.0
2012-12-20,66.49,buy,2.0
2016-04-15,81.84,sell,4.0
2017-01-04,63.44,buy,1.0
2017-12-15,82.3,sell,4.0
2017-12-18,83.11,sell,3.0
2018-09-20,88.96,sell,4.0
2019-04-16,101.63,sell,3.0
2019-07-29,114.1,sell,4.0
2019-11-21,97.9,buy,1.0
2021-08-19,133.96,sell,3.0
2022-12-09,127.71,sell,4.0
2023-09-05,128.68,buy,2.0
2023-09-06,126.88,buy,2.0
