time,price,signal
1999-12-27,4.49797656,buy
2000-02-18,7.83268332,sell
2000-02-23,6.3887516,buy
2000-03-09,7.6997382,sell
2000-06-12,5.72476188,buy
2001-01-05,8.02569852,sell
2001-02-22,6.30787596,buy
2001-03-16,7.3677252,sell
2002-01-22,2.05656624,buy
2002-04-10,3.91794911,sell
2005-07-20,0.70932493,buy
2008-01-18,8.74992766,sell
2008-02-01,6.13161416,buy
2008-03-11,7.21702412,sell
2008-04-03,3.94175196,buy
2008-05-14,6.90758707,sell
2008-06-16,3.88462512,buy
2008-07-14,5.22710586,sell
2008-11-04,1.59003038,buy
2009-07-21,5.21282415,sell
2009-08-19,3.85130113,buy
2009-11-23,6.51722033,sell
2009-12-22,5.03192249,buy
2010-04-12,7.59786972,sell
2010-07-05,4.284513,buy
2010-11-10,6.46009349,sell
2011-01-21,5.06048591,buy
2011-04-22,7.08372816,sell
2011-05-30,5.24614814,buy
2011-07-27,7.65023599,sell
2011-10-21,4.55586549,buy
2011-11-17,6.30775525,sell
2012-01-16,3.613952,buy
2012-02-28,5.0595328,sell
2012-03-28,3.9658368,buy
2012-05-10,5.9820416,sell
2013-07-09,2.8340992,buy
2013-09-02,3.93232059,sell
2014-01-10,2.83203624,buy
2014-10-16,12.10312785,sell
2014-10-24,10.35224058,buy
2014-11-07,12.04572171,sell
2014-11-14,10.22786061,buy
2014-12-08,11.25160344,sell
2014-12-23,8.64919176,buy
2015-04-07,17.29838352,sell
2015-04-09,16.20766686,buy
2015-04-21,18.32212635,sell
2015-04-28,17.07832665,buy
2015-05-27,38.85438909,sell
2015-06-03,34.46281938,buy
2015-06-12,37.46707404,sell
2015-06-29,22.58931609,buy
2015-06-30,24.29236491,sell
2015-07-08,13.38519831,buy
2015-07-14,19.3267338,sell
2015-07-16,17.28881583,buy
2015-07-23,26.67471972,sell
2015-07-28,22.37882691,buy
2015-07-30,25.3543785,sell
2015-08-06,20.45572122,buy
2015-08-17,24.9716709,sell
2015-08-26,13.2990891,buy
2015-08-28,15.08824713,sell
2015-09-02,11.35684803,buy
2015-10-20,18.28385559,sell
2015-10-21,16.4564268,buy
2015-10-29,18.69526626,sell
2015-11-03,16.51383294,buy
2015-11-26,22.23531156,sell
2015-12-08,18.36039711,buy
2015-12-17,20.17825821,sell
2016-01-13,12.66762156,buy
2016-01-19,14.43764421,sell
2016-01-28,11.97874788,buy
2016-02-24,14.6385657,sell
2016-02-29,11.53863414,buy
2016-04-15,14.34196731,sell
2016-05-09,12.16053399,buy
2016-05-19,13.40433369,sell
2016-05-30,11.68214949,buy
2016-07-14,14.70553953,sell
