time,price,signal,label
2018-10-18,6.76031258,buy,1.0
2018-11-05,7.84259,sell,3.0
2019-01-30,6.61914596,buy,1.0
2019-03-07,10.05420038,sell,3.0
2020-04-28,6.1360424,buy,1.0
2020-08-17,8.38010173,sell,3.0
2020-11-13,7.3671224,buy,1.0
2020-12-03,8.77357304,sell,3.0
2020-12-22,7.52618527,buy,1.0
2021-03-16,9.43493971,sell,3.0
2021-08-04,6.7384736,buy,1.0
2021-10-21,7.7805056,sell,3.0
2022-10-28,5.67731801,buy,1.0
2023-08-29,8.0064096,sell,3.0
2023-12-26,6.25262464,buy,1.0
2024-05-27,8.2923528,sell,3.0
