time,price,signal,label
2022-05-09,181.23477423,buy,1.0
2022-05-17,226.71579823,sell,3.0
2022-06-01,211.4156975,buy,1.0
2022-06-06,239.59261315,sell,3.0
2022-06-21,234.41914667,buy,1.0
2022-06-23,268.60808518,sell,3.0
2022-07-12,270.7753984,buy,1.0
2022-07-19,321.8395648,sell,3.0
2022-08-12,282.740224,buy,2.0
2022-08-16,294.74778112,sell,4.0
2022-08-24,252.46494208,buy,2.0
2022-08-25,257.78501632,sell,4.0
2022-09-05,219.0702592,buy,1.0
2022-09-08,250.06485504,sell,3.0
2022-09-15,229.325824,buy,2.0
2022-09-16,232.40249344,sell,4.0
2022-10-17,219.3195264,buy,2.0
2022-10-18,222.26087936,sell,4.0
2022-10-25,205.823488,buy,1.0
2022-11-03,256.8520448,sell,3.0
2022-11-10,233.064832,buy,1.0
2022-11-17,265.647616,sell,3.0
2022-12-23,213.6576,buy,1.0
2022-12-27,232.1389824,sell,3.0
2023-01-13,230.13060096,buy,1.0
2023-01-20,257.5642368,sell,3.0
2023-02-13,225.85032704,buy,2.0
2023-02-15,233.37107456,sell,4.0
2023-02-22,216.21436928,buy,2.0
2023-03-03,212.89555456,sell,4.0
2023-03-16,216.12178432,buy,2.0
2023-03-20,222.203904,sell,4.0
2023-03-28,194.65631744,buy,1.0
2023-04-06,220.423424,sell,3.0
2023-04-27,197.90391296,buy,2.0
2023-05-04,205.11841792,sell,4.0
2023-05-09,192.29184,buy,2.0
2023-05-17,201.19424,sell,4.0
2023-05-25,190.21936128,buy,2.0
2023-05-29,194.39992832,sell,4.0
2023-06-08,163.66,buy,1.0
2023-06-16,189.7,sell,3.0
2023-06-30,158.37,buy,1.0
2023-07-04,172.29,sell,3.0
2023-07-07,166.0,buy,2.0
2023-07-18,165.33,sell,4.0
2023-08-16,131.36,buy,2.0
2023-08-18,135.15,sell,4.0
2023-08-25,119.66,buy,1.0
2023-09-06,129.0,sell,3.0
2023-09-07,125.0,buy,2.0
2023-09-15,127.88,sell,4.0
2023-09-20,117.4,buy,2.0
2023-09-22,121.76,sell,4.0
2023-10-18,119.25,buy,2.0
2023-10-20,124.77,sell,4.0
2023-11-02,140.51,buy,1.0
2023-11-06,153.2,sell,3.0
2023-11-22,137.24,buy,1.0
2023-12-04,167.01,sell,3.0
2023-12-08,160.15,buy,1.0
2023-12-14,174.02,sell,3.0
2023-12-20,160.97,buy,2.0
2023-12-21,166.0,sell,4.0
2023-12-27,162.7,buy,2.0
2024-01-02,170.12,sell,4.0
2024-01-24,125.68,buy,2.0
2024-01-25,127.21,sell,4.0
2024-02-05,88.2,buy,1.0
2024-02-07,111.58,sell,3.0
2024-03-07,104.2,buy,2.0
2024-03-08,106.4,sell,4.0
2024-03-15,103.0,buy,1.0
2024-03-20,111.98,sell,3.0
2024-03-27,93.93,buy,2.0
2024-04-17,85.8,sell,4.0
2024-04-26,95.03,buy,1.0
2024-05-07,99.85,sell,3.0
2024-05-15,88.44,buy,2.0
2024-05-17,92.4,sell,4.0
2024-06-04,88.53,buy,1.0
2024-06-24,123.17,sell,3.0
2024-06-25,105.33,buy,2.0
2024-07-03,105.0,sell,4.0
2024-07-08,85.7,buy,1.0
2024-07-11,90.28,sell,3.0
2024-07-29,93.62,buy,1.0
2024-08-01,108.23,sell,3.0
2024-08-07,100.25,buy,2.0
2024-08-15,95.5,sell,4.0
2024-08-19,92.63,buy,2.0
2024-08-30,93.99,sell,4.0
2024-09-09,84.95,buy,2.0
2024-09-10,87.78,sell,4.0
2024-10-17,121.46,buy,1.0
2024-10-28,133.72,sell,3.0
2024-11-18,116.06,buy,1.0
2024-11-21,123.14,sell,3.0
2024-11-25,111.6,buy,1.0
2024-11-29,118.81,sell,3.0
2024-12-25,122.17,buy,1.0
2024-12-30,133.35,sell,3.0
2025-01-06,118.35,buy,2.0
2025-01-07,120.01,sell,4.0
